settlement_ru,district_ru,street_ru,housenumber,current_zone,central_km,bam_km,current_expected_km,in_city_km,outside_city_km,crosses_boundary,reenters_city,first_exit_lonlat,eq_km_A,recalculated_zone_A,qa_flag
Бендеры,Хомутяновка,Железнодорожная улица,33,3,5.4516,2.8054,5.144,5.4481,0.0,False,False,,5.0512,2,zone_move_3->2
Бендеры,Хомутяновка,Железнодорожная улица,34,3,5.5179,2.6627,5.179,5.5144,0.0,False,False,,5.0862,2,zone_move_3->2
Бендеры,Хомутяновка,Железнодорожная улица,36,3,5.5015,2.6791,5.168,5.498,0.0,False,False,,5.0747,2,zone_move_3->2
Бендеры,Хомутяновка,Железнодорожная улица,38,3,5.4846,2.696,5.156,5.4812,0.0,False,False,,5.063,2,zone_move_3->2
Бендеры,Хомутяновка,Железнодорожная улица,39,3,5.4452,2.799,5.138,5.4418,0.0,False,False,,5.0449,2,zone_move_3->2
Бендеры,Хомутяновка,Железнодорожная улица,40,3,5.4703,2.8241,5.163,5.4668,0.0,False,False,,5.0699,2,zone_move_3->2
Бендеры,Хомутяновка,Железнодорожная улица,41,3,5.4591,2.8129,5.151,5.4557,0.0,False,False,,5.0588,2,zone_move_3->2
Бендеры,Хомутяновка,Железнодорожная улица,42,3,5.4539,2.8077,5.147,5.4504,0.0,False,False,,5.0535,2,zone_move_3->2
Бендеры,Хомутяновка,Железнодорожная улица,43,3,5.3614,2.8281,5.071,5.3579,0.0,False,False,,4.978,2,zone_move_3->2
Бендеры,Хомутяновка,Железнодорожная улица,45,3,5.3465,2.843,5.061,5.343,0.0,False,False,,4.9675,2,zone_move_3->2
Бендеры,Хомутяновка,Железнодорожная улица,47,3,5.3328,2.8567,5.051,5.3293,0.0,False,False,,4.9579,2,zone_move_3->2
Бендеры,Хомутяновка,Железнодорожная улица,48,3,5.4502,2.804,5.143,5.4467,0.0,False,False,,5.0498,2,zone_move_3->2
Бендеры,Хомутяновка,Железнодорожная улица,49,3,5.3175,2.872,5.04,5.314,0.0,False,False,,4.9472,2,zone_move_3->2
Бендеры,Хомутяновка,Железнодорожная улица,50,3,5.3664,2.8231,5.074,5.3629,0.0,False,False,,4.9815,2,zone_move_3->2
Бендеры,Хомутяновка,Железнодорожная улица,51,3,5.3038,2.8857,5.031,5.3004,0.0,False,False,,4.9377,2,zone_move_3->2
Бендеры,Хомутяновка,Железнодорожная улица,52,3,5.3488,2.8407,5.062,5.3453,0.0,False,False,,4.9691,2,zone_move_3->2
Бендеры,Хомутяновка,Железнодорожная улица,52а,3,5.7032,2.2244,5.271,5.7001,0.0,False,False,,5.1783,2,zone_move_3->2
Бендеры,Хомутяновка,Железнодорожная улица,53,3,5.289,3.0253,5.039,5.2855,0.0,False,False,,4.946,2,zone_move_3->2
Бендеры,Хомутяновка,Железнодорожная улица,54,3,5.332,2.8575,5.05,5.3285,0.0,False,False,,4.9574,2,zone_move_3->2
Бендеры,Хомутяновка,Железнодорожная улица,55,3,5.2711,3.0074,5.021,5.2677,0.0,False,False,,4.9282,2,zone_move_3->2
Бендеры,Хомутяновка,Железнодорожная улица,56,3,5.3163,2.8732,5.04,5.3129,0.0,False,False,,4.9465,2,zone_move_3->2
Бендеры,Хомутяновка,Железнодорожная улица,57,3,5.2581,2.9943,5.008,5.2546,0.0,False,False,,4.9151,2,zone_move_3->2
Бендеры,Хомутяновка,Железнодорожная улица,58,3,5.2983,2.8912,5.027,5.2948,0.0,False,False,,4.9338,2,zone_move_3->2
Бендеры,Хомутяновка,Железнодорожная улица,60,3,5.2821,3.0183,5.032,5.2786,0.0,False,False,,4.9391,2,zone_move_3->2
Бендеры,Хомутяновка,Железнодорожная улица,62,3,5.2649,3.0012,5.015,5.2614,0.0,False,False,,4.9219,2,zone_move_3->2
Бендеры,Хомутяновка,Железнодорожная улица,63,3,5.2539,2.9902,5.004,5.2504,0.0,False,False,,4.9109,2,zone_move_3->2
Бендеры,Хомутяновка,Железнодорожная улица,65,3,5.1815,3.0062,4.945,5.178,0.0,False,False,,4.8518,2,zone_move_3->2
Бендеры,Хомутяновка,Железнодорожная улица,67,3,5.1687,3.019,4.936,5.1653,0.0,False,False,,4.8429,2,zone_move_3->2
