settlement_ru,district_ru,street_ru,housenumber,current_zone,central_km,bam_km,current_expected_km,in_city_km,outside_city_km,crosses_boundary,reenters_city,first_exit_lonlat,eq_km_A,recalculated_zone_A,qa_flag
Парканы,Парканы,Комсомольская улица,16,2,3.7364,4.4676,3.505,1.597,2.1328,True,False,"[29.491402, 46.832239]",5.2611,2,
Парканы,Парканы,Комсомольская улица,16,2,3.4695,4.2008,3.505,1.597,1.8661,True,False,"[29.491402, 46.832239]",4.8166,2,
Парканы,Парканы,Комсомольская улица,17,2,3.7696,4.5009,3.805,1.597,2.166,True,False,"[29.491402, 46.832239]",5.3164,2,
Парканы,Парканы,Комсомольская улица,18а,2,3.5157,4.247,3.551,1.597,1.9122,True,False,"[29.491402, 46.832239]",4.8934,2,
Парканы,Парканы,Комсомольская улица,20,2,3.6184,4.3497,3.653,1.597,2.0146,True,False,"[29.491402, 46.832239]",5.0641,2,
Парканы,Парканы,Комсомольская улица,21,2,3.7886,4.5199,3.824,1.597,2.185,True,False,"[29.491402, 46.832239]",5.3481,2,
Парканы,Парканы,Комсомольская улица,22,2,3.7875,4.5188,3.822,1.597,2.1839,True,False,"[29.491402, 46.832239]",5.3462,2,
Парканы,Парканы,Комсомольская улица,23,2,3.8054,4.5367,3.841,1.597,2.2018,True,False,"[29.491402, 46.832239]",5.3761,2,
Парканы,Парканы,Комсомольская улица,25,2,3.8255,4.5568,3.861,1.597,2.2219,True,False,"[29.491402, 46.832239]",5.4096,2,
Парканы,Парканы,Комсомольская улица,26,2,3.8244,4.5557,3.859,1.597,2.2208,True,False,"[29.491402, 46.832239]",5.4077,2,
Парканы,Парканы,Комсомольская улица,27,2,3.8456,4.5769,3.881,1.597,2.242,True,False,"[29.491402, 46.832239]",5.4431,2,
Парканы,Парканы,Комсомольская улица,28,2,3.8435,4.5748,3.879,1.597,2.2399,True,False,"[29.491402, 46.832239]",5.4396,2,
Парканы,Парканы,Комсомольская улица,30,2,3.8658,4.5971,3.901,1.597,2.2622,True,False,"[29.491402, 46.832239]",5.4767,2,
Парканы,Парканы,Комсомольская улица,31,2,3.8656,4.5969,3.901,1.597,2.262,True,False,"[29.491402, 46.832239]",5.4764,2,
Парканы,Парканы,Комсомольская улица,32,2,3.8836,4.6149,3.919,1.597,2.28,True,False,"[29.491402, 46.832239]",5.5064,2,
Парканы,Парканы,Комсомольская улица,33,2,3.8867,4.618,3.923,1.597,2.2831,True,False,"[29.491402, 46.832239]",5.5116,2,
Парканы,Парканы,Комсомольская улица,34,2,3.9002,4.6315,3.936,1.597,2.2966,True,False,"[29.491402, 46.832239]",5.5341,2,
Парканы,Парканы,Комсомольская улица,35,2,3.9044,4.6357,3.94,1.597,2.3009,True,False,"[29.491402, 46.832239]",5.5412,2,
Парканы,Парканы,Комсомольская улица,36,2,3.9157,4.647,3.952,1.597,2.3122,True,False,"[29.491402, 46.832239]",5.5601,2,
Парканы,Парканы,Комсомольская улица,37,2,3.9445,4.6758,3.98,1.597,2.341,True,False,"[29.491402, 46.832239]",5.6081,2,
Парканы,Парканы,Комсомольская улица,38,2,3.9357,4.667,3.972,1.597,2.3322,True,False,"[29.491402, 46.832239]",5.5934,2,
Парканы,Парканы,Комсомольская улица,39,2,3.99,4.7213,4.025,1.597,2.3865,True,False,"[29.491402, 46.832239]",5.6839,2,
Парканы,Парканы,Комсомольская улица,41,2,4.0134,4.7447,4.049,1.597,2.4099,True,False,"[29.491402, 46.832239]",5.7229,2,
Парканы,Парканы,Комсомольская улица,42,2,3.8622,4.5935,3.897,1.597,2.259,True,False,"[29.491402, 46.832239]",5.4714,2,
Парканы,Парканы,Комсомольская улица,43,2,4.0342,4.7655,4.07,1.597,2.4307,True,False,"[29.491402, 46.832239]",5.7576,2,
Парканы,Парканы,Комсомольская улица,44,2,4.0151,4.7464,4.05,1.597,2.4116,True,False,"[29.491402, 46.832239]",5.7257,2,
Парканы,Парканы,Комсомольская улица,45,2,4.0519,4.7832,4.059,1.597,2.4484,True,False,"[29.491402, 46.832239]",5.7871,2,
Парканы,Парканы,Комсомольская улица,45,2,4.024,4.7553,4.059,1.597,2.4205,True,False,"[29.491402, 46.832239]",5.7406,2,
Парканы,Парканы,Комсомольская улица,46,2,4.0337,4.765,4.07,1.597,2.4302,True,False,"[29.491402, 46.832239]",5.7567,2,
Парканы,Парканы,Комсомольская улица,47,3,4.0717,4.803,4.107,1.597,2.4681,True,False,"[29.491402, 46.832239]",5.8199,2,zone_move_3->2
Парканы,Парканы,Комсомольская улица,48,3,4.0561,4.7874,4.091,1.597,2.4526,True,False,"[29.491402, 46.832239]",5.7941,2,zone_move_3->2
Парканы,Парканы,Комсомольская улица,49,3,4.0915,4.8228,4.127,1.597,2.488,True,False,"[29.491402, 46.832239]",5.8531,2,zone_move_3->2
Парканы,Парканы,Комсомольская улица,51,3,4.1095,4.8408,4.145,1.597,2.5059,True,False,"[29.491402, 46.832239]",5.8829,2,zone_move_3->2
Парканы,Парканы,Комсомольская улица,52,3,4.1004,4.8317,4.136,1.597,2.4968,True,False,"[29.491402, 46.832239]",5.8677,2,zone_move_3->2
