settlement_ru,district_ru,street_ru,housenumber,current_zone,central_km,bam_km,current_expected_km,in_city_km,outside_city_km,crosses_boundary,reenters_city,first_exit_lonlat,eq_km_A,recalculated_zone_A,qa_flag
Бендеры,Борисовка,Бельцкая улица,55,2,4.2759,0.9408,3.865,4.2708,0.0,False,False,,3.771,2,
Бендеры,Борисовка,Бельцкая улица,57,2,4.2963,0.9612,3.886,4.2911,0.0,False,False,,3.7913,2,
Бендеры,Борисовка,Бельцкая улица,92,3,4.5238,1.1887,4.113,4.518,0.0,False,False,,4.0182,2,zone_move_3->2
Бендеры,Борисовка,Бельцкая улица,94,3,4.5099,1.1748,4.099,4.504,0.0,False,False,,4.0042,2,zone_move_3->2
Бендеры,Борисовка,Бельцкая улица,98,3,4.4891,1.154,4.078,4.4833,0.0,False,False,,3.9835,2,zone_move_3->2
Бендеры,Борисовка,Бельцкая улица,100,2,4.4526,1.1175,4.042,4.4469,0.0,False,False,,3.9471,2,
Бендеры,Борисовка,Бельцкая улица,104,2,4.4391,1.1039,4.028,4.4333,0.0,False,False,,3.9335,2,
Бендеры,Борисовка,Бельцкая улица,106,2,4.4225,1.0874,4.012,4.4168,0.0,False,False,,3.917,2,
Бендеры,Борисовка,Братская улица,7,2,4.1273,0.7922,3.717,4.1224,0.0,False,False,,3.6226,2,
Бендеры,Борисовка,Братская улица,8,2,4.1345,0.7994,3.724,4.1297,0.0,False,False,,3.6299,2,
Бендеры,Борисовка,Братская улица,10,2,4.1552,0.8201,3.744,4.1503,0.0,False,False,,3.6505,2,
Бендеры,Борисовка,Братская улица,11,2,4.1498,0.8147,3.739,4.1449,0.0,False,False,,3.6451,2,
Бендеры,Борисовка,Братская улица,12,2,4.1731,1.1721,3.796,4.1682,0.0,False,False,,3.7184,2,
Бендеры,Борисовка,Братская улица,12/1,2,4.1794,1.1658,3.801,4.1745,0.0,False,False,,3.7228,2,
Бендеры,Борисовка,Братская улица,13,2,4.1953,1.1499,3.813,4.1904,0.0,False,False,,3.734,2,
Бендеры,Борисовка,Братская улица,14,2,4.1968,1.1484,3.814,4.1918,0.0,False,False,,3.7349,2,
Бендеры,Борисовка,Братская улица,22,2,4.4001,1.065,3.989,4.3945,0.0,False,False,,3.8947,2,
Бендеры,Борисовка,Варницкий тупик,1,3,4.5645,1.2294,4.154,4.5586,0.0,False,False,,4.0588,2,zone_move_3->2
Бендеры,Борисовка,Варницкий тупик,9,3,4.5406,1.2055,4.13,4.5348,0.0,False,False,,4.035,2,zone_move_3->2
Бендеры,Борисовка,Варницкий тупик,13,3,4.8072,1.4721,4.396,4.8011,0.0,False,False,,4.3013,2,zone_move_3->2
Бендеры,Борисовка,Варницкий тупик,14,3,4.8179,1.4828,4.407,4.8118,0.0,False,False,,4.312,2,zone_move_3->2
Бендеры,Борисовка,Варницкий тупик,16,3,4.7956,1.4605,4.385,4.7895,0.0,False,False,,4.2897,2,zone_move_3->2
Бендеры,Борисовка,Кишинёвская улица,1,4,6.5654,1.4394,5.886,6.5624,0.0,False,False,,5.7935,2,zone_move_4->2
Бендеры,Борисовка,Кишинёвская улица,1а,4,6.4418,1.6023,5.805,6.4386,0.0,False,False,,5.7127,2,zone_move_4->2
Бендеры,Борисовка,Кишинёвская улица,1б,4,6.4244,1.5849,5.788,6.4211,0.0,False,False,,5.6952,2,zone_move_4->2
Бендеры,Борисовка,Кишинёвская улица,3,4,6.4032,1.5238,5.761,6.4,0.0,False,False,,5.6682,2,zone_move_4->2
Бендеры,Борисовка,Кишинёвская улица,4,4,7.1895,1.6161,6.443,7.1859,0.0,False,False,,6.3502,3,zone_move_4->3
Бендеры,Борисовка,Кишинёвская улица,5,4,6.412,1.515,5.767,6.4088,0.0,False,False,,5.6743,2,zone_move_4->2
Бендеры,Борисовка,Кишинёвская улица,7,4,6.3984,1.5589,5.762,6.3952,0.0,False,False,,5.6693,2,zone_move_4->2
Бендеры,Борисовка,Кишинёвская улица,8,4,7.2233,1.65,6.476,7.2197,0.0,False,False,,6.384,3,zone_move_4->3
Бендеры,Борисовка,Кишинёвская улица,8/1,4,7.1805,1.6071,6.434,7.1769,0.0,False,False,,6.3412,3,zone_move_4->3
Бендеры,Борисовка,Кишинёвская улица,8/2,4,7.1897,1.6163,6.443,7.1861,0.0,False,False,,6.3504,3,zone_move_4->3
Бендеры,Борисовка,Кишинёвская улица,9,4,6.3794,1.5476,5.744,6.3763,0.0,False,False,,5.6516,2,zone_move_4->2
Бендеры,Борисовка,Кишинёвская улица,10,4,7.1944,1.6211,6.448,7.1909,0.0,False,False,,6.3551,3,zone_move_4->3
Бендеры,Борисовка,Кишинёвская улица,12,4,7.1232,1.5498,6.377,7.1197,0.0,False,False,,6.2839,3,zone_move_4->3
Бендеры,Борисовка,Кишинёвская улица,12/3,4,7.1161,1.5427,6.37,7.1126,0.0,False,False,,6.2768,3,zone_move_4->3
Бендеры,Борисовка,Кишинёвская улица,14,4,7.1602,1.5868,6.414,7.1566,0.0,False,False,,6.3208,3,zone_move_4->3
Бендеры,Борисовка,Кишинёвская улица,16,4,7.0981,1.5248,6.352,7.0946,0.0,False,False,,6.2589,3,zone_move_4->3
Бендеры,Борисовка,Кишинёвская улица,20,4,7.0864,1.513,6.34,7.0829,0.0,False,False,,6.2472,3,zone_move_4->3
Бендеры,Борисовка,Кишинёвская улица,24,4,7.0235,1.4502,6.277,7.0202,0.0,False,False,,6.1844,3,zone_move_4->3
Бендеры,Борисовка,Кишинёвская улица,34/2,4,6.9046,1.3313,6.158,6.9013,0.0,False,False,,6.0656,2,zone_move_4->2
Бендеры,Борисовка,Кишинёвская улица,54,2,4.4466,1.1115,4.036,4.4419,0.0,False,False,,3.9421,2,
Бендеры,Борисовка,Кишинёвская улица,60,4,6.6352,1.5092,5.956,6.6322,0.0,False,False,,5.8633,2,zone_move_4->2
Бендеры,Борисовка,Кишинёвская улица,76,4,6.4699,1.3439,5.791,6.467,0.0,False,False,,5.6982,2,zone_move_4->2
Бендеры,Борисовка,Кишинёвская улица,78,4,6.4648,1.3207,5.783,6.4619,0.0,False,False,,5.6903,2,zone_move_4->2
