uid,settlement_ru,district,street_ru,housenumber,current_zone,snap_distance_m,central_A_duration_min,central_B_distance_km,central_C_generalized_km,central_D_time_value,central_shortest_distance_km,central_segment_status,central_segment_flags,bam_B_distance_km,outer_B_distance_km
w352667478,Бендеры,Борисовка,Варницкий тупик,14,3,17.7,7.25,4.8179,4.8118,8.44,4.8179,OWNER_REVIEW_ROUTE,segment_highway_service,1.4828,3.2725
w352667476,Бендеры,Борисовка,Варницкий тупик,16,3,18.3,7.19,4.7956,4.7895,8.391,4.7956,OWNER_REVIEW_ROUTE,segment_highway_service,1.4605,3.2501
n2337985509,Бендеры,Хомутяновка,Гербовецкая улица,1,3,27.3,6.42,5.6548,5.7375,8.867,5.3955,OK,,3.9152,5.7049
w352064505,Бендеры,Хомутяновка,Гербовецкая улица,4,3,28.6,6.24,5.5325,5.5275,8.653,5.5325,OK,,3.793,5.5826
w352064507,Бендеры,Хомутяновка,Гербовецкая улица,6,3,29.0,6.28,5.5546,5.5496,8.692,5.5546,OK,,3.8151,5.6047
w352161715,Бендеры,Хомутяновка,Гербовецкая улица,8,3,30.4,6.3,5.5698,5.5963,8.718,5.4804,OK,,3.8303,5.6199
w352161714,Бендеры,Хомутяновка,Гербовецкая улица,10,3,34.0,6.33,5.588,5.6265,8.751,5.4622,OK,,3.8485,5.6381
w352161713,Бендеры,Хомутяновка,Гербовецкая улица,12,3,28.8,6.35,5.6035,5.6522,8.778,5.4468,OK,,3.8639,5.6536
w352161711,Бендеры,Хомутяновка,Гербовецкая улица,14,3,39.5,6.39,5.629,5.6947,8.822,5.4212,OK,,3.8895,5.6791
w352161710,Бендеры,Хомутяновка,Гербовецкая улица,16,3,27.9,6.41,5.6425,5.717,8.846,5.4077,OK,,3.903,5.6926
w352161708,Бендеры,Хомутяновка,Гербовецкая улица,18,3,42.0,6.43,5.6594,5.7452,8.875,5.3908,OK,,3.9199,5.7095
w352161709,Бендеры,Хомутяновка,Гербовецкая улица,20,3,29.4,6.46,5.6775,5.7753,8.907,5.3727,OK,,3.938,5.7276
w352161707,Бендеры,Хомутяновка,Гербовецкая улица,22,3,27.9,6.49,5.6977,5.8088,8.943,5.6977,OK,,3.9582,5.7478
w352161706,Бендеры,Хомутяновка,Гербовецкая улица,24,3,28.6,6.52,5.7168,5.8405,8.976,5.7168,OK,,3.9773,5.7669
w352161705,Бендеры,Хомутяновка,Гербовецкая улица,26,3,39.2,6.54,5.7332,5.8678,9.004,5.7332,OK,,3.9937,5.7833
w352161717,Бендеры,Хомутяновка,Гербовецкая улица,28,3,43.9,6.56,5.7422,5.8828,9.021,5.7422,OK,,4.0027,5.7923
w352161704,Бендеры,Хомутяновка,Гербовецкая улица,30,4,39.9,6.58,5.7561,5.9058,9.044,5.7561,OK,,4.0166,5.8062
n2321951519,Бендеры,Хомутяновка,Гербовецкая улица,43,3,7.0,5.89,5.2933,5.289,8.236,5.2933,OK,,3.5538,5.3435
n4919309516,Бендеры,Хомутяновка,Гербовецкая улица,45,3,20.7,5.94,5.3283,5.3239,8.297,5.3283,OK,,3.5888,5.3785
w320440076,Бендеры,Хомутяновка,Гербовецкая улица,49,3,19.0,6.26,5.5426,5.5376,8.671,5.5426,OK,,3.803,5.5927
w353974419,Бендеры,Хомутяновка,Главная улица,1,3,18.1,6.11,4.505,4.5006,7.562,4.505,OK,,4.3591,5.7575
w353974255,Бендеры,Хомутяновка,Главная улица,3,3,21.5,6.0,4.4589,4.4545,7.461,4.4589,OK,,4.3129,5.7113
w318084711,Бендеры,Хомутяновка,Глинная улица,1,3,11.3,6.47,5.5873,5.5832,8.821,5.5873,OK,,3.1664,4.956
w318548578,Бендеры,Хомутяновка,Глинная улица,3,3,25.8,6.5,5.6022,5.598,8.853,5.6022,OK,,3.1813,4.9709
w318548576,Бендеры,Хомутяновка,Глинная улица,5,3,12.1,6.55,5.6238,5.6195,8.9,5.6238,OK,,3.2029,4.9925
w318548577,Бендеры,Хомутяновка,Глинная улица,7,3,10.0,6.58,5.6359,5.6316,8.928,5.6359,OK,,3.215,5.0046
w318084713,Бендеры,Хомутяновка,Глинная улица,9,3,9.2,6.37,5.5473,5.5433,8.732,5.5473,OK,,3.1264,4.916
w315109557,Бендеры,Хомутяновка,Дачная улица,1,3,20.4,5.14,4.4611,4.4579,7.029,4.4611,OK,,3.5434,5.7135
w315109558,Бендеры,Хомутяновка,Дачная улица,3,3,18.4,5.09,4.4421,4.4389,6.988,4.4421,OK,,3.5624,5.6946
w318406782,Бендеры,Хомутяновка,Дачная улица,4,3,16.2,5.18,4.48,4.4768,7.072,4.48,OK,,3.5245,5.7324
w318406783,Бендеры,Хомутяновка,Дачная улица,6,3,17.0,5.14,4.4625,4.4593,7.033,4.4625,OK,,3.542,5.7149
w318406789,Бендеры,Хомутяновка,Дачная улица,8,3,19.6,5.1,4.4457,4.4425,6.996,4.4457,OK,,3.5588,5.6981
w318406792,Бендеры,Хомутяновка,Дачная улица,10,3,16.0,5.06,4.4294,4.4262,6.96,4.4294,OK,,3.6406,5.6819
w299956671,Бендеры,Хомутяновка,Деповская улица,5,4,22.3,8.43,7.4577,7.4541,11.674,5.2194,OWNER_REVIEW_ROUTE,segment_highway_service,1.8843,3.674
w317051444,Бендеры,Хомутяновка,Железнодорожная улица,3,3,18.5,6.43,5.678,5.6746,8.892,5.678,OK,,2.5043,4.2939
w317149176,Бендеры,Хомутяновка,Железнодорожная улица,4,3,20.2,6.58,5.8281,5.8247,9.118,5.6302,OK,,2.2951,4.0847
w317051443,Бендеры,Хомутяновка,Железнодорожная улица,5,3,19.6,6.4,5.6646,5.6611,8.863,5.6646,OK,,2.5177,4.3073
w317149175,Бендеры,Хомутяновка,Железнодорожная улица,6,3,17.6,6.54,5.8127,5.8093,9.084,5.6456,OK,,2.3105,4.1001
w317051442,Бендеры,Хомутяновка,Железнодорожная улица,7,3,22.3,6.36,5.648,5.6446,8.826,5.648,OK,,2.5343,4.3239
w317051499,Бендеры,Хомутяновка,Железнодорожная улица,8,3,19.7,6.48,5.788,5.7845,9.03,5.6704,OK,,2.3352,4.1249
w317051441,Бендеры,Хомутяновка,Железнодорожная улица,9,3,17.2,6.32,5.6341,5.6307,8.796,5.6341,OK,,2.5481,4.3378
w317051496,Бендеры,Хомутяновка,Железнодорожная улица,10,3,16.5,6.41,5.7555,5.752,8.959,5.7555,OK,,2.3677,4.1573
w317051439,Бендеры,Хомутяновка,Железнодорожная улица,11,3,18.8,6.29,5.6219,5.6184,8.769,5.6219,OK,,2.5604,4.3501
w317051432,Бендеры,Хомутяновка,Железнодорожная улица,13,3,20.0,6.25,5.605,5.6015,8.732,5.605,OK,,2.6626,4.4522
w317051487,Бендеры,Хомутяновка,Железнодорожная улица,16,3,18.1,6.42,5.6766,5.6732,8.889,5.6766,OK,,2.5057,4.2953
n9170522018,Бендеры,Хомутяновка,Железнодорожная улица,17,3,9.5,6.18,5.5758,5.5724,8.667,5.5758,OK,,2.6334,4.423
w317051467,Бендеры,Хомутяновка,Железнодорожная улица,18,3,17.1,6.39,5.6608,5.6573,8.855,5.6608,OK,,2.5215,4.3111
w317051466,Бендеры,Хомутяновка,Железнодорожная улица,20,3,19.2,6.35,5.6442,5.6408,8.818,5.6442,OK,,2.538,4.3277
w316645121,Бендеры,Хомутяновка,Железнодорожная улица,21,3,20.9,6.27,5.5868,5.5833,8.72,5.5868,OK,,2.6444,4.434
w317051464,Бендеры,Хомутяновка,Железнодорожная улица,22,3,18.7,6.31,5.6271,5.6237,8.78,5.6271,OK,,2.5551,4.3448
w316645120,Бендеры,Хомутяновка,Железнодорожная улица,23,3,17.3,6.28,5.5237,5.5202,8.661,5.5237,OK,,2.6569,4.4466
w317051462,Бендеры,Хомутяновка,Железнодорожная улица,24,3,20.2,6.27,5.6118,5.6084,8.747,5.6118,OK,,2.6695,4.4591
w317051457,Бендеры,Хомутяновка,Железнодорожная улица,26,3,19.6,6.24,5.597,5.5936,8.715,5.597,OK,,2.6547,4.4443
w316645010,Бендеры,Хомутяновка,Железнодорожная улица,27,3,19.6,6.2,5.4932,5.4897,8.594,5.4932,OK,,2.6874,4.4771
w316645009,Бендеры,Хомутяновка,Железнодорожная улица,29,3,17.8,6.17,5.4799,5.4764,8.565,5.4799,OK,,2.7007,4.4904
w316645008,Бендеры,Хомутяновка,Железнодорожная улица,31,3,21.0,6.14,5.4658,5.4623,8.534,5.4658,OK,,2.8196,4.6092
w316645007,Бендеры,Хомутяновка,Железнодорожная улица,33,3,19.5,6.1,5.4516,5.4481,8.502,5.4516,OK,,2.8054,4.595
w316785287,Бендеры,Хомутяновка,Железнодорожная улица,34,3,23.7,6.26,5.5179,5.5144,8.648,5.5179,OK,,2.6627,4.4524
w561469641,Бендеры,Хомутяновка,Железнодорожная улица,36,3,24.6,6.22,5.5015,5.498,8.612,5.5015,OK,,2.6791,4.4688
w316758837,Бендеры,Хомутяновка,Железнодорожная улица,38,3,23.0,6.18,5.4846,5.4812,8.575,5.4846,OK,,2.696,4.4856
w315618139,Бендеры,Хомутяновка,Железнодорожная улица,39,3,19.7,6.14,5.4452,5.4418,8.515,5.4452,OK,,2.799,4.5887
w316758836,Бендеры,Хомутяновка,Железнодорожная улица,40,3,20.5,6.15,5.4703,5.4668,8.544,5.4703,OK,,2.8241,4.6137
w315618140,Бендеры,Хомутяновка,Железнодорожная улица,41,3,19.8,6.17,5.4591,5.4557,8.546,5.4591,OK,,2.8129,4.6025
w316665822,Бендеры,Хомутяновка,Железнодорожная улица,42,3,21.5,6.11,5.4539,5.4504,8.507,5.4539,OK,,2.8077,4.5973
w315618141,Бендеры,Хомутяновка,Железнодорожная улица,43,3,19.5,6.18,5.3614,5.3579,8.45,5.3614,OK,,2.8281,4.6177
w315618142,Бендеры,Хомутяновка,Железнодорожная улица,45,3,19.9,6.14,5.3465,5.343,8.417,5.3465,OK,,2.843,4.6327
w315618133,Бендеры,Хомутяновка,Железнодорожная улица,47,3,20.7,6.11,5.3328,5.3293,8.387,5.3328,OK,,2.8567,4.6463
w315618160,Бендеры,Хомутяновка,Железнодорожная улица,48,3,20.9,6.15,5.4502,5.4467,8.526,5.4502,OK,,2.804,4.5936
w315618131,Бендеры,Хомутяновка,Железнодорожная улица,49,3,23.6,6.07,5.3175,5.314,8.353,5.3175,OK,,2.872,4.6616
w315618161,Бендеры,Хомутяновка,Железнодорожная улица,50,3,19.2,6.19,5.3664,5.3629,8.461,5.3664,OK,,2.8231,4.6128
w315618129,Бендеры,Хомутяновка,Железнодорожная улица,51,3,20.5,6.04,5.3038,5.3004,8.323,5.3038,OK,,2.8857,4.6753
