uid,street,house,current_zone,snap_m,true_shortest_unconstrained_km,best_entry_id,best_entry_road,best_via_entry_km,via_entry_minus_free_km,entries_evaluated,all_entry_km_json,owner_review_required,osrm_current_route_km,current_minus_true_shortest_km,overstated_gt_10pct
n2337964965,Комсомольский переулок,9,4,24.6,5.3806,Про-028,Главная улица,5.3806,0.0,21,"{""Про-028"": 5.3806, ""Про-029"": 7.2513, ""Про-030"": 6.3071, ""Про-031"": 5.3806, ""Про-032"": 9.3198, ""Про-033"": 5.9825, ""Про-034"": 5.4404, ""Про-035"": 5.4404, ""Про-036"": 5.4404, ""Про-037"": 8.2039, ""Про-038"": 6.8747, ""Про-039"": 7.8415, ""Про-040"": 7.3612, ""Про-041"": 8.1681, ""Про-042"": 9.0263, ""Про-043"": 8.4804, ""Про-044"": 8.2606, ""Про-045"": 8.0816, ""Про-046"": 8.3661, ""Про-047"": 13.2604, ""Про-048"": 11.161}",True,5.891,0.5104,False
n2337964964,Комсомольский переулок,13,4,33.2,5.3806,Про-028,Главная улица,5.3806,0.0,21,"{""Про-028"": 5.3806, ""Про-029"": 7.2513, ""Про-030"": 6.3071, ""Про-031"": 5.3806, ""Про-032"": 9.3198, ""Про-033"": 5.9825, ""Про-034"": 5.4404, ""Про-035"": 5.4404, ""Про-036"": 5.4404, ""Про-037"": 8.2039, ""Про-038"": 6.8747, ""Про-039"": 7.8415, ""Про-040"": 7.3612, ""Про-041"": 8.1681, ""Про-042"": 9.0263, ""Про-043"": 8.4804, ""Про-044"": 8.2606, ""Про-045"": 8.0816, ""Про-046"": 8.3661, ""Про-047"": 13.2604, ""Про-048"": 11.161}",True,5.8652,0.4846,False
n2337934500,Лесовая улица,1,4,35.0,6.8579,Про-028,Главная улица,6.8579,0.0,21,"{""Про-028"": 6.8579, ""Про-029"": 8.225, ""Про-030"": 7.8986, ""Про-031"": 7.2066, ""Про-032"": 10.7374, ""Про-033"": 7.8085, ""Про-034"": 7.2664, ""Про-035"": 7.2664, ""Про-036"": 7.2664, ""Про-037"": 9.1776, ""Про-038"": 8.1964, ""Про-039"": 8.8152, ""Про-040"": 8.3349, ""Про-041"": 9.1418, ""Про-042"": 10.4438, ""Про-043"": 9.4541, ""Про-044"": 9.2344, ""Про-045"": 9.0554, ""Про-046"": 9.3399, ""Про-047"": 11.3035, ""Про-048"": 11.4778}",True,7.7137,0.8558,True
n2337934501,Лесовая улица,2,4,25.5,6.8823,Про-028,Главная улица,6.8823,0.0,21,"{""Про-028"": 6.8823, ""Про-029"": 8.2007, ""Про-030"": 7.8742, ""Про-031"": 7.1822, ""Про-032"": 10.713, ""Про-033"": 7.7841, ""Про-034"": 7.242, ""Про-035"": 7.242, ""Про-036"": 7.242, ""Про-037"": 9.1533, ""Про-038"": 8.172, ""Про-039"": 8.7909, ""Про-040"": 8.3105, ""Про-041"": 9.1175, ""Про-042"": 10.4194, ""Про-043"": 9.4297, ""Про-044"": 9.21, ""Про-045"": 9.031, ""Про-046"": 9.3155, ""Про-047"": 11.3279, ""Про-048"": 11.4534}",True,7.7048,0.8225,True
n2337929303,Лесовая улица,12,4,19.1,7.0265,Про-028,Главная улица,7.0265,0.0,21,"{""Про-028"": 7.0265, ""Про-029"": 8.3448, ""Про-030"": 8.0184, ""Про-031"": 7.3264, ""Про-032"": 10.8572, ""Про-033"": 7.9283, ""Про-034"": 7.3862, ""Про-035"": 7.3862, ""Про-036"": 7.3862, ""Про-037"": 9.2974, ""Про-038"": 8.3162, ""Про-039"": 8.935, ""Про-040"": 8.4547, ""Про-041"": 9.2616, ""Про-042"": 10.5636, ""Про-043"": 9.5739, ""Про-044"": 9.3542, ""Про-045"": 9.1752, ""Про-046"": 9.4596, ""Про-047"": 11.472, ""Про-048"": 11.3092}",True,7.812,0.7855,True
n2337929302,Лесовая улица,14,4,22.0,7.0265,Про-028,Главная улица,7.0265,0.0,21,"{""Про-028"": 7.0265, ""Про-029"": 8.3448, ""Про-030"": 8.0184, ""Про-031"": 7.3264, ""Про-032"": 10.8572, ""Про-033"": 7.9283, ""Про-034"": 7.3862, ""Про-035"": 7.3862, ""Про-036"": 7.3862, ""Про-037"": 9.2974, ""Про-038"": 8.3162, ""Про-039"": 8.935, ""Про-040"": 8.4547, ""Про-041"": 9.2616, ""Про-042"": 10.5636, ""Про-043"": 9.5739, ""Про-044"": 9.3542, ""Про-045"": 9.1752, ""Про-046"": 9.4596, ""Про-047"": 11.472, ""Про-048"": 11.3092}",True,7.8464,0.8199,True
w421314032,Лесовая улица,45,4,13.8,7.5504,Про-028,Главная улица,7.5504,0.0,21,"{""Про-028"": 7.5504, ""Про-029"": 8.8688, ""Про-030"": 8.5423, ""Про-031"": 7.8503, ""Про-032"": 10.7827, ""Про-033"": 8.4522, ""Про-034"": 7.9101, ""Про-035"": 7.9101, ""Про-036"": 7.9101, ""Про-037"": 9.8214, ""Про-038"": 8.8401, ""Про-039"": 9.459, ""Про-040"": 8.9787, ""Про-041"": 9.7856, ""Про-042"": 11.0876, ""Про-043"": 10.0978, ""Про-044"": 9.8781, ""Про-045"": 9.6991, ""Про-046"": 9.9836, ""Про-047"": 11.996, ""Про-048"": 10.9492}",True,8.3439,0.7935,True
w421314030,Лесовая улица,47,4,27.6,7.5504,Про-028,Главная улица,7.5504,0.0,21,"{""Про-028"": 7.5504, ""Про-029"": 8.8688, ""Про-030"": 8.5423, ""Про-031"": 7.8503, ""Про-032"": 10.7827, ""Про-033"": 8.4522, ""Про-034"": 7.9101, ""Про-035"": 7.9101, ""Про-036"": 7.9101, ""Про-037"": 9.8214, ""Про-038"": 8.8401, ""Про-039"": 9.459, ""Про-040"": 8.9787, ""Про-041"": 9.7856, ""Про-042"": 11.0876, ""Про-043"": 10.0978, ""Про-044"": 9.8781, ""Про-045"": 9.6991, ""Про-046"": 9.9836, ""Про-047"": 11.996, ""Про-048"": 10.9492}",True,8.3727,0.8223,True
w421314029,Лесовая улица,49,4,46.1,7.5504,Про-028,Главная улица,7.5504,0.0,21,"{""Про-028"": 7.5504, ""Про-029"": 8.8688, ""Про-030"": 8.5423, ""Про-031"": 7.8503, ""Про-032"": 10.7827, ""Про-033"": 8.4522, ""Про-034"": 7.9101, ""Про-035"": 7.9101, ""Про-036"": 7.9101, ""Про-037"": 9.8214, ""Про-038"": 8.8401, ""Про-039"": 9.459, ""Про-040"": 8.9787, ""Про-041"": 9.7856, ""Про-042"": 11.0876, ""Про-043"": 10.0978, ""Про-044"": 9.8781, ""Про-045"": 9.6991, ""Про-046"": 9.9836, ""Про-047"": 11.996, ""Про-048"": 10.9492}",True,8.3943,0.8439,True
w421314028,Лесовая улица,51,4,29.8,7.638,Про-028,Главная улица,7.638,0.0,21,"{""Про-028"": 7.638, ""Про-029"": 8.9564, ""Про-030"": 8.63, ""Про-031"": 7.938, ""Про-032"": 10.6951, ""Про-033"": 8.5398, ""Про-034"": 7.9977, ""Про-035"": 7.9977, ""Про-036"": 7.9977, ""Про-037"": 9.909, ""Про-038"": 8.9278, ""Про-039"": 9.5466, ""Про-040"": 9.0663, ""Про-041"": 9.8732, ""Про-042"": 11.1752, ""Про-043"": 10.1855, ""Про-044"": 9.9657, ""Про-045"": 9.7867, ""Про-046"": 10.0712, ""Про-047"": 11.9119, ""Про-048"": 10.8616}",True,8.4117,0.7737,True
w421314026,Лесовая улица,53,4,23.0,7.638,Про-028,Главная улица,7.638,0.0,21,"{""Про-028"": 7.638, ""Про-029"": 8.9564, ""Про-030"": 8.63, ""Про-031"": 7.938, ""Про-032"": 10.6951, ""Про-033"": 8.5398, ""Про-034"": 7.9977, ""Про-035"": 7.9977, ""Про-036"": 7.9977, ""Про-037"": 9.909, ""Про-038"": 8.9278, ""Про-039"": 9.5466, ""Про-040"": 9.0663, ""Про-041"": 9.8732, ""Про-042"": 11.1752, ""Про-043"": 10.1855, ""Про-044"": 9.9657, ""Про-045"": 9.7867, ""Про-046"": 10.0712, ""Про-047"": 11.9119, ""Про-048"": 10.8616}",True,8.4235,0.7855,True
n2337929295,Лесовая улица,55,4,26.2,7.638,Про-028,Главная улица,7.638,0.0,21,"{""Про-028"": 7.638, ""Про-029"": 8.9564, ""Про-030"": 8.63, ""Про-031"": 7.938, ""Про-032"": 10.6951, ""Про-033"": 8.5398, ""Про-034"": 7.9977, ""Про-035"": 7.9977, ""Про-036"": 7.9977, ""Про-037"": 9.909, ""Про-038"": 8.9278, ""Про-039"": 9.5466, ""Про-040"": 9.0663, ""Про-041"": 9.8732, ""Про-042"": 11.1752, ""Про-043"": 10.1855, ""Про-044"": 9.9657, ""Про-045"": 9.7867, ""Про-046"": 10.0712, ""Про-047"": 11.9119, ""Про-048"": 10.8616}",True,8.4612,0.8232,True
n2337929297,Лесовая улица,58,4,33.1,7.638,Про-028,Главная улица,7.638,0.0,21,"{""Про-028"": 7.638, ""Про-029"": 8.9564, ""Про-030"": 8.63, ""Про-031"": 7.938, ""Про-032"": 10.6951, ""Про-033"": 8.5398, ""Про-034"": 7.9977, ""Про-035"": 7.9977, ""Про-036"": 7.9977, ""Про-037"": 9.909, ""Про-038"": 8.9278, ""Про-039"": 9.5466, ""Про-040"": 9.0663, ""Про-041"": 9.8732, ""Про-042"": 11.1752, ""Про-043"": 10.1855, ""Про-044"": 9.9657, ""Про-045"": 9.7867, ""Про-046"": 10.0712, ""Про-047"": 11.9119, ""Про-048"": 10.8616}",True,8.4118,0.7738,True
w489021267,Лесовая улица,70,4,32.8,7.638,Про-028,Главная улица,7.638,0.0,21,"{""Про-028"": 7.638, ""Про-029"": 8.9564, ""Про-030"": 8.63, ""Про-031"": 7.938, ""Про-032"": 10.6951, ""Про-033"": 8.5398, ""Про-034"": 7.9977, ""Про-035"": 7.9977, ""Про-036"": 7.9977, ""Про-037"": 9.909, ""Про-038"": 8.9278, ""Про-039"": 9.5466, ""Про-040"": 9.0663, ""Про-041"": 9.8732, ""Про-042"": 11.1752, ""Про-043"": 10.1855, ""Про-044"": 9.9657, ""Про-045"": 9.7867, ""Про-046"": 10.0712, ""Про-047"": 11.9119, ""Про-048"": 10.8616}",True,8.4551,0.8171,True
n2337929292,Лесовая улица,80,4,21.0,7.8501,Про-028,Главная улица,7.8501,0.0,21,"{""Про-028"": 7.8501, ""Про-029"": 9.1685, ""Про-030"": 8.8421, ""Про-031"": 8.1501, ""Про-032"": 10.483, ""Про-033"": 8.752, ""Про-034"": 8.2098, ""Про-035"": 8.2098, ""Про-036"": 8.2098, ""Про-037"": 10.1211, ""Про-038"": 9.1399, ""Про-039"": 9.7587, ""Про-040"": 9.2784, ""Про-041"": 10.0853, ""Про-042"": 11.3873, ""Про-043"": 10.3976, ""Про-044"": 10.1778, ""Про-045"": 9.9988, ""Про-046"": 10.2833, ""Про-047"": 12.1185, ""Про-048"": 10.6495}",True,8.6146,0.7645,False
w284637204,Луговая улица,1,4,38.8,5.9553,Про-033,Санаторная улица,5.9553,0.0,21,"{""Про-028"": 6.166, ""Про-029"": 6.335, ""Про-030"": 6.0086, ""Про-031"": 6.166, ""Про-032"": 8.8474, ""Про-033"": 5.9553, ""Про-034"": 6.0322, ""Про-035"": 6.0322, ""Про-036"": 6.0322, ""Про-037"": 7.2876, ""Про-038"": 6.3064, ""Про-039"": 6.9252, ""Про-040"": 6.4449, ""Про-041"": 7.2518, ""Про-042"": 8.5538, ""Про-043"": 7.5641, ""Про-044"": 7.3444, ""Про-045"": 7.1654, ""Про-046"": 7.4498, ""Про-047"": 13.1935, ""Про-048"": 10.2447}",True,6.4166,0.4613,False
w284637205,Луговая улица,3,4,53.2,5.9417,Про-033,Санаторная улица,5.9417,0.0,21,"{""Про-028"": 6.1261, ""Про-029"": 6.3749, ""Про-030"": 5.995, ""Про-031"": 6.1261, ""Про-032"": 8.8872, ""Про-033"": 5.9417, ""Про-034"": 6.0186, ""Про-035"": 6.0186, ""Про-036"": 6.0186, ""Про-037"": 7.3275, ""Про-038"": 6.3463, ""Про-039"": 6.9651, ""Про-040"": 6.4848, ""Про-041"": 7.2917, ""Про-042"": 8.5937, ""Про-043"": 7.604, ""Про-044"": 7.3842, ""Про-045"": 7.2052, ""Про-046"": 7.4897, ""Про-047"": 13.2334, ""Про-048"": 10.2846}",True,6.4216,0.4799,False
w284637255,Луговая улица,9,4,56.9,5.7785,Про-033,Санаторная улица,5.7785,0.0,21,"{""Про-028"": 6.092, ""Про-029"": 6.461, ""Про-030"": 5.8317, ""Про-031"": 6.092, ""Про-032"": 8.8445, ""Про-033"": 5.7785, ""Про-034"": 5.8553, ""Про-035"": 5.8553, ""Про-036"": 5.8553, ""Про-037"": 7.4136, ""Про-038"": 6.2121, ""Про-039"": 7.0512, ""Про-040"": 6.5709, ""Про-041"": 7.3778, ""Про-042"": 8.5509, ""Про-043"": 7.6901, ""Про-044"": 7.4703, ""Про-045"": 7.2913, ""Про-046"": 7.5758, ""Про-047"": 13.3704, ""Про-048"": 10.3707}",True,6.3254,0.5469,False
w318344309,Луговая улица,11,4,63.4,5.7785,Про-033,Санаторная улица,5.7785,0.0,21,"{""Про-028"": 6.092, ""Про-029"": 6.461, ""Про-030"": 5.8317, ""Про-031"": 6.092, ""Про-032"": 8.8445, ""Про-033"": 5.7785, ""Про-034"": 5.8553, ""Про-035"": 5.8553, ""Про-036"": 5.8553, ""Про-037"": 7.4136, ""Про-038"": 6.2121, ""Про-039"": 7.0512, ""Про-040"": 6.5709, ""Про-041"": 7.3778, ""Про-042"": 8.5509, ""Про-043"": 7.6901, ""Про-044"": 7.4703, ""Про-045"": 7.2913, ""Про-046"": 7.5758, ""Про-047"": 13.3704, ""Про-048"": 10.3707}",True,6.3053,0.5268,False
w318344310,Луговая улица,13,4,73.1,5.7671,Про-033,Санаторная улица,5.7671,0.0,21,"{""Про-028"": 6.1033, ""Про-029"": 6.4724, ""Про-030"": 5.8204, ""Про-031"": 6.1033, ""Про-032"": 8.8331, ""Про-033"": 5.7671, ""Про-034"": 5.844, ""Про-035"": 5.844, ""Про-036"": 5.844, ""Про-037"": 7.425, ""Про-038"": 6.2008, ""Про-039"": 7.0626, ""Про-040"": 6.5822, ""Про-041"": 7.3892, ""Про-042"": 8.5396, ""Про-043"": 7.7014, ""Про-044"": 7.4817, ""Про-045"": 7.3027, ""Про-046"": 7.5872, ""Про-047"": 13.3817, ""Про-048"": 10.3821}",True,6.2865,0.5194,False
w352326949,Луговая улица,15,4,66.5,5.7766,Про-033,Санаторная улица,5.7766,0.0,21,"{""Про-028"": 5.8822, ""Про-029"": 6.6188, ""Про-030"": 5.8298, ""Про-031"": 5.8822, ""Про-032"": 8.8426, ""Про-033"": 5.7766, ""Про-034"": 5.8534, ""Про-035"": 5.8534, ""Про-036"": 5.8534, ""Про-037"": 7.5714, ""Про-038"": 6.3975, ""Про-039"": 7.209, ""Про-040"": 6.7287, ""Про-041"": 7.5356, ""Про-042"": 8.549, ""Про-043"": 7.8479, ""Про-044"": 7.6281, ""Про-045"": 7.4491, ""Про-046"": 7.7336, ""Про-047"": 13.4773, ""Про-048"": 10.5285}",True,6.2684,0.4918,False
w352326950,Луговая улица,17,4,47.5,5.7766,Про-033,Санаторная улица,5.7766,0.0,21,"{""Про-028"": 5.8822, ""Про-029"": 6.6188, ""Про-030"": 5.8298, ""Про-031"": 5.8822, ""Про-032"": 8.8426, ""Про-033"": 5.7766, ""Про-034"": 5.8534, ""Про-035"": 5.8534, ""Про-036"": 5.8534, ""Про-037"": 7.5714, ""Про-038"": 6.3975, ""Про-039"": 7.209, ""Про-040"": 6.7287, ""Про-041"": 7.5356, ""Про-042"": 8.549, ""Про-043"": 7.8479, ""Про-044"": 7.6281, ""Про-045"": 7.4491, ""Про-046"": 7.7336, ""Про-047"": 13.4773, ""Про-048"": 10.5285}",True,6.2471,0.4705,False
n5415952341,Луговая улица,19,4,28.1,5.7766,Про-033,Санаторная улица,5.7766,0.0,21,"{""Про-028"": 5.8822, ""Про-029"": 6.6188, ""Про-030"": 5.8298, ""Про-031"": 5.8822, ""Про-032"": 8.8426, ""Про-033"": 5.7766, ""Про-034"": 5.8534, ""Про-035"": 5.8534, ""Про-036"": 5.8534, ""Про-037"": 7.5714, ""Про-038"": 6.3975, ""Про-039"": 7.209, ""Про-040"": 6.7287, ""Про-041"": 7.5356, ""Про-042"": 8.549, ""Про-043"": 7.8479, ""Про-044"": 7.6281, ""Про-045"": 7.4491, ""Про-046"": 7.7336, ""Про-047"": 13.4773, ""Про-048"": 10.5285}",True,6.2246,0.448,False
w352326951,Луговая улица,21,4,27.1,5.7766,Про-033,Санаторная улица,5.7766,0.0,21,"{""Про-028"": 5.8822, ""Про-029"": 6.6188, ""Про-030"": 5.8298, ""Про-031"": 5.8822, ""Про-032"": 8.8426, ""Про-033"": 5.7766, ""Про-034"": 5.8534, ""Про-035"": 5.8534, ""Про-036"": 5.8534, ""Про-037"": 7.5714, ""Про-038"": 6.3975, ""Про-039"": 7.209, ""Про-040"": 6.7287, ""Про-041"": 7.5356, ""Про-042"": 8.549, ""Про-043"": 7.8479, ""Про-044"": 7.6281, ""Про-045"": 7.4491, ""Про-046"": 7.7336, ""Про-047"": 13.4773, ""Про-048"": 10.5285}",True,6.2084,0.4318,False
w352326952,Луговая улица,23,4,33.0,5.7766,Про-033,Санаторная улица,5.7766,0.0,21,"{""Про-028"": 5.8822, ""Про-029"": 6.6188, ""Про-030"": 5.8298, ""Про-031"": 5.8822, ""Про-032"": 8.8426, ""Про-033"": 5.7766, ""Про-034"": 5.8534, ""Про-035"": 5.8534, ""Про-036"": 5.8534, ""Про-037"": 7.5714, ""Про-038"": 6.3975, ""Про-039"": 7.209, ""Про-040"": 6.7287, ""Про-041"": 7.5356, ""Про-042"": 8.549, ""Про-043"": 7.8479, ""Про-044"": 7.6281, ""Про-045"": 7.4491, ""Про-046"": 7.7336, ""Про-047"": 13.4773, ""Про-048"": 10.5285}",True,6.1861,0.4095,False
w352326941,Луговая улица,35,4,27.1,5.72,Про-028,Главная улица,5.72,0.0,21,"{""Про-028"": 5.72, ""Про-029"": 6.781, ""Про-030"": 5.8368, ""Про-031"": 5.72, ""Про-032"": 8.8496, ""Про-033"": 5.7835, ""Про-034"": 5.7798, ""Про-035"": 5.7798, ""Про-036"": 5.7798, ""Про-037"": 7.7336, ""Про-038"": 6.4044, ""Про-039"": 7.3712, ""Про-040"": 6.8909, ""Про-041"": 7.6978, ""Про-042"": 8.556, ""Про-043"": 8.0101, ""Про-044"": 7.7904, ""Про-045"": 7.6113, ""Про-046"": 7.8958, ""Про-047"": 13.5998, ""Про-048"": 10.6907}",True,6.2242,0.5042,False
w644885224,Луговая улица,39,4,47.6,5.72,Про-028,Главная улица,5.72,0.0,21,"{""Про-028"": 5.72, ""Про-029"": 6.781, ""Про-030"": 5.8368, ""Про-031"": 5.72, ""Про-032"": 8.8496, ""Про-033"": 5.7835, ""Про-034"": 5.7798, ""Про-035"": 5.7798, ""Про-036"": 5.7798, ""Про-037"": 7.7336, ""Про-038"": 6.4044, ""Про-039"": 7.3712, ""Про-040"": 6.8909, ""Про-041"": 7.6978, ""Про-042"": 8.556, ""Про-043"": 8.0101, ""Про-044"": 7.7904, ""Про-045"": 7.6113, ""Про-046"": 7.8958, ""Про-047"": 13.5998, ""Про-048"": 10.6907}",True,6.1832,0.4632,False
w352326942,Луговая улица,43,4,75.1,5.72,Про-028,Главная улица,5.72,0.0,21,"{""Про-028"": 5.72, ""Про-029"": 6.781, ""Про-030"": 5.8368, ""Про-031"": 5.72, ""Про-032"": 8.8496, ""Про-033"": 5.7835, ""Про-034"": 5.7798, ""Про-035"": 5.7798, ""Про-036"": 5.7798, ""Про-037"": 7.7336, ""Про-038"": 6.4044, ""Про-039"": 7.3712, ""Про-040"": 6.8909, ""Про-041"": 7.6978, ""Про-042"": 8.556, ""Про-043"": 8.0101, ""Про-044"": 7.7904, ""Про-045"": 7.6113, ""Про-046"": 7.8958, ""Про-047"": 13.5998, ""Про-048"": 10.6907}",True,6.1441,0.4241,False
w352326945,Луговая улица,47,4,62.0,5.5462,Про-028,Главная улица,5.5462,0.0,21,"{""Про-028"": 5.5462, ""Про-029"": 6.9548, ""Про-030"": 6.0106, ""Про-031"": 5.5462, ""Про-032"": 9.0233, ""Про-033"": 5.9573, ""Про-034"": 5.606, ""Про-035"": 5.606, ""Про-036"": 5.606, ""Про-037"": 7.9074, ""Про-038"": 6.5782, ""Про-039"": 7.545, ""Про-040"": 7.0647, ""Про-041"": 7.8716, ""Про-042"": 8.7298, ""Про-043"": 8.1839, ""Про-044"": 7.9641, ""Про-045"": 7.7851, ""Про-046"": 8.0696, ""Про-047"": 13.426, ""Про-048"": 10.8645}",True,6.1007,0.5545,False
w352326946,Луговая улица,49,4,44.3,5.5462,Про-028,Главная улица,5.5462,0.0,21,"{""Про-028"": 5.5462, ""Про-029"": 6.9548, ""Про-030"": 6.0106, ""Про-031"": 5.5462, ""Про-032"": 9.0233, ""Про-033"": 5.9573, ""Про-034"": 5.606, ""Про-035"": 5.606, ""Про-036"": 5.606, ""Про-037"": 7.9074, ""Про-038"": 6.5782, ""Про-039"": 7.545, ""Про-040"": 7.0647, ""Про-041"": 7.8716, ""Про-042"": 8.7298, ""Про-043"": 8.1839, ""Про-044"": 7.9641, ""Про-045"": 7.7851, ""Про-046"": 8.0696, ""Про-047"": 13.426, ""Про-048"": 10.8645}",True,6.0816,0.5354,False
w352326947,Луговая улица,51,4,27.1,5.5462,Про-028,Главная улица,5.5462,0.0,21,"{""Про-028"": 5.5462, ""Про-029"": 6.9548, ""Про-030"": 6.0106, ""Про-031"": 5.5462, ""Про-032"": 9.0233, ""Про-033"": 5.9573, ""Про-034"": 5.606, ""Про-035"": 5.606, ""Про-036"": 5.606, ""Про-037"": 7.9074, ""Про-038"": 6.5782, ""Про-039"": 7.545, ""Про-040"": 7.0647, ""Про-041"": 7.8716, ""Про-042"": 8.7298, ""Про-043"": 8.1839, ""Про-044"": 7.9641, ""Про-045"": 7.7851, ""Про-046"": 8.0696, ""Про-047"": 13.426, ""Про-048"": 10.8645}",True,6.0619,0.5157,False
w316845675,Мирная улица,30,4,38.6,7.7077,Про-029,улица Интернационалистов,7.7077,0.0,21,"{""Про-028"": 7.8346, ""Про-029"": 7.7077, ""Про-030"": 7.7382, ""Про-031"": 7.8346, ""Про-032"": 8.4986, ""Про-033"": 7.7077, ""Про-034"": 7.7846, ""Про-035"": 7.7846, ""Про-036"": 7.7846, ""Про-037"": 8.0471, ""Про-038"": 7.7612, ""Про-039"": 7.7077, ""Про-040"": 7.7077, ""Про-041"": 7.7862, ""Про-042"": 9.815, ""Про-043"": 8.0985, ""Про-044"": 7.8788, ""Про-045"": 7.8241, ""Про-046"": 7.9842, ""Про-047"": 14.1398, ""Про-048"": 8.6651}",True,8.9972,1.2895,True
w352346388,Молодёжная улица,19,4,21.3,6.2011,Про-033,Санаторная улица,6.2011,0.0,21,"{""Про-028"": 6.2527, ""Про-029"": 6.5808, ""Про-030"": 6.2544, ""Про-031"": 6.2527, ""Про-032"": 9.0931, ""Про-033"": 6.2011, ""Про-034"": 6.278, ""Про-035"": 6.278, ""Про-036"": 6.278, ""Про-037"": 7.5334, ""Про-038"": 6.5522, ""Про-039"": 7.171, ""Про-040"": 6.6907, ""Про-041"": 7.4976, ""Про-042"": 8.7996, ""Про-043"": 7.8099, ""Про-044"": 7.5901, ""Про-045"": 7.4111, ""Про-046"": 7.6956, ""Про-047"": 12.9477, ""Про-048"": 10.3967}",True,6.7305,0.5294,False
w352346386,Молодёжная улица,58,4,18.5,6.172,Про-028,Главная улица,6.172,0.0,21,"{""Про-028"": 6.172, ""Про-029"": 6.6615, ""Про-030"": 6.3351, ""Про-031"": 6.172, ""Про-032"": 9.1738, ""Про-033"": 6.2818, ""Про-034"": 6.2318, ""Про-035"": 6.2318, ""Про-036"": 6.2318, ""Про-037"": 7.6141, ""Про-038"": 6.6329, ""Про-039"": 7.2517, ""Про-040"": 6.7714, ""Про-041"": 7.5783, ""Про-042"": 8.8803, ""Про-043"": 7.8906, ""Про-044"": 7.6709, ""Про-045"": 7.4918, ""Про-046"": 7.7763, ""Про-047"": 12.867, ""Про-048"": 10.316}",True,6.6845,0.5125,False
w352348453,Молодёжная улица,60,4,26.1,6.172,Про-028,Главная улица,6.172,0.0,21,"{""Про-028"": 6.172, ""Про-029"": 6.6615, ""Про-030"": 6.3351, ""Про-031"": 6.172, ""Про-032"": 9.1738, ""Про-033"": 6.2818, ""Про-034"": 6.2318, ""Про-035"": 6.2318, ""Про-036"": 6.2318, ""Про-037"": 7.6141, ""Про-038"": 6.6329, ""Про-039"": 7.2517, ""Про-040"": 6.7714, ""Про-041"": 7.5783, ""Про-042"": 8.8803, ""Про-043"": 7.8906, ""Про-044"": 7.6709, ""Про-045"": 7.4918, ""Про-046"": 7.7763, ""Про-047"": 12.867, ""Про-048"": 10.316}",True,6.69,0.518,False
w352334990,Молодёжный переулок,1,4,15.4,6.3065,Про-028,Главная улица,6.3065,0.0,21,"{""Про-028"": 6.3065, ""Про-029"": 6.796, ""Про-030"": 6.4696, ""Про-031"": 6.3065, ""Про-032"": 9.3084, ""Про-033"": 6.4163, ""Про-034"": 6.3663, ""Про-035"": 6.3663, ""Про-036"": 6.3663, ""Про-037"": 7.7486, ""Про-038"": 6.7674, ""Про-039"": 7.3862, ""Про-040"": 6.9059, ""Про-041"": 7.7128, ""Про-042"": 9.0148, ""Про-043"": 8.0251, ""Про-044"": 7.8054, ""Про-045"": 7.6264, ""Про-046"": 7.9108, ""Про-047"": 13.0015, ""Про-048"": 10.4505}",True,6.8034,0.4969,False
w352346396,Молодёжный переулок,2,4,25.7,6.3435,Про-028,Главная улица,6.3435,0.0,21,"{""Про-028"": 6.3435, ""Про-029"": 6.833, ""Про-030"": 6.5066, ""Про-031"": 6.3435, ""Про-032"": 9.3453, ""Про-033"": 6.4533, ""Про-034"": 6.4032, ""Про-035"": 6.4032, ""Про-036"": 6.4032, ""Про-037"": 7.7856, ""Про-038"": 6.8044, ""Про-039"": 7.4232, ""Про-040"": 6.9429, ""Про-041"": 7.7498, ""Про-042"": 9.0518, ""Про-043"": 8.0621, ""Про-044"": 7.8423, ""Про-045"": 7.6633, ""Про-046"": 7.9478, ""Про-047"": 13.0385, ""Про-048"": 10.4136}",True,6.8404,0.4969,False
w352334988,Молодёжный переулок,3,4,27.1,6.3065,Про-028,Главная улица,6.3065,0.0,21,"{""Про-028"": 6.3065, ""Про-029"": 6.796, ""Про-030"": 6.4696, ""Про-031"": 6.3065, ""Про-032"": 9.3084, ""Про-033"": 6.4163, ""Про-034"": 6.3663, ""Про-035"": 6.3663, ""Про-036"": 6.3663, ""Про-037"": 7.7486, ""Про-038"": 6.7674, ""Про-039"": 7.3862, ""Про-040"": 6.9059, ""Про-041"": 7.7128, ""Про-042"": 9.0148, ""Про-043"": 8.0251, ""Про-044"": 7.8054, ""Про-045"": 7.6264, ""Про-046"": 7.9108, ""Про-047"": 13.0015, ""Про-048"": 10.4505}",True,6.8034,0.4969,False
w352346375,Молодёжный переулок,4,4,24.1,6.2891,Про-028,Главная улица,6.2891,0.0,21,"{""Про-028"": 6.2891, ""Про-029"": 6.7786, ""Про-030"": 6.4522, ""Про-031"": 6.2891, ""Про-032"": 9.291, ""Про-033"": 6.3989, ""Про-034"": 6.3489, ""Про-035"": 6.3489, ""Про-036"": 6.3489, ""Про-037"": 7.7312, ""Про-038"": 6.75, ""Про-039"": 7.3688, ""Про-040"": 6.8885, ""Про-041"": 7.6954, ""Про-042"": 8.9974, ""Про-043"": 8.0077, ""Про-044"": 7.788, ""Про-045"": 7.609, ""Про-046"": 7.8934, ""Про-047"": 12.9841, ""Про-048"": 10.4331}",True,6.7668,0.4777,False
