normalized_street,street_ru,settlement_ru,district_ru,display_address_ru,address_count,unaddressed_units
улица интернационалистов,улица Интернационалистов,Гиска,,улица Интернационалистов (Гиска),2,8
улица калинина,улица Калинина,Бендеры,,улица Калинина (Бендеры),71,62
улица калинина,улица Калинина,Парканы,,улица Калинина (Парканы),23,40
улица кирова,улица Кирова,Бендеры,,улица Кирова (Бендеры),86,76
улица кирова,улица Кирова,Гиска,,улица Кирова (Гиска),37,30
улица кирова,улица Кирова,Парканы,,улица Кирова (Парканы),102,131
улица космонавтов,улица Космонавтов,Бендеры,,улица Космонавтов (Бендеры),10,5
улица космонавтов,улица Космонавтов,Протягайловка,,улица Космонавтов (Протягайловка),10,41
улица курило,улица Курило,Бендеры,,улица Курило (Бендеры),11,2
улица курило,улица Курило,Гиска,,улица Курило (Гиска),4,26
улица ленина,улица Ленина,Бендеры,,улица Ленина (Бендеры),30,19
улица ленина,улица Ленина,Гиска,,улица Ленина (Гиска),76,521
улица ленина,улица Ленина,Парканы,,улица Ленина (Парканы),148,269
улица маяковского,улица Маяковского,Бендеры,,улица Маяковского (Бендеры),60,34
улица маяковского,улица Маяковского,Парканы,,улица Маяковского (Парканы),27,57
улица мира,улица Мира,Бендеры,,улица Мира (Бендеры),34,25
улица мира,улица Мира,Гиска,,улица Мира (Гиска),42,133
улица мира,улица Мира,Протягайловка,,улица Мира (Протягайловка),39,19
улица мичурина,улица Мичурина,Бендеры,,улица Мичурина (Бендеры),29,15
улица мичурина,улица Мичурина,Гиска,,улица Мичурина (Гиска),10,41
улица мичурина,улица Мичурина,Парканы,,улица Мичурина (Парканы),199,100
улица победы,улица Победы,Бендеры,,улица Победы (Бендеры),14,7
улица победы,улица Победы,Гиска,,улица Победы (Гиска),18,140
улица пушкина,улица Пушкина,Бендеры,,улица Пушкина (Бендеры),50,65
улица пушкина,улица Пушкина,Парканы,,улица Пушкина (Парканы),109,159
улица сергея лазо,улица Сергея Лазо,Бендеры,,улица Сергея Лазо (Бендеры),29,40
улица сергея лазо,улица Сергея Лазо,Парканы,,улица Сергея Лазо (Парканы),69,93
улица суворова,улица Суворова,Гиска,,улица Суворова (Гиска),46,83
улица суворова,улица Суворова,Парканы,,улица Суворова (Парканы),174,210
улица титова,улица Титова,Бендеры,,"улица Титова (Бендеры, другой район)",57,81
улица титова,улица Титова,Бендеры,Липканы,улица Титова (Липканы),5,12
улица ткаченко,улица Ткаченко,Бендеры,,улица Ткаченко (Бендеры),97,57
улица ткаченко,улица Ткаченко,Гиска,,улица Ткаченко (Гиска),6,45
улица фрунзе,улица Фрунзе,Бендеры,,улица Фрунзе (Бендеры),9,3
улица фрунзе,улица Фрунзе,Парканы,,улица Фрунзе (Парканы),135,101
улица чапаева,улица Чапаева,Бендеры,,улица Чапаева (Бендеры),31,25
улица чапаева,улица Чапаева,Парканы,,улица Чапаева (Парканы),188,259
улица чехова,улица Чехова,Бендеры,,улица Чехова (Бендеры),15,6
улица чехова,улица Чехова,Парканы,,улица Чехова (Парканы),53,74
улица чкалова,улица Чкалова,Бендеры,,улица Чкалова (Бендеры),10,1
улица чкалова,улица Чкалова,Парканы,,улица Чкалова (Парканы),97,136
улица шевченко,улица Шевченко,Бендеры,,улица Шевченко (Бендеры),52,25
улица шевченко,улица Шевченко,Парканы,,улица Шевченко (Парканы),40,87
улица энгельса,улица Энгельса,Бендеры,Липканы,улица Энгельса (Липканы),33,20
улица энгельса,улица Энгельса,Парканы,,улица Энгельса (Парканы),87,147
школьная улица,Школьная улица,Бендеры,,Школьная улица (Бендеры),21,15
школьная улица,Школьная улица,Гиска,,Школьная улица (Гиска),17,45
школьный переулок,Школьный переулок,Бендеры,,Школьный переулок (Бендеры),20,10
школьный переулок,Школьный переулок,Гиска,,Школьный переулок (Гиска),8,33
