settlement,osm_type,osm_id,name,name_ru,name_ro,official_name,alt_name,old_name,ru_display,ru_source,ru_status,road_class,is_address_street,needs_name_classification_review
protyagailovka,way,224898439,Первомайская улица,Первомайская улица,Strada 1 Mai,,,,Первомайская улица,name:ru,ok,address_street,True,False
protyagailovka,way,224898441,Первомайский переулок,Первомайский переулок,Stradela 1 Mai,,,,Первомайский переулок,name:ru,ok,address_street,True,False
protyagailovka,way,224691154,Пионерская улица,Пионерская улица,Strada Pionierilor,,,,Пионерская улица,name:ru,ok,address_street,True,False
protyagailovka,way,1265061308,Полевая,,,,,,Полевая,none,needs_ru_review,address_street,True,False
protyagailovka,way,222904322,Полевой переулок,Полевой переулок,,,,,Полевой переулок,name:ru,ok,address_street,True,False
protyagailovka,way,224903393,Садовая улица,Садовая улица,Strada Livezilor,,,,Садовая улица,name:ru,ok,address_street,True,False
protyagailovka,way,209668174,Санаторная улица,Санаторная улица,,,,,Санаторная улица,name:ru,ok,address_street,True,False
protyagailovka,way,224882001,Славянская улица,Славянская улица,Strada Slavianscaia,,,,Славянская улица,name:ru,ok,address_street,True,False
protyagailovka,way,224903380,Сливовая,,,,,,Сливовая,none,needs_ru_review,address_street,True,False
protyagailovka,way,222904324,Совхозная улица,Совхозная улица,Strada Sovhozului,,,,Совхозная улица,name:ru,ok,address_street,True,False
protyagailovka,way,60739692,Степной переулок,Степной переулок,,,,,Степной переулок,name:ru,ok,service,False,True
protyagailovka,way,223692025,переулок Куйбышева,переулок Куйбышева,Strada Kuibișev,,,,переулок Куйбышева,name:ru,ok,address_street,True,False
protyagailovka,way,230698195,переулок Полоза,переулок Полоза,Stradela Poloz,,,,переулок Полоза,name:ru,ok,address_street,True,False
protyagailovka,way,209668169,улица 50 лет Победы,улица 50 лет Победы,Strada 50 de ani ai Biruinței,,,,улица 50 лет Победы,name:ru,ok,address_street,True,False
protyagailovka,way,224903396,улица Академика Берга,улица Академика Берга,Strada Academician Berg,,,,улица Академика Берга,name:ru,ok,address_street,True,False
protyagailovka,way,222904321,улица Алеку Руссо,улица Алеку Руссо,Strada Alecu Russo,,,,улица Алеку Руссо,name:ru,ok,address_street,True,False
protyagailovka,way,91850331,улица Интернационалистов,улица Интернационалистов,Strada Internaționaliștilor,,,,улица Интернационалистов,name:ru,ok,address_street,True,False
protyagailovka,way,224898438,улица Космонавтов,улица Космонавтов,Strada Cosmonauţilor,,,,улица Космонавтов,name:ru,ok,address_street,True,False
protyagailovka,way,91850344,улица Кошевого,улица Кошевого,Strada Coșevoi,,,,улица Кошевого,name:ru,ok,address_street,True,False
protyagailovka,way,223691988,улица Мира,улица Мира,Strada Păcii,,,,улица Мира,name:ru,ok,address_street,True,False
protyagailovka,way,224898442,улица Мунтяна,улица Мунтяна,Strada Muntean,,,,улица Мунтяна,name:ru,ok,address_street,True,True
protyagailovka,way,224903405,улица Николая Белана,улица Николая Белана,Strada Nicolai Belan,,,,улица Николая Белана,name:ru,ok,address_street,True,False
protyagailovka,way,315963790,улица Серикова,улица Серикова,Strada Sericov,,,,улица Серикова,name:ru,ok,address_street,True,False
protyagailovka,way,222904320,улица Штефан чел Маре,улица Штефан чел Маре,Strada Ștefan cel Mare,,,,улица Штефан чел Маре,name:ru,ok,address_street,True,False
