control_id,uid,district,target_district,street,housenumber,destination_lat,destination_lon,control_reason,checked_date,yandex_fastest_distance_km,yandex_fastest_duration_min,yandex_alternative_distance_km,yandex_alternative_duration_min,yandex_main_streets,yandex_district_entry,yandex_rail_crossing_or_bridge,matches_owner_corridor,current_zone,current_osrm_km,our_engine_km,expected_entry_our_engine,yandex_minus_osrm_km,yandex_osrm_ratio,calibration_status,owner_review_required
MY-034,n2459051322,Парканы,Парканы,улица Чапаева,37,46.84179,29.52393,3 средних,,,,,,,,,,3,5.1801,4.8612,Пар-002 Кишинёв-Тирасполь,,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
MY-035,w352339715,Протягайловка,Протягайловка,Гербовецкая улица,84,46.82566,29.44035,3 средних,,,,,,,,,,4,6.4655,5.9516,Про-030 улица Кошевого,,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
MY-036,w353044310,Протягайловка,Протягайловка,Главная улица,24,46.81594,29.45069,3 ближайших к центру; дом у въезда Про-028 (Главная улица); граница Zone2/3,,,,,,,,,,3,4.4839,4.3129,Про-028 Главная улица,,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
MY-037,n2337985528,Протягайловка,Протягайловка,Главная улица,2а,46.81659,29.4511,3 ближайших к центру; граница Zone2/3,,,,,,,,,,3,4.555,4.3709,Про-028 Главная улица,,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
MY-038,n2337985520,Протягайловка,Протягайловка,Комсомольская улица,2,46.81754,29.45254,дом у въезда Про-031 (Комсомольская улица),,,,,,,,,,3,4.8488,4.5475,Про-031 Комсомольская улица,,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
MY-039,w352161718,Протягайловка,Протягайловка,Комсомольская улица,62,46.82207,29.44942,граница Zone3/4,,,,,,,,,,3,5.7444,5.1249,Про-034 Гербовецкая улица,,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
MY-040,w352333671,Протягайловка,Протягайловка,Первомайская улица,38,46.82712,29.44292,3 средних,,,,,,,,,,4,6.4686,5.957,Про-038 переулок Полоза,,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
MY-041,w316845604,Протягайловка,Протягайловка,Садовая улица,32а,46.84279,29.43724,3 самых дальних,,,,,,,,,,4,9.0635,7.7781,Про-041,,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
MY-042,w316846224,Протягайловка,Протягайловка,Садовая улица,43,46.84163,29.43558,3 самых дальних,,,,,,,,,,4,9.1212,7.7511,Про-041,,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
MY-043,w352285818,Протягайловка,Протягайловка,Санаторная улица,40,46.82669,29.44895,дом у въезда Про-030 (улица Кошевого),,,,,,,,,,4,5.9966,5.5615,Про-030 улица Кошевого,,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
