uid,settlement_ru,district_ru,street_ru,housenumber,current_zone,why,fastest_distance_km,fastest_duration_s,min_alt_distance_km,n_alternatives,straight_line_km,detour_ratio,in_city_km,outside_city_km,snap_distance_m,nearest_road_highway,flags,verdict
n2325729693,Бендеры,Борисовка,2-й Братский переулок,2,2,district_Борисовка,4.0045,387.6,4.0045,0,2.177,1.839,3.9999,0.0,0.0,residential,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w319615908,Бендеры,Борисовка,2-й Братский переулок,3,2,district_Борисовка,4.0612,395.8,4.0612,0,2.227,1.823,4.0565,0.0,11.0,residential,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w351855709,Бендеры,Борисовка,2-й Братский переулок,5,2,district_Борисовка,4.0969,400.9,4.0969,0,2.26,1.813,4.0922,0.0,15.8,residential,detour_gt_1.5,INSUFFICIENT_EVIDENCE
n4919312077,Бендеры,Борисовка,2-й Братский переулок,6 Б,2,district_Борисовка,3.9873,385.1,3.9873,0,2.164,1.843,3.9827,0.0,8.8,residential,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w351855710,Бендеры,Борисовка,2-й Братский переулок,7,2,district_Борисовка,4.1069,402.4,4.1069,0,2.265,1.813,4.1021,0.0,29.0,residential,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w351855713,Бендеры,Борисовка,2-й Братский переулок,9,2,district_Борисовка,4.1341,406.3,4.1341,0,2.295,1.801,4.1292,0.0,14.7,residential,detour_gt_1.5,INSUFFICIENT_EVIDENCE
n2325729692,Бендеры,Борисовка,2-й Братский переулок,12,2,district_Борисовка,4.1395,407,4.1395,0,2.306,1.795,4.1346,0.0,3.6,residential,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w319141416,Бендеры,Борисовка,2-й переулок Петровского,4,2,district_Борисовка,4.0793,368.4,4.0793,0,2.08,1.961,4.0746,0.0,21.9,residential,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w319141422,Бендеры,Борисовка,2-й переулок Петровского,4,2,district_Борисовка,4.0388,362.7,4.0388,0,2.029,1.991,4.0341,0.0,13.4,residential,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w319141417,Бендеры,Борисовка,2-й переулок Петровского,5,2,district_Борисовка,4.1288,375.5,4.1288,0,2.124,1.944,4.1239,0.0,13.0,residential,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w319141418,Бендеры,Борисовка,2-й переулок Петровского,8,2,district_Борисовка,4.1119,373.1,4.1119,0,2.109,1.95,4.1071,0.0,17.1,residential,detour_gt_1.5,INSUFFICIENT_EVIDENCE
n5708918557,Бендеры,Борисовка,2-й переулок Петровского,15,2,district_Борисовка,4.1145,373.5,4.1145,0,2.101,1.958,4.1097,0.0,13.8,residential,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w319139366,Бендеры,Борисовка,2-й переулок Петровского,45,2,district_Борисовка,4.0068,358.1,4.0068,0,2.002,2.002,4.0021,0.0,9.1,residential,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w317148593,Бендеры,Борисовка,Безымянный переулок,23,3,district_Борисовка,5.9943,368.5,5.1264,1,1.618,3.705,5.9914,0.0,25.8,primary,detour_gt_1.5;alt_>10pct_shorter,OSRM_ROUTE_SELECTION_ISSUE
w209273615,Бендеры,Борисовка,Безымянный переулок,42,3,district_Борисовка,6.0509,371.6,5.0697,1,1.687,3.586,6.048,0.0,27.4,primary,detour_gt_1.5;alt_>10pct_shorter,OSRM_ROUTE_SELECTION_ISSUE
w317055539,Бендеры,Борисовка,Безымянный переулок,44,3,district_Борисовка,6.0384,370.9,5.0822,1,1.674,3.606,6.0355,0.0,18.3,primary,detour_gt_1.5;alt_>10pct_shorter,OSRM_ROUTE_SELECTION_ISSUE
w209273643,Бендеры,Борисовка,Безымянный переулок,46,3,district_Борисовка,6.0149,369.6,5.1057,1,1.668,3.607,6.012,0.0,19.6,primary,detour_gt_1.5;alt_>10pct_shorter,OSRM_ROUTE_SELECTION_ISSUE
w209273632,Бендеры,Борисовка,Безымянный переулок,48,3,district_Борисовка,6.0317,380.6,5.1936,1,1.692,3.564,6.0287,0.0,15.5,residential,detour_gt_1.5;alt_>10pct_shorter,OSRM_ROUTE_SELECTION_ISSUE
w209273614,Бендеры,Борисовка,Безымянный переулок,50в,3,district_Борисовка,6.0608,399.1,5.2548,1,1.705,3.555,6.0576,0.0,14.2,residential,detour_gt_1.5;alt_>10pct_shorter,OSRM_ROUTE_SELECTION_ISSUE
w318090595,Бендеры,Борисовка,Безымянный переулок,63,4,in_city_zone4;district_Борисовка,6.1368,395.8,5.2987,1,1.793,3.423,6.1335,0.0,21.8,residential,detour_gt_1.5;alt_>10pct_shorter,OSRM_ROUTE_SELECTION_ISSUE
w319139357,Бендеры,Борисовка,Бельцкая улица,1,3,district_Борисовка,4.4878,405.1,4.4878,1,2.043,2.197,4.4819,0.0,17.3,tertiary,detour_gt_1.5,INSUFFICIENT_EVIDENCE
