settlement,street_ru,osm_ids,confirmed_addresses,confirmed_residential_buildings,probable_residential_buildings,apartment_buildings,nonresidential_buildings,outbuildings,abandoned_or_ruin,official_web_evidence,civic_or_commercial_pois,connected_to_core,distance_to_core_by_road_km,demand_tier,affects_zone_pricing,service_status,reason
bender_lipcani,улица Гайдара,160164521;1354885974;1354885975,11,11,4,0,0,0,0,False,0,True,0.0,A,True,standard,confirmed_addresses>=5
bender_lipcani,улица Иона Солтыса,165636729,23,19,9,1,1,0,0,False,0,True,0.0,A,True,standard,apartment_building
bender_lipcani,улица Кутузова,160164518;209669538,35,35,19,0,0,0,0,False,1,True,0.0,A,True,standard,confirmed_addresses>=5
bender_lipcani,улица Панина,1354885995,4,3,3,0,0,0,0,False,3,False,,A,True,standard,active_civic_or_commercial_poi
bender_lipcani,улица Титова,87499736,5,2,7,0,0,0,0,False,8,False,,A,True,standard,confirmed_addresses>=5
bender_lipcani,улица Шмидта,60739725,26,26,19,0,0,0,0,False,2,True,0.0,A,True,standard,confirmed_addresses>=5
bender_lipcani,улица Энгельса,136388030;223694718;321419593;415365323,44,41,16,3,2,0,1,True,6,True,0.0,A,True,standard,apartment_building
giska,Госпитальная улица,223226239;223226271;223226498;255961147,57,26,163,0,0,0,0,True,0,True,0.0,A,True,standard,confirmed_addresses>=5
giska,Гыска-Золотиевка,674138530,0,0,1,0,0,0,0,False,0,False,3.453,C,False,no_delivery,at_most_2_probable_residences
giska,Заречная улица,223678956;223679180;492941936;492941937;1355154976,2,0,54,0,0,0,0,False,0,False,2.17,A,True,standard,residential_buildings>=8
giska,Молодёжная улица,223225486,13,14,91,0,0,0,0,True,0,True,0.0,A,True,standard,confirmed_addresses>=5
giska,Октябрьская улица,223677079,9,9,45,0,0,0,0,True,0,False,3.24,A,True,standard,confirmed_addresses>=5
giska,Октябрьский переулок,223676960,8,6,27,0,0,0,0,True,0,False,3.133,A,True,standard,confirmed_addresses>=5
giska,Первомайская улица,255706751,8,4,16,0,0,0,0,True,1,False,0.219,A,True,standard,confirmed_addresses>=5
giska,Приднестровская улица,352361041,2,4,11,0,1,0,0,True,0,True,0.037,A,True,standard,residential_buildings>=8
giska,Садовая улица,223673077;223675655;223677523;223686569;718467418,49,30,118,0,0,0,1,True,1,False,3.313,A,True,standard,confirmed_addresses>=5
giska,Студенческая улица,448094527;1482250003,6,12,5,3,1,1,0,True,1,False,,A,True,standard,apartment_building
giska,Театральная улица,223684900,17,15,24,5,0,0,0,True,4,False,2.067,A,True,standard,apartment_building
giska,Учительская улица,223668765;223668792,17,13,48,0,0,0,0,True,1,False,1.048,A,True,standard,confirmed_addresses>=5
giska,Школьная улица,223256046;223680963,16,16,49,0,0,0,0,True,0,False,1.305,A,True,standard,confirmed_addresses>=5
