canonical_address,full_address_ru,display_address_ru,settlement_ru,district_ru,street_ru,housenumber,coordinate_spread_m,candidate_uid,lon,lat,expected_km,status,resolution,direct_export_eligible
бендеры||улица мичурина|8,"Бендеры, улица Мичурина, дом 8",улица Мичурина (Бендеры),Бендеры,,улица Мичурина,8,150,w209654277,29.46525,46.80771,3.093,disputed,owner_review_required,False
бендеры||улица мичурина|8,"Бендеры, улица Мичурина, дом 8",улица Мичурина (Бендеры),Бендеры,,улица Мичурина,8,150,w337742108,29.46723,46.80851,2.909,disputed,owner_review_required,False
бендеры||улица мичурина|1,"Бендеры, улица Мичурина, дом 1",улица Мичурина (Бендеры),Бендеры,,улица Мичурина,1,363,w209654355,29.46557,46.80843,2.993,disputed,owner_review_required,False
бендеры||улица мичурина|1,"Бендеры, улица Мичурина, дом 1",улица Мичурина (Бендеры),Бендеры,,улица Мичурина,1,363,w352468388,29.4608,46.80917,3.48,disputed,owner_review_required,False
бендеры||улица мичурина|10,"Бендеры, улица Мичурина, дом 10",улица Мичурина (Бендеры),Бендеры,,улица Мичурина,10,194,w209654380,29.46442,46.80784,3.14,disputed,owner_review_required,False
бендеры||улица мичурина|10,"Бендеры, улица Мичурина, дом 10",улица Мичурина (Бендеры),Бендеры,,улица Мичурина,10,194,w333962870,29.46697,46.80853,2.929,disputed,owner_review_required,False
бендеры||коммунистическая улица|2,"Бендеры, Коммунистическая улица, дом 2",Коммунистическая улица (Бендеры),Бендеры,,Коммунистическая улица,2,2663,w209654420,29.46699,46.80756,2.941,disputed,owner_review_required,False
бендеры||коммунистическая улица|2,"Бендеры, Коммунистическая улица, дом 2",Коммунистическая улица (Бендеры),Бендеры,,Коммунистическая улица,2,2663,w299339819,29.48118,46.83155,1.26,disputed,owner_review_required,False
бендеры||улица кавриаго|54,"Бендеры, улица Кавриаго, дом 54",улица Кавриаго,Бендеры,,улица Кавриаго,54,1519,w211496745,29.472,46.81981,1.833,disputed,owner_review_required,False
бендеры||улица кавриаго|54,"Бендеры, улица Кавриаго, дом 54",улица Кавриаго,Бендеры,,улица Кавриаго,54,1519,w291721556,29.48105,46.81834,1.058,disputed,owner_review_required,False
бендеры||улица кавриаго|54,"Бендеры, улица Кавриаго, дом 54",улица Кавриаго,Бендеры,,улица Кавриаго,54,1519,w295422057,29.49199,46.8154,1.811,disputed,owner_review_required,False
бендеры||комсомольская улица|12,"Бендеры, Комсомольская улица, дом 12",Комсомольская улица (Бендеры),Бендеры,,Комсомольская улица,12,1559,w211496767,29.47055,46.82151,1.773,disputed,owner_review_required,False
бендеры||комсомольская улица|12,"Бендеры, Комсомольская улица, дом 12",Комсомольская улица (Бендеры),Бендеры,,Комсомольская улица,12,1559,w295079341,29.49106,46.81802,1.446,disputed,owner_review_required,False
бендеры||переулок суворова|119,"Бендеры, переулок Суворова, дом 119",переулок Суворова (Бендеры),Бендеры,,переулок Суворова,119,158,w222755371,29.48022,46.81544,1.481,disputed,owner_review_required,False
бендеры||переулок суворова|119,"Бендеры, переулок Суворова, дом 119",переулок Суворова (Бендеры),Бендеры,,переулок Суворова,119,158,w295115432,29.4823,46.81568,1.965,disputed,owner_review_required,False
бендеры||первомайская улица|84,"Бендеры, Первомайская улица, дом 84",Первомайская улица (Бендеры),Бендеры,,Первомайская улица,84,939,w222787499,29.47496,46.81419,1.889,disputed,owner_review_required,False
бендеры||первомайская улица|84,"Бендеры, Первомайская улица, дом 84",Первомайская улица (Бендеры),Бендеры,,Первомайская улица,84,939,w295401084,29.48732,46.81286,2.072,disputed,owner_review_required,False
бендеры||комсомольская улица|56,"Бендеры, Комсомольская улица, дом 56",Комсомольская улица (Бендеры),Бендеры,,Комсомольская улица,56,670,w222794981,29.47975,46.81956,1.134,disputed,owner_review_required,False
бендеры||комсомольская улица|56,"Бендеры, Комсомольская улица, дом 56",Комсомольская улица (Бендеры),Бендеры,,Комсомольская улица,56,670,w295073325,29.48857,46.81805,1.409,disputed,owner_review_required,False
бендеры||московская улица|38,"Бендеры, Московская улица, дом 38",Московская улица,Бендеры,,Московская улица,38,223,w222823679,29.48251,46.82161,0.677,disputed,owner_review_required,False
бендеры||московская улица|38,"Бендеры, Московская улица, дом 38",Московская улица,Бендеры,,Московская улица,38,223,w291296563,29.48544,46.82001,0.974,disputed,owner_review_required,False
бендеры||комсомольская улица|74,"Бендеры, Комсомольская улица, дом 74",Комсомольская улица (Бендеры),Бендеры,,Комсомольская улица,74,678,w222830312,29.4831,46.81872,1.52,disputed,owner_review_required,False
бендеры||комсомольская улица|74,"Бендеры, Комсомольская улица, дом 74",Комсомольская улица (Бендеры),Бендеры,,Комсомольская улица,74,678,w295080208,29.49202,46.81797,1.518,disputed,owner_review_required,False
бендеры||железнодорожная улица|15,"Бендеры, Железнодорожная улица, дом 15",Железнодорожная улица,Бендеры,,Железнодорожная улица,15,624,w224336145,29.45805,46.82187,4.818,disputed,owner_review_required,False
бендеры||железнодорожная улица|15,"Бендеры, Железнодорожная улица, дом 15",Железнодорожная улица,Бендеры,,Железнодорожная улица,15,624,w317051426,29.46098,46.82749,5.241,disputed,owner_review_required,False
бендеры||тираспольская улица|2,"Бендеры, Тираспольская улица, дом 2",Тираспольская улица,Бендеры,,Тираспольская улица,2,166,w256220908,29.48398,46.82908,1.306,disputed,owner_review_required,False
бендеры||тираспольская улица|2,"Бендеры, Тираспольская улица, дом 2",Тираспольская улица,Бендеры,,Тираспольская улица,2,166,w256222009,29.48616,46.82853,1.479,disputed,owner_review_required,False
бендеры||комсомольская улица|85,"Бендеры, Комсомольская улица, дом 85",Комсомольская улица (Бендеры),Бендеры,,Комсомольская улица,85,161,w288717194,29.48251,46.81993,0.854,disputed,owner_review_required,False
бендеры||комсомольская улица|85,"Бендеры, Комсомольская улица, дом 85",Комсомольская улица (Бендеры),Бендеры,,Комсомольская улица,85,161,w295004050,29.48385,46.81848,1.118,disputed,owner_review_required,False
бендеры||комсомольская улица|87,"Бендеры, Комсомольская улица, дом 87",Комсомольская улица (Бендеры),Бендеры,,Комсомольская улица,87,153,w288717196,29.48234,46.81978,0.874,disputed,owner_review_required,False
бендеры||комсомольская улица|87,"Бендеры, Комсомольская улица, дом 87",Комсомольская улица (Бендеры),Бендеры,,Комсомольская улица,87,153,w295004048,29.48365,46.8184,1.461,disputed,owner_review_required,False
бендеры||комсомольская улица|54,"Бендеры, Комсомольская улица, дом 54",Комсомольская улица (Бендеры),Бендеры,,Комсомольская улица,54,602,w288717216,29.4798,46.81995,1.085,disputed,owner_review_required,False
бендеры||комсомольская улица|54,"Бендеры, Комсомольская улица, дом 54",Комсомольская улица (Бендеры),Бендеры,,Комсомольская улица,54,602,w327779742,29.48772,46.81812,1.324,disputed,owner_review_required,False
бендеры||комсомольская улица|95,"Бендеры, Комсомольская улица, дом 95",Комсомольская улица (Бендеры),Бендеры,,Комсомольская улица,95,520,w289022016,29.4752,46.82055,1.837,disputed,owner_review_required,False
бендеры||комсомольская улица|95,"Бендеры, Комсомольская улица, дом 95",Комсомольская улица (Бендеры),Бендеры,,Комсомольская улица,95,520,w290336192,29.477,46.82009,1.318,disputed,owner_review_required,False
бендеры||комсомольская улица|95,"Бендеры, Комсомольская улица, дом 95",Комсомольская улица (Бендеры),Бендеры,,Комсомольская улица,95,520,w293713539,29.48204,46.81844,1.022,disputed,owner_review_required,False
бендеры||коммунистическая улица|69,"Бендеры, Коммунистическая улица, дом 69",Коммунистическая улица (Бендеры),Бендеры,,Коммунистическая улица,69,1139,w289102412,29.47824,46.82316,0.96,disputed,owner_review_required,False
бендеры||коммунистическая улица|69,"Бендеры, Коммунистическая улица, дом 69",Коммунистическая улица (Бендеры),Бендеры,,Коммунистическая улица,69,1139,w302537736,29.47232,46.8129,2.196,disputed,owner_review_required,False
бендеры||советская улица|52,"Бендеры, Советская улица, дом 52",Советская улица,Бендеры,,Советская улица,52,210,w289102551,29.48008,46.82038,1.044,disputed,owner_review_required,False
бендеры||советская улица|52,"Бендеры, Советская улица, дом 52",Советская улица,Бендеры,,Советская улица,52,210,w291721554,29.48101,46.81849,1.043,disputed,owner_review_required,False
бендеры||улица кирова|17,"Бендеры, улица Кирова, дом 17",улица Кирова (Бендеры),Бендеры,,улица Кирова,17,860,w290295822,29.47467,46.82118,1.396,disputed,owner_review_required,False
бендеры||улица кирова|17,"Бендеры, улица Кирова, дом 17",улица Кирова (Бендеры),Бендеры,,улица Кирова,17,860,w295022294,29.47906,46.82893,1.082,disputed,owner_review_required,False
бендеры||московская улица|40,"Бендеры, Московская улица, дом 40",Московская улица,Бендеры,,Московская улица,40,304,w290295828,29.48236,46.8213,0.768,disputed,owner_review_required,False
бендеры||московская улица|40,"Бендеры, Московская улица, дом 40",Московская улица,Бендеры,,Московская улица,40,304,w291294912,29.48636,46.8197,1.053,disputed,owner_review_required,False
