uid,district,street,house,current_zone,snap_m,true_shortest_km,current_osrm_km,current_minus_true_km,overstated_gt_10pct,owner_review_required
w319139372,Борисовка,Бельцкая улица,106,2,38.2,4.0524,4.4225,0.3701,False,True
n2337855688,Борисовка,Братская улица,7,2,29.7,3.7854,4.1273,0.3419,False,True
w297047299,Борисовка,Братская улица,8,2,38.4,3.7854,4.1345,0.3491,False,True
w297047300,Борисовка,Братская улица,10,2,27.2,3.8514,4.1552,0.3038,False,True
n2337855692,Борисовка,Братская улица,11,2,28.3,3.8514,4.1498,0.2984,False,True
w319615914,Борисовка,Братская улица,12,2,14.1,3.8514,4.1731,0.3217,False,True
n5682775200,Борисовка,Братская улица,12/1,2,19.0,3.8514,4.1794,0.328,False,True
n2337855693,Борисовка,Братская улица,13,2,26.6,3.8514,4.1953,0.3439,False,True
w319620058,Борисовка,Братская улица,14,2,27.5,3.8514,4.1968,0.3454,False,True
n2325729703,Борисовка,Братская улица,22,2,10.6,3.9614,4.4001,0.4387,True,True
n2325729718,Борисовка,Варницкий тупик,1,3,19.8,4.028,4.5645,0.5365,True,True
w352110120,Борисовка,Варницкий тупик,9,3,15.3,3.9792,4.5406,0.5614,True,True
n2325729715,Борисовка,Варницкий тупик,13,3,33.3,4.0789,4.8072,0.7283,True,True
w352667478,Борисовка,Варницкий тупик,14,3,22.5,4.0789,4.8179,0.739,True,True
w352667476,Борисовка,Варницкий тупик,16,3,30.8,4.1178,4.7956,0.6778,True,True
n2337985509,Хомутяновка,Гербовецкая улица,1,3,33.0,5.2051,5.6548,0.4497,False,True
w352064505,Хомутяновка,Гербовецкая улица,4,3,30.3,5.087,5.5325,0.4455,False,True
w352064507,Хомутяновка,Гербовецкая улица,6,3,43.3,5.087,5.5546,0.4676,False,True
w352161715,Хомутяновка,Гербовецкая улица,8,3,56.3,5.087,5.5698,0.4828,False,True
w352161714,Хомутяновка,Гербовецкая улица,10,3,46.7,5.1844,5.588,0.4036,False,True
w352161713,Хомутяновка,Гербовецкая улица,12,3,33.3,5.1844,5.6035,0.4191,False,True
w352161711,Хомутяновка,Гербовецкая улица,14,3,40.6,5.1844,5.629,0.4446,False,True
w352161710,Хомутяновка,Гербовецкая улица,16,3,35.8,5.1844,5.6425,0.4581,False,True
w352161708,Хомутяновка,Гербовецкая улица,18,3,51.8,5.1943,5.6594,0.4651,False,True
w352161709,Хомутяновка,Гербовецкая улица,20,3,31.9,5.1943,5.6775,0.4832,False,True
w352161707,Хомутяновка,Гербовецкая улица,22,3,29.1,5.1943,5.6977,0.5034,False,True
w352161706,Хомутяновка,Гербовецкая улица,24,3,39.2,5.1943,5.7168,0.5225,True,True
w352161705,Хомутяновка,Гербовецкая улица,26,3,58.3,5.1943,5.7332,0.5389,True,True
w352161717,Хомутяновка,Гербовецкая улица,28,3,68.2,5.1943,5.7422,0.5479,True,True
w352161704,Хомутяновка,Гербовецкая улица,30,4,56.5,5.3406,5.7561,0.4155,False,True
n2321951519,Хомутяновка,Гербовецкая улица,43,3,25.6,4.9911,5.2933,0.3022,False,True
