uid,osm_type,osm_id,unit_type,settlement,street_ru,housenumber,tier,lon,lat,weight,expected_km,expected_min,central_km,central_min,bam_km,bam_min,worst_origin_km,band_k4,band_k5
w405292297,w,405292297,addressed_residential_building,bender_core,Индустриальная улица,57,A,29.48959,46.79595,1.0,3.648,4.56,3.465,4.273,6.1239,7.8,6.124,2,2
n2457586878,n,2457586878,addressed_residential_building,parkany,улица Ленина,26,A,29.51026,46.83179,1.0,3.649,4.471,3.521,4.272,4.2189,5.527,5.988,2,2
w310488608,w,310488608,addressed_residential_building,bender_core,улица Менделеева,20,A,29.4624,46.81239,1.0,3.649,5.151,3.629,5.093,4.9028,6.417,4.914,2,2
w319142247,w,319142247,unaddressed_residential_building,bender_core,улица Титова,,A,29.4711,46.83951,0.5,3.649,5.353,3.809,5.615,0.4403,0.673,5.607,2,2
w320273748,w,320273748,unaddressed_residential_building,bender_core,Индустриальная улица,,A,29.48737,46.79687,0.5,3.65,4.726,3.467,4.44,6.1259,7.967,6.126,2,2
w404776030,w,404776030,addressed_residential_building,bender_lipcani,Подольская улица,12,A,29.4789,46.84479,1.0,3.65,5.654,3.717,5.775,1.413,2.547,6.455,2,2
w657319763,w,657319763,unaddressed_residential_building,bender_core,Индустриальная улица,,A,29.48951,46.79613,0.5,3.65,4.568,3.467,4.282,6.1258,7.808,6.126,2,2
w291296604,w,291296604,unaddressed_residential_building,parkany,улица Ленина,,A,29.51028,46.83177,0.5,3.651,4.475,3.523,4.275,4.221,5.53,5.99,2,2
n2323152092,n,2323152092,addressed_residential_building,parkany,Комсомольская улица,18,A,29.51421,46.8352,1.0,3.652,4.436,3.523,4.237,4.2211,5.492,5.99,2,2
w1292293317,w,1292293317,unaddressed_residential_building,parkany,улица Димитрова,,A,29.50885,46.83763,0.5,3.652,4.601,3.523,4.402,4.2215,5.657,5.99,2,2
w160157520,w,160157520,addressed_residential_building,,,22,A,29.47107,46.80317,1.0,3.652,4.354,3.593,4.222,5.8838,6.877,5.884,2,2
w160157531,w,160157531,addressed_residential_building,,,40,A,29.47218,46.80171,1.0,3.652,4.635,3.567,4.478,6.0733,7.337,6.073,2,2
n2459596452,n,2459596452,addressed_residential_building,parkany,Садовая улица,9,A,29.50724,46.83678,1.0,3.653,4.815,3.524,4.615,4.2223,5.87,5.991,2,2
w1292293315,w,1292293315,unaddressed_residential_building,parkany,улица Благоева,,A,29.51221,46.83685,0.5,3.653,4.47,3.525,4.27,4.223,5.525,5.992,2,2
w284759177,w,284759177,unaddressed_residential_building,parkany,Комсомольская улица,,A,29.51424,46.83514,0.5,3.653,4.438,3.524,4.238,4.2222,5.493,5.991,2,2
w701259562,w,701259562,unaddressed_residential_building,parkany,улица Благоева,,A,29.5121,46.83686,0.5,3.653,4.468,3.525,4.268,4.2227,5.523,5.992,2,2
w284652436,w,284652436,unaddressed_residential_building,parkany,улица Благоева,,A,29.51181,46.83688,0.5,3.654,4.47,3.525,4.27,4.2231,5.525,5.992,2,2
w284657857,w,284657857,unaddressed_residential_building,parkany,улица Шевченко,,A,29.5129,46.83624,0.5,3.654,4.575,3.526,4.375,4.2241,5.63,5.993,2,2
w286744462,w,286744462,unaddressed_residential_building,parkany,улица Пушкина,,A,29.51317,46.83352,0.5,3.655,4.461,3.526,4.262,4.2244,5.517,5.993,2,2
n2457586655,n,2457586655,addressed_residential_building,parkany,улица Ленина,43,A,29.51073,46.83183,1.0,3.656,4.483,3.528,4.283,4.2257,5.538,5.995,2,2
n2459417349,n,2459417349,addressed_residential_building,parkany,улица Пушкина,23,A,29.51251,46.83334,1.0,3.656,4.465,3.528,4.265,4.226,5.52,5.995,2,2
w316026037,w,316026037,unaddressed_residential_building,bender_lipcani,улица Титова,,A,29.47325,46.84363,0.5,3.656,5.812,3.785,6.01,0.4518,1.505,6.522,2,2
w353810455,w,353810455,unaddressed_residential_building,,,,A,29.47693,46.7951,0.5,3.656,3.758,3.512,3.508,6.1705,7.035,6.17,2,2
w284664991,w,284664991,unaddressed_residential_building,parkany,улица Димитрова,,A,29.50867,46.83766,0.5,3.657,4.615,3.529,4.415,4.2269,5.67,5.996,2,2
w285545454,w,285545454,unaddressed_residential_building,parkany,улица Пушкина,,A,29.51209,46.83323,0.5,3.657,4.465,3.529,4.265,4.2267,5.52,5.996,2,2
w399048970,w,399048970,addressed_residential_building,bender_lipcani,Красивая улица,10,A,29.48348,46.84613,1.0,3.657,5.724,3.724,5.845,1.4195,2.617,6.461,2,2
w733036065,w,733036065,unaddressed_residential_building,bender_core,Коммунистическая улица,,A,29.4617,46.80077,0.5,3.657,4.408,3.569,4.28,6.1827,7.023,6.183,2,2
n2323352002,n,2323352002,addressed_residential_building,parkany,улица Благоева,12,A,29.51182,46.83693,1.0,3.658,4.476,3.53,4.277,4.2278,5.532,5.997,2,2
n2883806386,n,2883806386,addressed_residential_building,parkany,улица Шевченко,7,A,29.51298,46.83606,1.0,3.658,4.583,3.529,4.383,4.2275,5.638,5.997,2,2
w319142245,w,319142245,unaddressed_residential_building,bender_core,улица Титова,,A,29.47095,46.83953,0.5,3.658,5.365,3.817,5.627,0.4488,0.685,5.616,2,2
w405741159,w,405741159,unaddressed_residential_building,parkany,Садовая улица,,A,29.50728,46.83683,0.5,3.658,4.826,3.529,4.627,4.2274,5.882,5.996,2,2
w286744460,w,286744460,unaddressed_residential_building,parkany,улица Пушкина,,A,29.51275,46.83337,0.5,3.659,4.468,3.531,4.268,4.2289,5.523,5.998,2,2
w441951719,w,441951719,addressed_residential_building,bender_core,улица Менделеева,11,A,29.46291,46.81222,1.0,3.661,5.179,3.64,5.122,4.9144,6.445,4.926,2,2
w284665366,w,284665366,unaddressed_residential_building,parkany,Садовая улица,,A,29.50775,46.83694,0.5,3.662,4.836,3.534,4.637,4.2316,5.892,6.001,2,2
w291296605,w,291296605,unaddressed_residential_building,parkany,улица Ленина,,A,29.51098,46.83183,0.5,3.662,4.491,3.534,4.292,4.2319,5.547,6.001,2,2
w310206422,w,310206422,addressed_residential_building,bender_core,улица Менделеева,18,A,29.46251,46.81247,1.0,3.662,5.182,3.641,5.125,4.9155,6.448,4.927,2,2
w319384383,w,319384383,addressed_residential_building,bender_core,Индустриальная улица,59,A,29.48963,46.79562,1.0,3.662,4.393,3.48,4.107,6.1384,7.633,6.138,2,2
w319141456,w,319141456,addressed_residential_building,bender_core,улица Зои Космодемьянской,4,A,29.46994,46.83946,1.0,3.663,5.634,3.823,5.878,0.4549,1.093,5.591,2,2
w96821642,w,96821642,addressed_residential_building,bender_lipcani,улица Энгельса,10,A,29.48183,46.84621,1.0,3.663,5.784,3.731,5.905,1.4262,2.677,6.468,2,2
w318701779,w,318701779,addressed_residential_building,bender_core,улица Титова,30,A,29.4711,46.83922,1.0,3.664,5.375,3.824,5.637,0.4555,0.695,5.623,2,2
w404798033,w,404798033,addressed_residential_building,bender_lipcani,Подольский переулок,10,A,29.47954,46.84667,1.0,3.664,5.607,3.731,5.728,1.4269,2.5,6.468,2,2
w428539142,w,428539142,unaddressed_residential_building,parkany,улица Шевченко,,A,29.51304,46.83613,0.5,3.664,4.598,3.535,4.398,4.2334,5.653,6.002,2,2
w285013989,w,285013989,unaddressed_residential_building,parkany,Садовая улица,,A,29.5069,46.83685,0.5,3.665,4.845,3.537,4.645,4.235,5.9,6.004,2,2
w291296786,w,291296786,unaddressed_residential_building,parkany,улица Ленина,,A,29.51039,46.83166,0.5,3.665,4.496,3.537,4.297,4.2348,5.552,6.004,2,2
