uid,osm_type,osm_id,unit_type,settlement,street_ru,housenumber,tier,lon,lat,weight,expected_km,expected_min,central_km,central_min,bam_km,bam_min,worst_origin_km,band_k4,band_k5
w318406889,w,318406889,unaddressed_residential_building,bender_core,Школьная улица,,A,29.45936,46.81936,0.5,4.432,4.905,4.563,4.985,3.313,4.02,5.849,2,3
w288392734,w,288392734,unaddressed_residential_building,parkany,улица Сергея Лазо,,A,29.51534,46.84084,0.5,4.433,5.728,4.304,5.528,5.0022,6.783,6.771,2,3
w294679612,w,294679612,unaddressed_residential_building,parkany,улица Энгельса,,A,29.51822,46.84003,0.5,4.433,5.548,4.304,5.348,5.0025,6.603,6.771,2,3
w318135233,w,318135233,unaddressed_residential_building,parkany,улица Петра Николаева,,A,29.50859,46.8442,0.5,4.433,6.54,4.305,6.34,5.003,7.595,6.772,2,3
n2457278458,n,2457278458,addressed_residential_building,parkany,Комсомольская улица,68,A,29.51656,46.8292,1.0,4.434,5.635,4.306,5.435,5.0036,6.69,6.773,2,3
n2459596521,n,2459596521,addressed_residential_building,parkany,Садовая улица,70,A,29.50645,46.84402,1.0,4.434,6.523,4.306,6.323,5.0039,7.578,6.773,2,3
w302066944,w,302066944,unaddressed_residential_building,bender_core,Школьная улица,,A,29.45941,46.81957,0.5,4.434,4.91,4.565,4.99,3.3149,4.025,5.851,2,3
n2458498649,n,2458498649,addressed_residential_building,parkany,улица Энгельса,5,A,29.51782,46.83995,1.0,4.435,5.551,4.306,5.352,5.0045,6.607,6.774,2,3
w284645367,w,284645367,unaddressed_residential_building,parkany,улица Пушкина,,A,29.51703,46.82708,0.5,4.435,5.63,4.307,5.43,5.0049,6.685,6.774,2,3
w304087663,w,304087663,unaddressed_residential_building,bender_core,улица Островского,,A,29.46255,46.81793,0.5,4.435,5.258,4.545,5.305,3.6479,4.892,5.831,2,3
w352667506,w,352667506,unaddressed_residential_building,bender_core,Варницкий тупик,,A,29.46374,46.8414,0.5,4.435,6.914,4.616,7.3,1.2479,2.358,6.345,2,3
w405297666,w,405297666,unaddressed_residential_building,bender_core,3-й Индустриальный переулок,,A,29.49388,46.79098,0.5,4.435,5.763,4.253,5.477,6.9112,9.003,6.911,2,3
n2454871434,n,2454871434,addressed_residential_building,parkany,улица Котовского,44,A,29.51841,46.83079,1.0,4.436,5.635,4.308,5.435,5.0059,6.69,6.775,2,3
n2459682652,n,2459682652,addressed_residential_building,parkany,улица Петра Николаева,16,A,29.50836,46.84415,1.0,4.436,6.546,4.308,6.347,5.0061,7.602,6.775,2,3
w284646981,w,284646981,unaddressed_residential_building,parkany,улица Пушкина,,A,29.51643,46.82687,0.5,4.436,5.631,4.308,5.432,5.0058,6.687,6.775,2,3
w284982243,w,284982243,addressed_residential_building,parkany,улица Фрунзе,16,A,29.52278,46.83413,1.0,4.436,5.758,4.308,5.558,5.0056,6.813,6.775,2,3
w318058443,w,318058443,addressed_residential_building,bender_core,улица Ивана Федько,32,A,29.46751,46.8376,1.0,4.436,6.59,4.653,7.008,1.2843,2.067,5.794,2,3
w318406780,w,318406780,unaddressed_residential_building,bender_core,Железнодорожная улица,,A,29.45728,46.81831,0.5,4.436,5.312,4.546,5.373,3.6453,4.713,5.832,2,3
w353610699,w,353610699,addressed_residential_building,giska,улица Мира,13,A,29.47315,46.79046,1.0,4.436,4.904,4.291,4.655,6.9501,8.182,6.95,2,3
w353974352,w,353974352,unaddressed_residential_building,protyagailovka,Главная улица,,A,29.44941,46.81622,0.5,4.436,6.011,4.501,6.022,4.3552,6.212,5.787,2,3
n2453733108,n,2453733108,addressed_residential_building,parkany,улица Ворошилова,35,A,29.52128,46.8325,1.0,4.437,5.761,4.308,5.562,5.0065,6.817,6.776,2,3
w285190595,w,285190595,unaddressed_residential_building,parkany,улица Ворошилова,,A,29.52134,46.83251,0.5,4.437,5.761,4.309,5.562,5.0067,6.817,6.776,2,3
w294679609,w,294679609,unaddressed_residential_building,parkany,улица Энгельса,,A,29.51769,46.83994,0.5,4.437,5.556,4.308,5.357,5.0063,6.612,6.775,2,3
w301629537,w,301629537,unaddressed_residential_building,parkany,улица Благоева,,A,29.5126,46.84186,0.5,4.437,5.248,4.308,5.048,5.0064,6.303,6.775,2,3
w302066893,w,302066893,addressed_residential_building,bender_core,Школьная улица,18,A,29.4612,46.81964,1.0,4.437,4.866,4.568,4.94,3.3174,4.077,5.853,2,3
w352332839,w,352332839,addressed_residential_building,bender_core,Варницкий переулок,5,A,29.46141,46.84534,1.0,4.437,6.72,4.595,6.957,1.2621,2.452,6.374,2,3
w769135932,w,769135932,unaddressed_residential_building,bender_core,Железнодорожная улица,,A,29.45758,46.81825,0.5,4.437,5.315,4.547,5.377,3.6442,4.71,5.833,2,3
w295545649,w,295545649,unaddressed_residential_building,parkany,улица Ленина,,A,29.51386,46.82514,0.5,4.438,5.655,4.309,5.455,5.0073,6.71,6.776,2,3
w318058448,w,318058448,unaddressed_residential_building,bender_core,Бельцкая улица,,A,29.46765,46.83768,0.5,4.438,6.54,4.654,6.958,1.2859,2.017,5.795,2,3
w318134393,w,318134393,unaddressed_residential_building,parkany,улица Петра Николаева,,A,29.50806,46.84407,0.5,4.438,6.551,4.31,6.352,5.008,7.607,6.777,2,3
w353610697,w,353610697,addressed_residential_building,giska,улица Мира,16,A,29.47314,46.79071,1.0,4.438,4.909,4.294,4.66,6.9525,8.187,6.952,2,3
w405292560,w,405292560,addressed_residential_building,bender_core,переулок Строителей,5,A,29.49346,46.79116,1.0,4.438,5.848,4.255,5.562,6.9142,9.088,6.914,2,3
w409312794,w,409312794,addressed_residential_building,bender_core,Южная улица,16,A,29.47768,46.7888,1.0,4.438,4.861,4.294,4.612,6.9527,8.138,6.953,2,3
w692954220,w,692954220,unaddressed_residential_building,bender_lipcani,улица Кутузова,,A,29.48183,46.85318,0.5,4.438,6.799,4.505,6.92,2.2011,3.692,7.242,2,3
w284981819,w,284981819,unaddressed_residential_building,parkany,улица Чкалова,,A,29.52446,46.83532,0.5,4.439,5.615,4.31,5.415,5.0083,6.67,6.777,2,3
w302066900,w,302066900,addressed_residential_building,bender_core,улица Чехова,35,A,29.46084,46.82021,1.0,4.439,4.733,4.58,4.818,3.1727,3.762,5.865,2,3
w352153737,w,352153737,addressed_residential_building,bender_core,улица Титова,69,A,29.46205,46.84089,1.0,4.439,6.408,4.638,6.802,1.2697,1.86,6.072,2,3
w353042911,w,353042911,unaddressed_residential_building,protyagailovka,Главная улица,,A,29.45099,46.81659,0.5,4.439,6.042,4.514,6.082,4.1923,5.787,5.8,2,3
w405297207,w,405297207,addressed_residential_building,bender_core,улица Строителей,15,A,29.49273,46.79165,1.0,4.439,5.873,4.257,5.587,6.9154,9.113,6.915,2,3
w284639366,w,284639366,unaddressed_residential_building,parkany,Комсомольская улица,,A,29.51669,46.82917,0.5,4.44,5.643,4.312,5.443,5.0098,6.698,6.779,2,3
w285191942,w,285191942,unaddressed_residential_building,parkany,улица Ворошилова,,A,29.52012,46.83222,0.5,4.44,5.766,4.311,5.567,5.0093,6.822,6.778,2,3
w285193694,w,285193694,unaddressed_residential_building,parkany,улица Котовского,,A,29.51851,46.83078,0.5,4.44,5.641,4.312,5.442,5.0098,6.697,6.779,2,3
w301629539,w,301629539,unaddressed_residential_building,parkany,улица Сергея Лазо,,A,29.51338,46.84207,0.5,4.44,5.251,4.312,5.052,5.0099,6.307,6.779,2,3
w405297661,w,405297661,addressed_residential_building,bender_core,переулок Строителей,7,A,29.49382,46.79121,1.0,4.44,5.853,4.258,5.567,6.9162,9.093,6.916,2,3
w438647743,w,438647743,unaddressed_residential_building,parkany,Садовая улица,,A,29.50656,46.8441,0.5,4.44,6.538,4.312,6.338,5.0099,7.593,6.779,2,3
w536683924,w,536683924,unaddressed_residential_building,bender_lipcani,улица Кутузова,,A,29.48188,46.85304,0.5,4.44,6.802,4.507,6.923,2.2026,3.695,7.244,2,3
n2459596501,n,2459596501,addressed_residential_building,parkany,Садовая улица,99,A,29.5062,46.84403,1.0,4.441,6.54,4.312,6.34,5.0104,7.595,6.779,2,3
w288392731,w,288392731,addressed_residential_building,parkany,улица Сергея Лазо,26,A,29.51581,46.84103,1.0,4.441,5.746,4.312,5.547,5.0101,6.802,6.779,2,3
w303915708,w,303915708,addressed_residential_building,bender_core,улица Тургенева,25,A,29.463,46.81756,1.0,4.441,5.277,4.543,5.322,3.7872,4.952,5.828,2,3
w318185754,w,318185754,unaddressed_residential_building,bender_core,улица Ивана Федько,,A,29.46699,46.83733,0.5,4.441,6.601,4.657,7.02,1.2889,2.078,5.798,2,3
w353389399,w,353389399,unaddressed_residential_building,giska,улица Кирова,,A,29.47196,46.79119,0.5,4.441,5.213,4.297,4.963,6.9553,8.49,6.955,2,3
n2459459698,n,2459459698,addressed_residential_building,parkany,улица Пушкина,98,A,29.5166,46.82687,1.0,4.442,5.64,4.314,5.44,5.0115,6.695,6.78,2,3
w161058113,w,161058113,addressed_residential_building,bender_core,Севастопольская улица,8,A,29.46162,46.81902,1.0,4.442,5.156,4.557,5.213,3.5608,4.632,5.843,2,3
w319403826,w,319403826,unaddressed_residential_building,parkany,Садовая улица,,A,29.50614,46.84402,0.5,4.442,6.541,4.313,6.342,5.0112,7.597,6.78,2,3
w319403827,w,319403827,unaddressed_residential_building,parkany,Садовая улица,,A,29.50588,46.84397,0.5,4.442,6.543,4.314,6.343,5.012,7.598,6.781,2,3
n2454871470,n,2454871470,addressed_residential_building,parkany,улица Котовского,49,A,29.51901,46.8309,1.0,4.443,5.646,4.315,5.447,5.0128,6.702,6.782,2,3
n2459596502,n,2459596502,addressed_residential_building,parkany,Садовая улица,101,A,29.50622,46.84405,1.0,4.443,6.543,4.314,6.343,5.0124,7.598,6.781,2,3
w284639358,w,284639358,unaddressed_residential_building,parkany,Комсомольская улица,,A,29.51727,46.82928,0.5,4.443,5.646,4.314,5.447,5.0122,6.702,6.781,2,3
w285197539,w,285197539,unaddressed_residential_building,parkany,улица Котовского,,A,29.51906,46.83091,0.5,4.443,5.645,4.315,5.445,5.0127,6.7,6.782,2,3
w318406772,w,318406772,addressed_residential_building,bender_core,Киевская улица,37,A,29.45747,46.81875,1.0,4.443,5.102,4.559,5.168,3.5625,4.423,5.845,2,3
w352667505,w,352667505,unaddressed_residential_building,bender_core,Варницкий тупик,,A,29.46354,46.84138,0.5,4.443,6.933,4.625,7.322,1.2567,2.38,6.336,2,3
w353044308,w,353044308,unaddressed_residential_building,protyagailovka,Главная улица,,A,29.44979,46.81657,0.5,4.443,6.028,4.508,6.038,4.3623,6.228,5.794,2,3
w353974351,w,353974351,unaddressed_residential_building,protyagailovka,Главная улица,,A,29.44945,46.81634,0.5,4.443,6.028,4.508,6.038,4.3619,6.228,5.793,2,3
w409312795,w,409312795,addressed_residential_building,bender_core,Южная улица,18,A,29.47749,46.78875,1.0,4.443,4.875,4.299,4.625,6.9577,8.152,6.958,2,3
w284648665,w,284648665,unaddressed_residential_building,parkany,Пионерская улица,,A,29.51514,46.8257,0.5,4.444,6.18,4.315,5.98,5.0132,7.235,6.782,2,3
w284649790,w,284649790,unaddressed_residential_building,parkany,улица Ворошилова,,A,29.5208,46.83232,0.5,4.444,5.776,4.316,5.577,5.0141,6.832,6.783,2,3
w284982244,w,284982244,unaddressed_residential_building,parkany,улица Фрунзе,,A,29.52284,46.83407,0.5,4.444,5.778,4.316,5.578,5.0138,6.833,6.783,2,3
w284982245,w,284982245,addressed_residential_building,parkany,улица Фрунзе,15,A,29.52335,46.83419,1.0,4.444,5.778,4.315,5.578,5.0134,6.833,6.782,2,3
w284982247,w,284982247,unaddressed_residential_building,parkany,улица Фрунзе,,A,29.52353,46.83422,0.5,4.444,5.778,4.316,5.578,5.014,6.833,6.783,2,3
w285197537,w,285197537,unaddressed_residential_building,parkany,улица Котовского,,A,29.5192,46.83094,0.5,4.444,5.646,4.316,5.447,5.0136,6.702,6.783,2,3
w319135683,w,319135683,addressed_residential_building,bender_core,Бельцкая улица,13,A,29.46769,46.83802,1.0,4.444,6.546,4.66,6.965,1.2913,2.023,5.801,2,3
w409312805,w,409312805,addressed_residential_building,bender_core,Гвардейская улица,4,A,29.47844,46.78876,1.0,4.444,4.876,4.3,4.627,6.9589,8.153,6.959,2,3
n2337985528,n,2337985528,addressed_residential_building,protyagailovka,Главная улица,2а,A,29.4511,46.81659,1.0,4.445,6.058,4.522,6.1,4.1849,5.768,5.807,2,3
n2457739773,n,2457739773,addressed_residential_building,parkany,улица Сергея Лазо,40,A,29.51296,46.84203,1.0,4.445,5.256,4.317,5.057,5.0151,6.312,6.784,2,3
n2458498645,n,2458498645,addressed_residential_building,parkany,улица Энгельса,14,A,29.51799,46.84008,1.0,4.445,5.576,4.317,5.377,5.0147,6.632,6.784,2,3
w222772971,w,222772971,unaddressed_residential_building,bender_core,Индустриальная улица,,A,29.48007,46.79009,0.5,4.445,4.76,4.301,4.51,6.9595,8.037,6.96,2,3
w255959465,w,255959465,unaddressed_residential_building,giska,улица Ленина,,A,29.45387,46.79415,0.5,4.445,5.033,4.357,4.905,6.9708,7.648,6.971,2,3
w318184631,w,318184631,addressed_residential_building,bender_core,улица Ивана Федько,35,A,29.46723,46.83739,1.0,4.445,6.61,4.661,7.028,1.2923,2.087,5.802,2,3
w405297210,w,405297210,unaddressed_residential_building,bender_core,улица Строителей,,A,29.4929,46.79174,0.5,4.445,5.886,4.263,5.6,6.9213,9.127,6.921,2,3
w409312809,w,409312809,addressed_residential_building,bender_core,Восточная улица,3а,A,29.47928,46.78928,1.0,4.445,5.008,4.3,4.758,6.959,8.285,6.959,2,3
w87493523,w,87493523,addressed_residential_building,bender_core,улица 40 лет Победы,3,A,29.46301,46.84716,1.0,4.445,6.32,4.604,6.56,1.2711,2.055,6.335,2,3
n2323343723,n,2323343723,addressed_residential_building,parkany,улица Ленина,116,A,29.51394,46.82508,1.0,4.446,5.666,4.318,5.467,5.0157,6.722,6.785,2,3
n2457402037,n,2457402037,addressed_residential_building,parkany,Комсомольская улица,69,A,29.51721,46.82924,1.0,4.446,5.651,4.318,5.452,5.0158,6.707,6.785,2,3
w318071338,w,318071338,unaddressed_residential_building,bender_core,улица Ивана Федько,,A,29.46776,46.8376,0.5,4.446,6.615,4.662,7.033,1.2942,2.092,5.804,2,3
w318135235,w,318135235,unaddressed_residential_building,parkany,улица Петра Николаева,,A,29.50862,46.84434,0.5,4.446,6.57,4.318,6.37,5.0159,7.625,6.785,2,3
w409311288,w,409311288,addressed_residential_building,bender_core,Южная улица,137,A,29.477,46.78799,1.0,4.446,4.49,4.302,4.24,6.9608,7.767,6.961,2,3
w707610573,w,707610573,unaddressed_residential_building,giska,улица Мира,,A,29.47302,46.79043,0.5,4.446,4.929,4.302,4.68,6.9606,8.207,6.961,2,3
n2459682670,n,2459682670,addressed_residential_building,parkany,улица Петра Николаева,11,A,29.50811,46.84417,1.0,4.447,6.571,4.318,6.372,5.0164,7.627,6.785,2,3
w304087662,w,304087662,unaddressed_residential_building,bender_core,улица Островского,,A,29.46268,46.81796,0.5,4.447,5.282,4.555,5.33,3.6892,4.89,5.841,2,3
w319139347,w,319139347,unaddressed_residential_building,bender_core,Бельцкая улица,,A,29.46773,46.83814,0.5,4.447,6.551,4.663,6.97,1.295,2.028,5.804,2,3
w352667504,w,352667504,unaddressed_residential_building,bender_core,Варницкий тупик,,A,29.46359,46.84148,0.5,4.447,6.943,4.63,7.333,1.2615,2.392,6.331,2,3
w285190596,w,285190596,unaddressed_residential_building,parkany,улица Ворошилова,,A,29.52144,46.83242,0.5,4.448,5.783,4.32,5.583,5.018,6.838,6.787,2,3
w301629538,w,301629538,unaddressed_residential_building,parkany,улица Сергея Лазо,,A,29.51322,46.84211,0.5,4.448,5.26,4.32,5.06,5.018,6.315,6.787,2,3
w318058445,w,318058445,addressed_residential_building,bender_core,улица Ивана Федько,30,A,29.46762,46.83753,1.0,4.448,6.618,4.664,7.037,1.2958,2.095,5.805,2,3
w284982251,w,284982251,unaddressed_residential_building,parkany,улица Фрунзе,,A,29.52257,46.83396,0.5,4.449,5.79,4.321,5.59,5.0187,6.845,6.788,2,3
w405297225,w,405297225,unaddressed_residential_building,bender_core,3-й Индустриальный переулок,,A,29.49407,46.79099,0.5,4.449,5.798,4.267,5.512,6.9254,9.038,6.925,2,3
w409312800,w,409312800,addressed_residential_building,bender_core,Южная улица,7,A,29.47804,46.7887,1.0,4.449,4.888,4.305,4.638,6.9636,8.165,6.964,2,3
w707300679,w,707300679,unaddressed_residential_building,giska,улица Суворова,,A,29.4771,46.79151,0.5,4.449,5.263,4.305,5.013,6.9635,8.54,6.963,2,3
w288392730,w,288392730,addressed_residential_building,parkany,улица Сергея Лазо,25,A,29.51525,46.84099,1.0,4.45,5.77,4.322,5.57,5.0197,6.825,6.789,2,3
w294679613,w,294679613,unaddressed_residential_building,parkany,улица Энгельса,,A,29.51808,46.84015,0.5,4.45,5.588,4.321,5.388,5.0194,6.643,6.788,2,3
w353042913,w,353042913,unaddressed_residential_building,protyagailovka,Главная улица,,A,29.45106,46.81669,0.5,4.45,6.07,4.527,6.113,4.1793,5.755,5.813,2,3
w353389398,w,353389398,addressed_residential_building,giska,улица Кирова,18,A,29.47197,46.79109,1.0,4.45,5.235,4.306,4.985,6.9649,8.512,6.965,2,3
w353974393,w,353974393,unaddressed_residential_building,protyagailovka,Главная улица,,A,29.44925,46.81628,0.5,4.45,6.044,4.514,6.055,4.3688,6.245,5.8,2,3
w410936923,w,410936923,unaddressed_residential_building,giska,Первомайская улица,,A,29.45288,46.79552,0.5,4.45,5.363,4.362,5.235,6.9757,7.978,6.976,2,3
n2453733109,n,2453733109,unaddressed_residential_building,parkany,улица Ворошилова,,A,29.5213,46.83237,0.5,4.451,5.788,4.322,5.588,5.0205,6.843,6.79,2,3
w303915706,w,303915706,addressed_residential_building,bender_core,улица Тургенева,23,A,29.46305,46.81768,1.0,4.451,5.309,4.557,5.357,3.715,4.923,5.843,2,3
w352313731,w,352313731,unaddressed_residential_building,,,,A,29.4574,46.81488,0.5,4.451,6.111,4.54,6.152,3.9861,5.835,5.826,2,3
w405297662,w,405297662,addressed_residential_building,bender_core,3-й Индустриальный переулок,9,A,29.49398,46.79128,1.0,4.451,5.801,4.269,5.515,6.9273,9.042,6.927,2,3
w409311688,w,409311688,unaddressed_residential_building,bender_core,Южная улица,,A,29.47716,46.78794,0.5,4.451,4.493,4.307,4.243,6.9654,7.77,6.965,2,3
n2453644685,n,2453644685,addressed_residential_building,parkany,улица Ворошилова,32,A,29.52081,46.83226,1.0,4.452,5.79,4.323,5.59,5.0213,6.845,6.79,2,3
w284639374,w,284639374,unaddressed_residential_building,parkany,Комсомольская улица,,A,29.51674,46.82906,0.5,4.452,5.661,4.323,5.462,5.0214,6.717,6.79,2,3
w287016199,w,287016199,addressed_residential_building,parkany,улица Сергея Лазо,28,A,29.51582,46.84114,1.0,4.452,5.773,4.323,5.573,5.0213,6.828,6.79,2,3
w295545651,w,295545651,unaddressed_residential_building,parkany,улица Ленина,,A,29.5139,46.82502,0.5,4.452,5.676,4.324,5.477,5.0217,6.732,6.791,2,3
w302066945,w,302066945,addressed_residential_building,bender_core,Школьная улица,9,A,29.45919,46.81962,1.0,4.452,4.953,4.583,5.033,3.3331,4.068,5.869,2,3
w318406781,w,318406781,addressed_residential_building,bender_core,Железнодорожная улица,95,A,29.45739,46.81846,1.0,4.452,5.348,4.564,5.415,3.6279,4.672,5.849,2,3
w405292557,w,405292557,addressed_residential_building,bender_core,улица Строителей,13,A,29.49267,46.79176,1.0,4.452,5.905,4.27,5.618,6.9288,9.145,6.929,2,3
w318058451,w,318058451,addressed_residential_building,bender_core,Бельцкая улица,4,A,29.46784,46.83776,1.0,4.453,6.56,4.67,6.978,1.3013,2.037,5.811,2,3
w409312798,w,409312798,unaddressed_residential_building,bender_core,Южная улица,,A,29.4774,46.78866,0.5,4.453,4.896,4.309,4.647,6.9671,8.173,6.967,2,3
w223883044,w,223883044,unaddressed_residential_building,bender_core,Протягайловская улица,,A,29.45387,46.81452,0.5,4.454,6.666,4.519,6.668,4.3603,6.995,5.805,2,3
w284639359,w,284639359,unaddressed_residential_building,parkany,Комсомольская улица,,A,29.51747,46.82923,0.5,4.454,5.663,4.325,5.463,5.0235,6.718,6.793,2,3
w409312797,w,409312797,addressed_residential_building,bender_core,Южная улица,20,A,29.47754,46.78865,1.0,4.454,4.9,4.31,4.65,6.9686,8.177,6.969,2,3
n2459596522,n,2459596522,addressed_residential_building,parkany,Садовая улица,72,A,29.50637,46.8442,1.0,4.455,6.575,4.327,6.375,5.0251,7.63,6.794,2,3
w115331496,w,115331496,addressed_residential_building,bender_core,Индустриальная улица,103,A,29.49242,46.78932,1.0,4.455,5.943,4.273,5.657,6.9313,9.183,6.931,2,3
w285193861,w,285193861,unaddressed_residential_building,parkany,улица Котовского,,A,29.51857,46.83066,0.5,4.455,5.663,4.326,5.463,5.0242,6.718,6.793,2,3
w285197538,w,285197538,unaddressed_residential_building,parkany,улица Котовского,,A,29.51918,46.83083,0.5,4.455,5.663,4.327,5.463,5.025,6.718,6.794,2,3
w294679611,w,294679611,unaddressed_residential_building,parkany,улица Энгельса,,A,29.51764,46.8401,0.5,4.455,5.601,4.327,5.402,5.0247,6.657,6.794,2,3
w352153736,w,352153736,unaddressed_residential_building,bender_core,улица Титова,,A,29.46204,46.84105,0.5,4.455,6.426,4.654,6.82,1.2852,1.878,6.088,2,3
w353044307,w,353044307,unaddressed_residential_building,protyagailovka,Главная улица,,A,29.44968,46.81664,0.5,4.455,6.054,4.519,6.065,4.3735,6.255,5.805,2,3
n2454871435,n,2454871435,addressed_residential_building,parkany,улица Котовского,46,A,29.51849,46.83063,1.0,4.456,5.665,4.327,5.465,5.0252,6.72,6.794,2,3
w115331419,w,115331419,addressed_residential_building,bender_core,Восточная улица,125,A,29.47933,46.78974,1.0,4.456,4.883,4.311,4.633,6.9699,8.16,6.97,2,3
w284645365,w,284645365,unaddressed_residential_building,parkany,улица Пушкина,,A,29.51719,46.82692,0.5,4.456,5.661,4.328,5.462,5.0261,6.717,6.795,2,3
w303915689,w,303915689,addressed_residential_building,bender_core,Киевская улица,7,A,29.46246,46.81849,1.0,4.456,5.06,4.572,5.117,3.5753,4.535,5.857,2,3
w352285320,w,352285320,unaddressed_residential_building,bender_core,улица Бориса Главана,,A,29.45538,46.81801,0.5,4.456,5.297,4.557,5.352,3.8018,4.808,5.843,2,3
w353609874,w,353609874,addressed_residential_building,giska,улица Мира,18,A,29.47291,46.79079,1.0,4.456,4.951,4.311,4.702,6.9701,8.228,6.97,2,3
n2459682653,n,2459682653,addressed_residential_building,parkany,улица Петра Николаева,18,A,29.50824,46.84431,1.0,4.457,6.595,4.328,6.395,5.0262,7.65,6.795,2,3
w284982246,w,284982246,addressed_residential_building,parkany,улица Фрунзе,17,A,29.52344,46.83408,1.0,4.457,5.81,4.329,5.61,5.0266,6.865,6.796,2,3
w284982248,w,284982248,unaddressed_residential_building,parkany,улица Фрунзе,,A,29.52377,46.83416,0.5,4.457,5.808,4.328,5.608,5.0263,6.863,6.795,2,3
w284982249,w,284982249,addressed_residential_building,parkany,улица Фрунзе,20,A,29.52282,46.83394,1.0,4.457,5.81,4.329,5.61,5.0268,6.865,6.796,2,3
w318134394,w,318134394,unaddressed_residential_building,parkany,улица Петра Николаева,,A,29.50788,46.84419,0.5,4.457,6.596,4.329,6.397,5.0268,7.652,6.796,2,3
w319403830,w,319403830,unaddressed_residential_building,parkany,Садовая улица,,A,29.50656,46.84426,0.5,4.457,6.578,4.328,6.378,5.0264,7.633,6.795,2,3
w353610700,w,353610700,addressed_residential_building,giska,улица Мира,15,A,29.47288,46.79049,1.0,4.457,4.954,4.313,4.705,6.9713,8.232,6.971,2,3
w353974391,w,353974391,unaddressed_residential_building,protyagailovka,Главная улица,,A,29.4493,46.81641,0.5,4.457,6.059,4.521,6.07,4.3755,6.26,5.807,2,3
w353974392,w,353974392,unaddressed_residential_building,protyagailovka,Главная улица,,A,29.44919,46.81634,0.5,4.457,6.061,4.522,6.072,4.3763,6.262,5.808,2,3
w284646982,w,284646982,unaddressed_residential_building,parkany,улица Пушкина,,A,29.51657,46.82671,0.5,4.458,5.665,4.329,5.465,5.0273,6.72,6.796,2,3
w318184630,w,318184630,unaddressed_residential_building,bender_core,улица Ивана Федько,,A,29.46733,46.83729,0.5,4.458,6.643,4.674,7.062,1.3061,2.12,5.816,2,3
w353044309,w,353044309,unaddressed_residential_building,protyagailovka,Главная улица,,A,29.44975,46.81673,0.5,4.458,6.064,4.523,6.075,4.3771,6.265,5.808,2,3
w353389397,w,353389397,unaddressed_residential_building,giska,улица Кирова,,A,29.47179,46.79106,0.5,4.458,5.254,4.314,5.005,6.9727,8.532,6.973,2,3
w256208111,w,256208111,unaddressed_residential_building,giska,улица Ленина,,A,29.45365,46.79414,0.5,4.459,5.046,4.371,4.918,6.9842,7.662,6.984,2,3
w318135239,w,318135239,unaddressed_residential_building,parkany,улица Петра Николаева,,A,29.50859,46.84445,0.5,4.459,6.601,4.331,6.402,5.0287,7.657,6.798,2,3
w353824489,w,353824489,unaddressed_residential_building,giska,улица Суворова,,A,29.47709,46.79169,0.5,4.459,5.299,4.314,5.05,6.973,8.577,6.973,2,3
w409312804,w,409312804,unaddressed_residential_building,bender_core,Гвардейская улица,,A,29.47855,46.78865,0.5,4.459,4.911,4.314,4.662,6.9732,8.188,6.973,2,3
w284639360,w,284639360,unaddressed_residential_building,parkany,Комсомольская улица,,A,29.51725,46.82911,0.5,4.46,5.673,4.332,5.473,5.0298,6.728,6.799,2,3
w255959472,w,255959472,unaddressed_residential_building,giska,улица Ленина,,A,29.45372,46.79405,0.5,4.461,5.048,4.373,4.92,6.9863,7.663,6.986,2,3
w284981820,w,284981820,unaddressed_residential_building,parkany,улица Чкалова,,A,29.52475,46.83519,0.5,4.461,5.648,4.332,5.448,5.0301,6.703,6.799,2,3
w285189827,w,285189827,unaddressed_residential_building,parkany,улица Ворошилова,,A,29.5202,46.83204,0.5,4.461,5.806,4.332,5.607,5.0302,6.862,6.799,2,3
w285190598,w,285190598,unaddressed_residential_building,parkany,улица Ворошилова,,A,29.52132,46.83228,0.5,4.461,5.808,4.333,5.608,5.0309,6.863,6.8,2,3
w319139342,w,319139342,addressed_residential_building,bender_core,Бельцкая улица,15,A,29.46792,46.83803,1.0,4.461,6.568,4.677,6.987,1.3084,2.045,5.818,2,3
w287023057,w,287023057,unaddressed_residential_building,parkany,улица Карла Маркса,,A,29.52129,46.83907,0.5,4.462,5.315,4.334,5.115,5.0318,6.37,6.801,2,3
w301629540,w,301629540,unaddressed_residential_building,parkany,улица Сергея Лазо,,A,29.51306,46.84221,0.5,4.462,5.273,4.334,5.073,5.0321,6.328,6.801,2,3
w302067667,w,302067667,unaddressed_residential_building,bender_core,Железнодорожная улица,,A,29.45711,46.81894,0.5,4.462,5.238,4.578,5.305,3.5813,4.56,5.864,2,3
w303915702,w,303915702,unaddressed_residential_building,bender_core,улица Тургенева,,A,29.4632,46.81801,0.5,4.462,5.352,4.572,5.408,3.6783,4.835,5.857,2,3
w318058457,w,318058457,unaddressed_residential_building,bender_core,Бельцкая улица,,A,29.46796,46.83763,0.5,4.462,6.57,4.678,6.988,1.3097,2.047,5.819,2,3
w405297663,w,405297663,unaddressed_residential_building,bender_core,переулок Строителей,,A,29.49372,46.79141,0.5,4.462,5.906,4.28,5.62,6.9384,9.147,6.938,2,3
n2459459668,n,2459459668,addressed_residential_building,parkany,улица Пушкина,93,A,29.51698,46.82679,1.0,4.463,5.671,4.335,5.472,5.0327,6.727,6.802,2,3
