address_id,address_release_version,territory,district,street,house_number,destination_lat,destination_lon,router_status,router_distance_km,router_duration_min,straight_line_km,detour_factor,snapped_origin_lat,snapped_origin_lon,origin_snap_distance_m,snapped_destination_lat,snapped_destination_lon,destination_snap_distance_m,router_main_streets,route_node_count,route_first_nodes,route_last_nodes,terminal_node_signature,corridor_signature,bridge_or_rail,uturn,route_geometry_hash,probable_anomaly,anomaly_severity,owner_review_required
w295401043,1.1.0,Бендеры,,улица Ткаченко,148,46.814,29.48918,ROUTABLE,1.4710,2.203,1.1912,1.235,46.8241540,29.4833040,33.23,46.8139940,29.4894590,21.30,улица Сергея Лазо; улица Суворова; улица Ленина; улица Шестакова; улица Ленина; улица Ткаченко,34,2586302559;2586302556;4847191806;3304928321;514211120;6015468032;2586302542;2586302545,514211170;2317760172;514211155;1017949085;6811971795;514211157;6811971797;6811971796,fe268501d7999745f4e9,d342336fd28d6579856e,NONE_OBSERVED,NO,772f7b60e5af601765107a3a45220b2da665c3813061297c5e4b254b9914c7b9,ROUTE_STREET_LOOP,MEDIUM,True
w295401044,1.1.0,Бендеры,,улица Ткаченко,152,46.81387,29.48919,ROUTABLE,1.4855,2.222,1.2048,1.233,46.8241540,29.4833040,33.23,46.8138640,29.4894530,20.08,улица Сергея Лазо; улица Суворова; улица Ленина; улица Шестакова; улица Ленина; улица Ткаченко,34,2586302559;2586302556;4847191806;3304928321;514211120;6015468032;2586302542;2586302545,514211170;2317760172;514211155;1017949085;6811971795;514211157;6811971797;6811971796,fe268501d7999745f4e9,d342336fd28d6579856e,NONE_OBSERVED,NO,f3ebaa53a0e8ff30718628fffd56ec914752b06e8341d7017e8b154115b33fc6,ROUTE_STREET_LOOP,MEDIUM,True
w295401045,1.1.0,Бендеры,,улица Ткаченко,154,46.81376,29.48919,ROUTABLE,1.4986,2.237,1.2161,1.232,46.8241540,29.4833040,33.23,46.8137460,29.4894410,19.22,улица Сергея Лазо; улица Суворова; улица Ленина; улица Шестакова; улица Ленина; улица Ткаченко,35,2586302559;2586302556;4847191806;3304928321;514211120;6015468032;2586302542;2586302545,2317760172;514211155;1017949085;6811971795;514211157;6811971797;6811971796;6811971798,fe268501d7999745f4e9,d342336fd28d6579856e,NONE_OBSERVED,NO,64c16d8e343807bd2c504159720e1c58996c4ade80719f455d32d47a5faea172,ROUTE_STREET_LOOP,MEDIUM,True
w295401046,1.1.0,Бендеры,,улица Ткаченко,156,46.81366,29.48917,ROUTABLE,1.5099,2.252,1.2258,1.232,46.8241540,29.4833040,33.23,46.8136450,29.4894280,19.76,улица Сергея Лазо; улица Суворова; улица Ленина; улица Шестакова; улица Ленина; улица Ткаченко,35,2586302559;2586302556;4847191806;3304928321;514211120;6015468032;2586302542;2586302545,2317760172;514211155;1017949085;6811971795;514211157;6811971797;6811971796;6811971798,fe268501d7999745f4e9,d342336fd28d6579856e,NONE_OBSERVED,NO,a653a3468c9eb664fdefa58a329941a6739adaf611aeddb39ff621d719a991e6,ROUTE_STREET_LOOP,MEDIUM,True
w295401048,1.1.0,Бендеры,,улица Ткаченко,158,46.81355,29.4892,ROUTABLE,1.5218,2.267,1.2380,1.229,46.8241540,29.4833040,33.23,46.8135380,29.4894150,16.46,улица Сергея Лазо; улица Суворова; улица Ленина; улица Шестакова; улица Ленина; улица Ткаченко,35,2586302559;2586302556;4847191806;3304928321;514211120;6015468032;2586302542;2586302545,2317760172;514211155;1017949085;6811971795;514211157;6811971797;6811971796;6811971798,fe268501d7999745f4e9,d342336fd28d6579856e,NONE_OBSERVED,NO,d936b749292e1c64e8fa38debdf5840aa152728baae549f1bee0d0fb44b4682c,ROUTE_STREET_LOOP,MEDIUM,True
w295401050,1.1.0,Бендеры,,улица Ткаченко,160,46.81342,29.48916,ROUTABLE,1.5360,2.283,1.2503,1.228,46.8241540,29.4833040,33.23,46.8134110,29.4894030,18.57,улица Сергея Лазо; улица Суворова; улица Ленина; улица Шестакова; улица Ленина; улица Ткаченко,36,2586302559;2586302556;4847191806;3304928321;514211120;6015468032;2586302542;2586302545,514211155;1017949085;6811971795;514211157;6811971797;6811971796;6811971798;514211160,fe268501d7999745f4e9,d342336fd28d6579856e,NONE_OBSERVED,NO,35981b1cdb3217f4f33ce9ef825c72f60df511962c5f324cf38cb913c5770eae,ROUTE_STREET_LOOP,MEDIUM,True
w295401051,1.1.0,Бендеры,,улица Ткаченко,162,46.8133,29.48915,ROUTABLE,1.5493,2.300,1.2625,1.227,46.8241540,29.4833040,33.23,46.8132910,29.4893940,18.65,улица Сергея Лазо; улица Суворова; улица Ленина; улица Шестакова; улица Ленина; улица Ткаченко,36,2586302559;2586302556;4847191806;3304928321;514211120;6015468032;2586302542;2586302545,514211155;1017949085;6811971795;514211157;6811971797;6811971796;6811971798;514211160,fe268501d7999745f4e9,d342336fd28d6579856e,NONE_OBSERVED,NO,f45327d1971953d6d7b5fa66625367d4ebb45384e73ca7607a1bb79002276e9c,ROUTE_STREET_LOOP,MEDIUM,True
w295401054,1.1.0,Бендеры,,Первомайская улица,109,46.81308,29.48877,ROUTABLE,1.6347,2.487,1.2753,1.282,46.8241540,29.4833040,33.23,46.8129210,29.4887750,17.68,улица Сергея Лазо; улица Суворова; улица Ленина; улица Шестакова; улица Ленина; улица Ткаченко; Первомайская улица,37,2586302559;2586302556;4847191806;3304928321;514211120;6015468032;2586302542;2586302545,1017949085;6811971795;514211157;6811971797;6811971796;6811971798;514211160;1017949038,8ddd8b3a47b10b0fc1a7,d342336fd28d6579856e,NONE_OBSERVED,NO,968e85d2fad5904e807026010a66467c4941fac70ba0e8a7543578285f16c108,ROUTE_STREET_LOOP,MEDIUM,True
w295401056,1.1.0,Бендеры,,улица Маяковского,93,46.81328,29.48795,ROUTABLE,1.7684,2.848,1.2344,1.433,46.8241540,29.4833040,33.23,46.8132990,29.4876200,25.27,улица Сергея Лазо; улица Суворова; улица Ленина; улица Шестакова; улица Ленина; улица Ткаченко; Первомайская улица; улица Маяковского,40,2586302559;2586302556;4847191806;3304928321;514211120;6015468032;2586302542;2586302545,6811971797;6811971796;6811971798;514211160;1017949038;1017949098;514211168;1017949218,52751828ace338b1d7d9,d342336fd28d6579856e,NONE_OBSERVED,NO,6e59333da23ecda08b7d56863d80319fb789467549cd1d1bc2192e4750c7b922,ROUTE_STREET_LOOP,MEDIUM,True
w295401059,1.1.0,Бендеры,,Первомайская улица,105,46.81312,29.48832,ROUTABLE,1.6690,2.570,1.2600,1.325,46.8241540,29.4833040,33.23,46.8129150,29.4883260,22.79,улица Сергея Лазо; улица Суворова; улица Ленина; улица Шестакова; улица Ленина; улица Ткаченко; Первомайская улица,38,2586302559;2586302556;4847191806;3304928321;514211120;6015468032;2586302542;2586302545,6811971795;514211157;6811971797;6811971796;6811971798;514211160;1017949038;1017949098,8ddd8b3a47b10b0fc1a7,d342336fd28d6579856e,NONE_OBSERVED,NO,855e45ef761449a5eaecae6235d9c26f03ee69cc2ddc929989894a8bc6fbfc46,ROUTE_STREET_LOOP,MEDIUM,True
w295401060,1.1.0,Бендеры,,Первомайская улица,107,46.8131,29.4885,ROUTABLE,1.6553,2.537,1.2664,1.307,46.8241540,29.4833040,33.23,46.8129170,29.4885050,20.35,улица Сергея Лазо; улица Суворова; улица Ленина; улица Шестакова; улица Ленина; улица Ткаченко; Первомайская улица,38,2586302559;2586302556;4847191806;3304928321;514211120;6015468032;2586302542;2586302545,6811971795;514211157;6811971797;6811971796;6811971798;514211160;1017949038;1017949098,8ddd8b3a47b10b0fc1a7,d342336fd28d6579856e,NONE_OBSERVED,NO,afee578ec573e57b3ccecc7dd8db186fdd10770d8f366202a114abb4c6314c85,ROUTE_STREET_LOOP,MEDIUM,True
w295401061,1.1.0,Бендеры,,улица Маяковского,62,46.81429,29.48739,ROUTABLE,1.5134,2.515,1.1145,1.358,46.8241540,29.4833040,33.23,46.8142700,29.4877410,26.87,улица Сергея Лазо; улица Суворова; Московская улица; Садовая улица; Садовый переулок; улица Маяковского,32,2586302559;2586302556;4847191806;3304928321;514211120;6015468032;2586302542;2586302545,514211048;4580202579;514211050;1017948971;1017949116;1017949305;1017949218;514211168,b3c6bd963e31091221b9,2b22b7b7e92666255f53,NONE_OBSERVED,NO,4aa5ed30d8208efc69fda3fa5f07e1c7571ccb2afa16b59e444625a3bb113728,NONE,NONE,False
w295401062,1.1.0,Бендеры,,улица Маяковского,64,46.81418,29.48737,ROUTABLE,1.5258,2.545,1.1258,1.355,46.8241540,29.4833040,33.23,46.8141590,29.4877270,27.34,улица Сергея Лазо; улица Суворова; Московская улица; Садовая улица; Садовый переулок; улица Маяковского,32,2586302559;2586302556;4847191806;3304928321;514211120;6015468032;2586302542;2586302545,514211048;4580202579;514211050;1017948971;1017949116;1017949305;1017949218;514211168,b3c6bd963e31091221b9,2b22b7b7e92666255f53,NONE_OBSERVED,NO,6e1bc9e83a45f177de70cb7cd0c0afc0aa386466fe24b0f3e572dde629b8dfae,NONE,NONE,False
w295401063,1.1.0,Бендеры,,Садовый переулок,5,46.8145,29.48697,ROUTABLE,1.4216,2.298,1.0832,1.312,46.8241540,29.4833040,33.23,46.8145090,29.4867570,16.28,улица Сергея Лазо; улица Суворова; Московская улица; Садовая улица; Садовый переулок,29,2586302559;2586302556;4847191806;3304928321;514211120;6015468032;2586302542;2586302545,514211079;514211046;1017949390;514211048;4580202579;514211050;1017948971;1303505931,1fbb1bead21a382d355e,2b22b7b7e92666255f53,NONE_OBSERVED,NO,6645f8d245754a21eabe916e181993ff5d98156df095b0e75be42e3d8998534b,NONE,NONE,False
