address_id,street,house_number,router_distance_km,nearest_threshold_km,distance_to_threshold_m,provisional_zone,neighbor_zone_discontinuity,snap_risk,manual_review_required,reason
w304687301,Загородная улица,11,2.3934,2.424,30.6,Zone 1,False,False,True,WITHIN_50M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD
w304687302,Загородная улица,13,2.4081,2.424,15.9,Zone 1,True,False,True,WITHIN_50M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD;NEIGHBOR_ZONE_DISCONTINUITY
w304687305,Загородная улица,15,2.4468,2.424,22.8,Zone 2,True,False,True,WITHIN_50M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD;NEIGHBOR_ZONE_DISCONTINUITY
w304687309,переулок Некрасова,16,2.4796,2.424,55.6,Zone 2,True,False,True,WITHIN_100M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD;NEIGHBOR_ZONE_DISCONTINUITY
w305228562,Фруктовая улица,10,2.4161,2.424,7.9,Zone 1,True,False,True,WITHIN_50M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD;NEIGHBOR_ZONE_DISCONTINUITY
w305228563,Фруктовая улица,8,2.3980,2.424,26.0,Zone 1,False,False,True,WITHIN_50M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD
w305228565,улица Урицкого,13,2.5056,2.424,81.6,Zone 2,False,False,True,WITHIN_100M_OF_THRESHOLD
w305228566,улица Урицкого,11,2.4973,2.424,73.3,Zone 2,False,False,True,WITHIN_100M_OF_THRESHOLD
w305228568,Фруктовая улица,2,2.3344,2.424,89.6,Zone 1,False,False,True,WITHIN_100M_OF_THRESHOLD
w305228569,Фруктовая улица,4,2.3561,2.424,67.9,Zone 1,False,False,True,WITHIN_100M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD
w305228570,Фруктовая улица,6а,2.3715,2.424,52.5,Zone 1,False,False,True,WITHIN_100M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD
w305228571,Фруктовая улица,6,2.3834,2.424,40.6,Zone 1,False,False,True,WITHIN_50M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD
w305228573,улица Баумана,3,2.3221,2.424,101.9,Zone 1,True,False,True,NEIGHBOR_ZONE_DISCONTINUITY
w305228574,улица Урицкого,1,2.3687,2.424,55.3,Zone 1,False,False,True,WITHIN_100M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD
w305228575,улица Урицкого,3,2.4054,2.424,18.6,Zone 1,True,False,True,WITHIN_50M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD;NEIGHBOR_ZONE_DISCONTINUITY
w305228577,улица Урицкого,5,2.4305,2.424,6.5,Zone 2,True,False,True,WITHIN_50M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD;NEIGHBOR_ZONE_DISCONTINUITY
w305228578,улица Урицкого,7,2.4500,2.424,26.0,Zone 2,False,False,True,WITHIN_50M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD
w305228579,улица Урицкого,9,2.4691,2.424,45.1,Zone 2,False,False,True,WITHIN_50M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD
w305229281,улица Правды,51,2.3469,2.424,77.1,Zone 1,False,False,True,WITHIN_100M_OF_THRESHOLD
w305229282,переулок Некрасова,18,2.4701,2.424,46.1,Zone 2,True,False,True,WITHIN_50M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD;NEIGHBOR_ZONE_DISCONTINUITY
w305229283,переулок Некрасова,18а,2.4553,2.424,31.3,Zone 2,True,False,True,WITHIN_50M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD;NEIGHBOR_ZONE_DISCONTINUITY
w305229284,переулок Некрасова,20,2.4375,2.424,13.5,Zone 2,True,False,True,WITHIN_50M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD;NEIGHBOR_ZONE_DISCONTINUITY
w305229286,переулок Некрасова,22,2.4213,2.424,2.7,Zone 1,True,False,True,WITHIN_50M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD;NEIGHBOR_ZONE_DISCONTINUITY
w305229289,переулок Некрасова,24,2.3401,2.424,83.9,Zone 1,True,False,True,WITHIN_100M_OF_THRESHOLD;NEIGHBOR_ZONE_DISCONTINUITY
w305229290,переулок Некрасова,26,2.3825,2.424,41.5,Zone 1,False,False,True,WITHIN_50M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD
w305229291,переулок Некрасова,28,2.3675,2.424,56.5,Zone 1,False,False,True,WITHIN_100M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD
w305229293,переулок Некрасова,30,2.3684,2.424,55.6,Zone 1,False,False,True,WITHIN_100M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD
w305229296,переулок Некрасова,32,2.3624,2.424,61.6,Zone 1,False,False,True,WITHIN_100M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD
w305229299,переулок Некрасова,34,2.3444,2.424,79.6,Zone 1,False,False,True,WITHIN_100M_OF_THRESHOLD
w305229300,улица Правды,29а,2.5175,2.424,93.5,Zone 2,False,False,True,WITHIN_100M_OF_THRESHOLD
w305229302,переулок Некрасова,36,2.3304,2.424,93.6,Zone 1,False,False,True,WITHIN_100M_OF_THRESHOLD
w305229307,улица Правды,49,2.3588,2.424,65.2,Zone 1,False,False,True,WITHIN_100M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD
w305229575,улица Правды,47,2.3725,2.424,51.5,Zone 1,False,False,True,WITHIN_100M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD
w305229577,улица Правды,45,2.3881,2.424,35.9,Zone 1,False,False,True,WITHIN_50M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD
w305229579,улица Правды,43,2.4019,2.424,22.1,Zone 1,True,False,True,WITHIN_50M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD;NEIGHBOR_ZONE_DISCONTINUITY
w305229580,улица Правды,41,2.4144,2.424,9.6,Zone 1,True,False,True,WITHIN_50M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD;NEIGHBOR_ZONE_DISCONTINUITY
