probability_sample_id,address_id,territory,district,street,house_number,lat,lon,deliverable_status,street_group_size,number_type,geographic_stratum,inclusion_probability,sampling_weight,selection_seed,already_reviewed,linked_forward_sample_id
YPS-0063,n2322975402,Бендеры,,улица Пушкина,66,46.81764,29.47154,DELIVERABLE,49,ORDINARY,Бендеры:SW,0.032148900169,31.105263157895,20260727,False,
YPS-0064,w317149187,Бендеры,,улица Гоголя,26,46.82782,29.45946,DELIVERABLE,60,ORDINARY,Бендеры:NW,0.031779661017,31.466666666667,20260727,False,
YPS-0065,n2459893781,Парканы,,улица Романенко,102,46.85679,29.5088,DELIVERABLE,181,ORDINARY,Парканы:NW,0.032139577594,31.114285714286,20260727,False,
YPS-0066,w441641178,Протягайловка,,улица Алеку Руссо,25,46.821,29.43861,DELIVERABLE,36,ORDINARY,Протягайловка:SW,0.048387096774,20.666666666667,20260727,False,
YPS-0067,w757869686,Бендеры,,улица Куйбышева,46,46.82153,29.45221,DELIVERABLE,45,ORDINARY,Бендеры:NW,0.031779661017,31.466666666667,20260727,False,
YPS-0068,w409314660,Бендеры,,Восточный переулок,7,46.78764,29.48074,DELIVERABLE,8,ORDINARY,Бендеры:SE,0.035040431267,28.538461538462,20260727,False,
YPS-0069,w303849102,Бендеры,,улица 5 Декабря,12,46.81256,29.47016,DELIVERABLE,28,ORDINARY,Бендеры:SW,0.032148900169,31.105263157895,20260727,False,
YPS-0070,w319144223,Бендеры,,Бельцкая улица,36/36а,46.83991,29.47534,DELIVERABLE,46,FRACTIONAL,Бендеры:NE,0.111111111111,9.000000000000,20260727,False,
YPS-0071,w222864358,Гиска,,улица Ленина,2/A,46.79716,29.45753,DELIVERABLE,74,FRACTIONAL,Гиска:NE,1.000000000000,1.000000000000,20260727,False,
YPS-0072,w291377842,Бендеры,,улица Калинина,78,46.81941,29.47785,DELIVERABLE,64,ORDINARY,Бендеры:NE,0.032040472175,31.210526315789,20260727,False,
YPS-0073,w295334394,Бендеры,,улица Шестакова,77,46.81598,29.48438,DELIVERABLE,80,ORDINARY,Бендеры:SE,0.032163742690,31.090909090909,20260727,False,
YPS-0074,n2458529487,Парканы,,улица Карла Маркса,45а,46.8423,29.51964,DELIVERABLE,295,LETTERED,Парканы:SE,0.095238095238,10.500000000000,20260727,False,
YPS-0075,w304088431,Бендеры,,улица Бориса Главана,12,46.81748,29.46116,DELIVERABLE,34,ORDINARY,Бендеры:SW,0.032148900169,31.105263157895,20260727,False,
YPS-0076,w320382879,Бендеры,Липканы,улица Энгельса,6а,46.84415,29.47985,DELIVERABLE,32,LETTERED,Бендеры:NE,0.041666666667,24.000000000000,20260727,False,
YPS-0077,n2460690893,Парканы,,улица Русакова,47,46.84992,29.51783,DELIVERABLE,79,ORDINARY,Парканы:NE,0.033149171271,30.166666666667,20260727,False,
YPS-0078,w209416039,Бендеры,,улица Спартака,64,46.82632,29.46265,DELIVERABLE,24,ORDINARY,Бендеры:NW,0.031779661017,31.466666666667,20260727,False,
YPS-0079,w41852300,Бендеры,,улица Дзержинского,71,46.81701,29.46969,DELIVERABLE,52,ORDINARY,Бендеры:SW,0.032148900169,31.105263157895,20260727,False,
YPS-0080,w353610686,Гиска,,улица Мира,23,46.79047,29.47133,DELIVERABLE,41,ORDINARY,Гиска:NE,0.043478260870,23.000000000000,20260727,False,
YPS-0081,w319850087,Бендеры,,Кирпичный переулок,5,46.80649,29.48274,DELIVERABLE,6,ORDINARY,Бендеры:SE,0.035040431267,28.538461538462,20260727,False,
YPS-0082,w303323460,Бендеры,,улица Карбышева,44,46.81369,29.47128,DELIVERABLE,45,ORDINARY,Бендеры:SW,0.032148900169,31.105263157895,20260727,False,
YPS-0083,n4905411595,Гиска,,улица Мира,51,46.78721,29.45512,UNKNOWN_REQUIRES_REVIEW,41,ORDINARY,Гиска:NE,1.000000000000,1.000000000000,20260727,True,YAV-0733
YPS-0084,w405169693,Бендеры,,улица Тамары Кручок,90,46.80096,29.48816,DELIVERABLE,85,ORDINARY,Бендеры:SE,0.032163742690,31.090909090909,20260727,False,
YPS-0085,n2458498649,Парканы,,улица Энгельса,5,46.83995,29.51782,DELIVERABLE,85,ORDINARY,Парканы:SE,0.031418312388,31.828571428571,20260727,False,
YPS-0086,n2323574994,Бендеры,,переулок Павлова,6,46.81006,29.46679,DELIVERABLE,4,ORDINARY,Бендеры:SW,0.105263157895,9.500000000000,20260727,False,
YPS-0087,w318084711,Бендеры,,Глинная улица,1,46.82536,29.45396,DELIVERABLE,5,ORDINARY,Бендеры:NW,0.062500000000,16.000000000000,20260727,False,
YPS-0088,w301630540,Бендеры,,Песчанная улица,17,46.81193,29.48405,DELIVERABLE,46,ORDINARY,Бендеры:SE,0.032163742690,31.090909090909,20260727,False,
YPS-0089,n2457584904,Парканы,,улица Ленина,109,46.82435,29.51453,DELIVERABLE,145,ORDINARY,Парканы:SW,0.033149171271,30.166666666667,20260727,False,
YPS-0090,n2458529484,Парканы,,улица Карла Маркса,70,46.84195,29.52012,DELIVERABLE,295,ORDINARY,Парканы:SE,0.031418312388,31.828571428571,20260727,False,
YPS-0091,w352148079,Бендеры,,Кишинёвский тупик,2,46.84109,29.46446,DELIVERABLE,9,ORDINARY,Бендеры:NW,0.033557046980,29.800000000000,20260727,False,
YPS-0092,n2334260105,Бендеры,,Каховская улица,4,46.84715,29.4567,DELIVERABLE,21,ORDINARY,Бендеры:NW,0.031779661017,31.466666666667,20260727,False,
YPS-0093,n2459147641,Парканы,,улица Чапаева,209,46.85355,29.52116,DELIVERABLE,179,ORDINARY,Парканы:NE,0.033149171271,30.166666666667,20260727,False,
YPS-0094,w404798031,Бендеры,Липканы,улица Энгельса,5,46.84526,29.48064,DELIVERABLE,32,ORDINARY,Бендеры:NE,0.032040472175,31.210526315789,20260727,False,
YPS-0095,w319381959,Бендеры,,переулок Разина,165,46.80826,29.48075,DELIVERABLE,9,ORDINARY,Бендеры:SE,0.035040431267,28.538461538462,20260727,False,
YPS-0096,n2453643610,Парканы,,улица Ворошилова,151,46.8224,29.52704,DELIVERABLE,156,ORDINARY,Парканы:SE,0.031418312388,31.828571428571,20260727,False,
YPS-0097,w295151362,Бендеры,,переулок Суворова,127,46.81518,29.48218,DELIVERABLE,24,ORDINARY,Бендеры:SE,0.032163742690,31.090909090909,20260727,False,
YPS-0098,n2325729715,Бендеры,,Варницкий тупик,13,46.84175,29.46295,DELIVERABLE,5,ORDINARY,Бендеры:NW,0.062500000000,16.000000000000,20260727,False,
YPS-0099,n2457518538,Парканы,,улица Будённого,14,46.82144,29.52513,DELIVERABLE,15,ORDINARY,Парканы:SE,0.068965517241,14.500000000000,20260727,False,
YPS-0100,n2460055540,Парканы,,улица Дружбы,11,46.85939,29.51198,DELIVERABLE,17,ORDINARY,Парканы:NW,0.064516129032,15.500000000000,20260727,False,
YPS-0101,w318548547,Бендеры,,улица Лермонтова,11,46.82742,29.45528,DELIVERABLE,31,ORDINARY,Бендеры:NW,0.031779661017,31.466666666667,20260727,False,
YPS-0102,n2337992799,Бендеры,,улица Чернышевского,26,46.81488,29.45048,DELIVERABLE,4,ORDINARY,Бендеры:SW,0.105263157895,9.500000000000,20260727,False,
YPS-0103,w292041227,Бендеры,,переулок Суворова,113,46.8163,29.48073,DELIVERABLE,24,ORDINARY,Бендеры:SE,0.032163742690,31.090909090909,20260727,False,
YPS-0104,w306219489,Бендеры,,улица Глядковской,14,46.83818,29.47063,DELIVERABLE,10,ORDINARY,Бендеры:NW,0.033557046980,29.800000000000,20260727,False,
