uid,address,territory,is_city,route_km,base_price,external_status,external_km,external_surcharge,reference_price,old_k4_zone_id,proposed_zone
n2323152109,"Парканы, улица Ворошилова, 95",Парканы,False,4.853,21.412,PENDING (no ГАИ-post coords + boundary undecided),,,,3,
n2323152111,"Парканы, Пионерская улица, 32",Парканы,False,4.902,21.608,PENDING (no ГАИ-post coords + boundary undecided),,,,3,
n2323152112,"Парканы, улица Ворошилова, 97",Парканы,False,4.888,21.552,PENDING (no ГАИ-post coords + boundary undecided),,,,3,
n2323152115,"Парканы, улица Фрунзе, 122",Парканы,False,5.463,23.852,PENDING (no ГАИ-post coords + boundary undecided),,,,3,
n2323152117,"Парканы, улица Ворошилова, 25",Парканы,False,4.181,18.724,PENDING (no ГАИ-post coords + boundary undecided),,,,3,
n2323152118,"Парканы, улица Ворошилова, 27",Парканы,False,4.216,18.864,PENDING (no ГАИ-post coords + boundary undecided),,,,3,
n2323152119,"Парканы, улица Ворошилова, 30",Парканы,False,4.178,18.712,PENDING (no ГАИ-post coords + boundary undecided),,,,3,
n2323152120,"Парканы, улица Ворошилова, 32а",Парканы,False,4.228,18.912,PENDING (no ГАИ-post coords + boundary undecided),,,,3,
n2323152121,"Парканы, улица Ворошилова, 90",Парканы,False,4.83,21.32,PENDING (no ГАИ-post coords + boundary undecided),,,,3,
n2323152122,"Парканы, Пионерская улица, 5",Парканы,False,4.826,21.304,PENDING (no ГАИ-post coords + boundary undecided),,,,3,
n2323152123,"Парканы, улица Котовского, 101",Парканы,False,4.755,21.02,PENDING (no ГАИ-post coords + boundary undecided),,,,3,
n2323152124,"Парканы, улица Ворошилова, 92",Парканы,False,4.886,21.544,PENDING (no ГАИ-post coords + boundary undecided),,,,3,
n2323152125,"Парканы, Пионерская улица, 30",Парканы,False,4.918,21.672,PENDING (no ГАИ-post coords + boundary undecided),,,,3,
n2323152126,"Парканы, Пионерская улица, 28",Парканы,False,4.83,21.32,PENDING (no ГАИ-post coords + boundary undecided),,,,3,
n2323152127,"Парканы, улица Котовского, 103",Парканы,False,4.796,21.184,PENDING (no ГАИ-post coords + boundary undecided),,,,3,
n2323152128,"Парканы, улица Ворошилова, 141",Парканы,False,5.374,23.496,PENDING (no ГАИ-post coords + boundary undecided),,,,3,
n2323152130,"Парканы, улица Будённого, 155",Парканы,False,5.62,24.48,PENDING (no ГАИ-post coords + boundary undecided),,,,4,
n2323152131,"Парканы, улица Ворошилова, 157",Парканы,False,5.626,24.504,PENDING (no ГАИ-post coords + boundary undecided),,,,4,
n2323152132,"Парканы, улица Маяковского, 165",Парканы,False,5.54,24.16,PENDING (no ГАИ-post coords + boundary undecided),,,,3,
n2323152138,"Парканы, улица Котовского, 31",Парканы,False,4.12,18.48,PENDING (no ГАИ-post coords + boundary undecided),,,,3,
n2323152139,"Парканы, улица Котовского, 26",Парканы,False,4.118,18.472,PENDING (no ГАИ-post coords + boundary undecided),,,,3,
n2323152140,"Парканы, улица Котовского, 28",Парканы,False,4.122,18.488,PENDING (no ГАИ-post coords + boundary undecided),,,,3,
