model_id,metric,method,k,zone_id,lower_bound,upper_bound,all_address_count,all_population_share,city_address_count,city_population_share,economic_scope,median_route_km,median_effective_km,median_taxi_reference,candidate_delivery_fee_rub,client_median_saving_rub,driver_median_gap_rub,boundary_instability_count,confidence,notes
K6R_quantile,legacy_expected_km,quantile,6,6,5.937,,1537,0.1668,103,0.0212,DIAGNOSTIC_ROUTE_ONLY,6.45,,,,,,4128,DIAGNOSTIC,LEGACY_RELEASE_DIAGNOSTIC (blended metric); NOT a city tariff
K6R_kmeans,legacy_expected_km,kmeans,6,1,0.0,2.057,1351,0.1466,1351,0.2776,DIAGNOSTIC_ROUTE_ONLY,1.413,,,,,,2894,DIAGNOSTIC,LEGACY_RELEASE_DIAGNOSTIC (blended metric); NOT a city tariff
K6R_kmeans,legacy_expected_km,kmeans,6,2,2.057,3.34,1285,0.1394,1272,0.2614,DIAGNOSTIC_ROUTE_ONLY,2.665,,,,,,2894,DIAGNOSTIC,LEGACY_RELEASE_DIAGNOSTIC (blended metric); NOT a city tariff
K6R_kmeans,legacy_expected_km,kmeans,6,3,3.34,4.497,1615,0.1752,753,0.1547,DIAGNOSTIC_ROUTE_ONLY,4.004,,,,,,2894,DIAGNOSTIC,LEGACY_RELEASE_DIAGNOSTIC (blended metric); NOT a city tariff
K6R_kmeans,legacy_expected_km,kmeans,6,4,4.497,5.57,2709,0.2939,1186,0.2437,DIAGNOSTIC_ROUTE_ONLY,4.982,,,,,,2894,DIAGNOSTIC,LEGACY_RELEASE_DIAGNOSTIC (blended metric); NOT a city tariff
K6R_kmeans,legacy_expected_km,kmeans,6,5,5.57,6.978,1919,0.2082,304,0.0625,DIAGNOSTIC_ROUTE_ONLY,6.099,,,,,,2894,DIAGNOSTIC,LEGACY_RELEASE_DIAGNOSTIC (blended metric); NOT a city tariff
K6R_kmeans,legacy_expected_km,kmeans,6,6,6.978,,337,0.0366,0,0.0,DIAGNOSTIC_ROUTE_ONLY,7.61,,,,,,2894,DIAGNOSTIC,LEGACY_RELEASE_DIAGNOSTIC (blended metric); NOT a city tariff
K6R_dp_optimal_jenks,legacy_expected_km,dp_optimal_jenks,6,1,0.0,2.075,1358,0.1474,1358,0.2791,DIAGNOSTIC_ROUTE_ONLY,1.414,,,,,,2953,DIAGNOSTIC,LEGACY_RELEASE_DIAGNOSTIC (blended metric); NOT a city tariff
K6R_dp_optimal_jenks,legacy_expected_km,dp_optimal_jenks,6,2,2.075,3.375,1305,0.1416,1285,0.2641,DIAGNOSTIC_ROUTE_ONLY,2.676,,,,,,2953,DIAGNOSTIC,LEGACY_RELEASE_DIAGNOSTIC (blended metric); NOT a city tariff
K6R_dp_optimal_jenks,legacy_expected_km,dp_optimal_jenks,6,3,3.375,4.525,1650,0.179,757,0.1556,DIAGNOSTIC_ROUTE_ONLY,4.031,,,,,,2953,DIAGNOSTIC,LEGACY_RELEASE_DIAGNOSTIC (blended metric); NOT a city tariff
K6R_dp_optimal_jenks,legacy_expected_km,dp_optimal_jenks,6,4,4.525,5.575,2656,0.2882,1163,0.239,DIAGNOSTIC_ROUTE_ONLY,4.995,,,,,,2953,DIAGNOSTIC,LEGACY_RELEASE_DIAGNOSTIC (blended metric); NOT a city tariff
K6R_dp_optimal_jenks,legacy_expected_km,dp_optimal_jenks,6,5,5.575,6.975,1910,0.2072,303,0.0623,DIAGNOSTIC_ROUTE_ONLY,6.101,,,,,,2953,DIAGNOSTIC,LEGACY_RELEASE_DIAGNOSTIC (blended metric); NOT a city tariff
K6R_dp_optimal_jenks,legacy_expected_km,dp_optimal_jenks,6,6,6.975,,337,0.0366,0,0.0,DIAGNOSTIC_ROUTE_ONLY,7.61,,,,,,2953,DIAGNOSTIC,LEGACY_RELEASE_DIAGNOSTIC (blended metric); NOT a city tariff
CITY_K4R_quantile,fixed_origin_km,quantile,4,1,0.0,1.555,,,1214,0.2495,CITY_DEPLOYABLE,1.081,,,,,,690,CITY_CANDIDATE,city deployable (fixed-origin km; outside_km=0)
CITY_K4R_quantile,fixed_origin_km,quantile,4,2,1.555,2.954,,,1219,0.2505,CITY_DEPLOYABLE,2.237,,,,,,690,CITY_CANDIDATE,city deployable (fixed-origin km; outside_km=0)
CITY_K4R_quantile,fixed_origin_km,quantile,4,3,2.954,4.718,,,1216,0.2499,CITY_DEPLOYABLE,4.149,,,,,,690,CITY_CANDIDATE,city deployable (fixed-origin km; outside_km=0)
CITY_K4R_quantile,fixed_origin_km,quantile,4,4,4.718,,,,1217,0.2501,CITY_DEPLOYABLE,5.435,,,,,,690,CITY_CANDIDATE,city deployable (fixed-origin km; outside_km=0)
CITY_K4R_kmeans,fixed_origin_km,kmeans,4,1,0.0,1.737,,,1350,0.2774,CITY_DEPLOYABLE,1.138,,,,,,704,CITY_CANDIDATE,city deployable (fixed-origin km; outside_km=0)
CITY_K4R_kmeans,fixed_origin_km,kmeans,4,2,1.737,3.286,,,1196,0.2458,CITY_DEPLOYABLE,2.308,,,,,,704,CITY_CANDIDATE,city deployable (fixed-origin km; outside_km=0)
CITY_K4R_kmeans,fixed_origin_km,kmeans,4,3,3.286,4.954,,,1297,0.2665,CITY_DEPLOYABLE,4.312,,,,,,704,CITY_CANDIDATE,city deployable (fixed-origin km; outside_km=0)
