address_id,territory,district,street,house_number,lat,lon,fixed_origin_lat,fixed_origin_lon,fixed_origin_km,metric_source,legacy_expected_km,delta_fixed_minus_legacy_km,provenance
n2321749456,Гиска,,улица 60 лет Октября,3,46.78454,29.44855,46.82388,29.48313,5.618,central_km,5.939,-0.321,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2321749458,Гиска,,улица 60 лет Октября,4,46.78419,29.44805,46.82388,29.48313,5.638,central_km,5.959,-0.321,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2321749459,Гиска,,улица Бориса Главана,5,46.78396,29.4487,46.82388,29.48313,5.682,central_km,6.003,-0.321,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2321749460,Гиска,,улица Бориса Главана,6,46.78389,29.44792,46.82388,29.48313,5.725,central_km,6.046,-0.321,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2321749461,Гиска,,улица Бориса Главана,22,46.78341,29.44656,46.82388,29.48313,5.907,central_km,6.228,-0.321,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2321749462,Гиска,,улица Бориса Главана,7,46.78356,29.44818,46.82388,29.48313,5.722,central_km,6.043,-0.321,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2321749463,Гиска,,улица Бориса Главана,27,46.78277,29.44638,46.82388,29.48313,5.86,central_km,6.181,-0.321,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2321749464,Гиска,,улица Бориса Главана,22а,46.78254,29.44565,46.82388,29.48313,5.864,central_km,6.184,-0.32,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2321749465,Гиска,,Госпитальная улица,24,46.78208,29.44589,46.82388,29.48313,5.921,central_km,6.241,-0.32,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2321749466,Гиска,,Госпитальная улица,31,46.78225,29.44625,46.82388,29.48313,5.909,central_km,6.23,-0.321,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2321749467,Гиска,,Госпитальная улица,78,46.78213,29.44651,46.82388,29.48313,5.964,central_km,6.285,-0.321,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2321749468,Гиска,,Госпитальная улица,105,46.78173,29.44657,46.82388,29.48313,5.971,central_km,6.291,-0.32,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2321749469,Гиска,,Госпитальная улица,56,46.78319,29.44839,46.82388,29.48313,5.804,central_km,6.125,-0.321,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2321749470,Гиска,,Госпитальная улица,89,46.78278,29.44855,46.82388,29.48313,5.816,central_km,6.137,-0.321,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2321749471,Гиска,,Госпитальная улица,87,46.78301,29.44932,46.82388,29.48313,5.798,central_km,6.119,-0.321,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2321749472,Гиска,,Госпитальная улица,52,46.78344,29.44946,46.82388,29.48313,5.805,central_km,6.126,-0.321,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2321749473,Гиска,,Госпитальная улица,54,46.78357,29.449,46.82388,29.48313,5.73,central_km,6.051,-0.321,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2321749474,Гиска,,Госпитальная улица,20,46.78567,29.45501,46.82388,29.48313,6.323,central_km,6.644,-0.321,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2321749475,Гиска,,Госпитальная улица,47,46.78546,29.45552,46.82388,29.48313,6.302,central_km,6.623,-0.321,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2321749476,Гиска,,Госпитальная улица,45,46.7853,29.45606,46.82388,29.48313,6.39,central_km,6.71,-0.32,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2321749477,Гиска,,Госпитальная улица,39,46.78463,29.45659,46.82388,29.48313,6.477,central_km,6.798,-0.321,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2321749478,Гиска,,Госпитальная улица,35,46.78457,29.45701,46.82388,29.48313,6.484,central_km,6.805,-0.321,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2321749479,Гиска,,Госпитальная улица,37,46.78566,29.45636,46.82388,29.48313,6.366,central_km,6.686,-0.32,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2321749482,Гиска,,Госпитальная улица,8,46.78606,29.45664,46.82388,29.48313,6.385,central_km,6.706,-0.321,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2321749483,Гиска,,Госпитальная улица,10а,46.78587,29.45584,46.82388,29.48313,6.322,central_km,6.643,-0.321,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
