address_id,territory,district,street,house_number,lat,lon,route_km,route_duration_min,route_metric_status,in_city_km,outside_city_km,outside_split_status,boundary_anchor_id,effective_km_1667,taxi_model_a_reference_rub,taxi_model_b_reference_rub,driver_take_fixed_a_rub,driver_take_percent_a_rub,driver_best_taxi_take_a_rub,current_zone_id,data_confidence,evidence_notes
w302067676,Бендеры,,улица Калашникова,4,46.81904,29.45666,4.63,,expected_km_osrm,4.63,0.0,CITY_ALL_IN,,4.63,27.78,27.78,22.78,18.06,22.78,3,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
w302067678,Бендеры,,улица Калашникова,6,46.81937,29.45623,4.679,,expected_km_osrm,4.679,0.0,CITY_ALL_IN,,4.679,28.07,28.07,23.07,18.25,23.07,3,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
w302074717,Бендеры,,Железнодорожная улица,85,46.82253,29.45896,4.851,,expected_km_osrm,4.851,0.0,CITY_ALL_IN,,4.851,29.11,29.11,24.11,18.92,24.11,3,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
w302074718,Бендеры,,Железнодорожная улица,88,46.82247,29.45842,4.834,,expected_km_osrm,4.834,0.0,CITY_ALL_IN,,4.834,29.0,29.0,24.0,18.85,24.0,3,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
w302074719,Бендеры,,Железнодорожная улица,87,46.82237,29.45891,4.833,,expected_km_osrm,4.833,0.0,CITY_ALL_IN,,4.833,29.0,29.0,24.0,18.85,24.0,3,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
w302074720,Бендеры,,Железнодорожная улица,89,46.8222,29.45888,4.814,,expected_km_osrm,4.814,0.0,CITY_ALL_IN,,4.814,28.88,28.88,23.88,18.77,23.88,3,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
w302074721,Бендеры,,улица Старого,27,46.82199,29.45732,4.875,,expected_km_osrm,4.875,0.0,CITY_ALL_IN,,4.875,29.25,29.25,24.25,19.01,24.25,3,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
w302074722,Бендеры,,улица Старого,19,46.82207,29.45716,4.929,,expected_km_osrm,4.929,0.0,CITY_ALL_IN,,4.929,29.57,29.57,24.57,19.22,24.57,3,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
w302074724,Бендеры,,Железнодорожная улица,86,46.82262,29.45847,4.851,,expected_km_osrm,4.851,0.0,CITY_ALL_IN,,4.851,29.11,29.11,24.11,18.92,24.11,3,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
w302074725,Бендеры,,улица Добродеева,84,46.82275,29.45848,4.873,,expected_km_osrm,4.873,0.0,CITY_ALL_IN,,4.873,29.24,29.24,24.24,19.01,24.24,3,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
