candidate_id,exception_row_id,osm_type,osm_id,source_dataset,source_sha256,source_recovery_status,lat,lon,settlement,street,house_number,name,building,building_part,amenity,healthcare,shop,office,industrial,craft,tourism,leisure,government,public_transport,railway,entrance,access,lifecycle_status,parent_object_id,facility_category,has_separate_address,independent_delivery_entrance,candidate_delivery_status,exclusion_reason_original,recovery_evidence,manual_yandex_review_required,owner_review_required,notes
REC-011,n4988629684,n,4988629684,moldova-pbf:09ba0c058e89,09ba0c058e89faacac7e1b1e7c8d0fbb14b4df66061b43abdce590b65ce8813c,RECOVERED_FROM_PINNED_SOURCE,46.8426120,29.4399034,,Славянская улица,64,,ruins,,,,,,,,,,,,,,,ruins,w782822396,UNKNOWN,True,False,NON_DELIVERABLE_LIFECYCLE,address_inside_nonresidential_building,node n4988629684 recovered from SHA-256 verified pinned PBF; source node address tags present; containing way w782822396 recovered from the same PBF,True,False,legacy unit_type=address_in_abandoned_or_ruin
REC-012,n1017949263,n,1017949263,moldova-pbf:09ba0c058e89,09ba0c058e89faacac7e1b1e7c8d0fbb14b4df66061b43abdce590b65ce8813c,RECOVERED_FROM_PINNED_SOURCE,46.8234213,29.4833185,Бендеры,улица Суворова,28,Шериф,retail,,,,supermarket,,,,,,,,,,,,w160140433,RETAIL,True,False,DUPLICATE_EXISTING_ADDRESS,address_inside_nonresidential_building,node n1017949263 recovered from SHA-256 verified pinned PBF; source node address tags present; containing way w160140433 recovered from the same PBF,True,False,legacy unit_type=address_in_non_residential
REC-013,n1096019201,n,1096019201,moldova-pbf:09ba0c058e89,09ba0c058e89faacac7e1b1e7c8d0fbb14b4df66061b43abdce590b65ce8813c,RECOVERED_FROM_PINNED_SOURCE,46.8227655,29.4819819,Бендеры,улица Ленина,20a,Авеню,retail,,restaurant,,,,,,,,,,,,,,w161104415,FOOD_SERVICE,True,False,DELIVERABLE_CANDIDATE,address_inside_nonresidential_building,node n1096019201 recovered from SHA-256 verified pinned PBF; source node address tags present; containing way w161104415 recovered from the same PBF,True,True,legacy unit_type=address_in_non_residential
REC-014,n1496142337,n,1496142337,moldova-pbf:09ba0c058e89,09ba0c058e89faacac7e1b1e7c8d0fbb14b4df66061b43abdce590b65ce8813c,RECOVERED_FROM_PINNED_SOURCE,46.8234960,29.4832863,Бендеры,улица Суворова,28,Агропромбанк,retail,,bank,,,,,,,,,,,,,,w160140433,PUBLIC_SERVICE,True,False,DUPLICATE_EXISTING_ADDRESS,address_inside_nonresidential_building,node n1496142337 recovered from SHA-256 verified pinned PBF; source node address tags present; containing way w160140433 recovered from the same PBF,True,False,legacy unit_type=address_in_non_residential
REC-015,n2132512033,n,2132512033,moldova-pbf:09ba0c058e89,09ba0c058e89faacac7e1b1e7c8d0fbb14b4df66061b43abdce590b65ce8813c,RECOVERED_FROM_PINNED_SOURCE,46.8282155,29.4527052,Бендеры,улица Полоза,2а,,office,,,,,,,,,,,,,,,,w209273645,UNKNOWN,True,False,DUPLICATE_EXISTING_ADDRESS,address_inside_nonresidential_building,node n2132512033 recovered from SHA-256 verified pinned PBF; source node address tags present; containing way w209273645 recovered from the same PBF,True,False,legacy unit_type=address_in_non_residential
REC-016,n2993038632,n,2993038632,moldova-pbf:09ba0c058e89,09ba0c058e89faacac7e1b1e7c8d0fbb14b4df66061b43abdce590b65ce8813c,RECOVERED_FROM_PINNED_SOURCE,46.8266134,29.4837783,Бендеры,Советская улица,23,Квинт-Маркет,retail,,,,alcohol,,,,,,,,,,,,w161100402,RETAIL,True,False,DELIVERABLE_CANDIDATE,address_inside_nonresidential_building,node n2993038632 recovered from SHA-256 verified pinned PBF; source node address tags present; containing way w161100402 recovered from the same PBF,True,True,legacy unit_type=address_in_non_residential
REC-017,n3098292367,n,3098292367,moldova-pbf:09ba0c058e89,09ba0c058e89faacac7e1b1e7c8d0fbb14b4df66061b43abdce590b65ce8813c,RECOVERED_FROM_PINNED_SOURCE,46.8098922,29.4710801,Бендеры,ул. Коммунистическая,181,"ОАО ""Флоаре""",industrial,,,,,company,,,,,,,,,,,w305229272,INDUSTRIAL,True,False,DELIVERABLE_CANDIDATE,address_inside_nonresidential_building,node n3098292367 recovered from SHA-256 verified pinned PBF; source node address tags present; containing way w305229272 recovered from the same PBF,True,True,legacy unit_type=address_in_non_residential
REC-018,n3554383230,n,3554383230,moldova-pbf:09ba0c058e89,09ba0c058e89faacac7e1b1e7c8d0fbb14b4df66061b43abdce590b65ce8813c,RECOVERED_FROM_PINNED_SOURCE,46.7883322,29.4881218,Бендеры,Индустриальная улица,12/3,Шериф,industrial,,,,supermarket,,,,,,,,,,,,w115331477,INDUSTRIAL,True,False,DELIVERABLE_CANDIDATE,address_inside_nonresidential_building,node n3554383230 recovered from SHA-256 verified pinned PBF; source node address tags present; containing way w115331477 recovered from the same PBF,True,True,legacy unit_type=address_in_non_residential
REC-019,n3581278391,n,3581278391,moldova-pbf:09ba0c058e89,09ba0c058e89faacac7e1b1e7c8d0fbb14b4df66061b43abdce590b65ce8813c,RECOVERED_FROM_PINNED_SOURCE,46.8226923,29.4825487,Бендеры,улица Ленина,20,Грин-Интермаркет,retail,,,,clothes,,,,,,,,,,,,w161104415,RETAIL,True,False,DUPLICATE_EXISTING_ADDRESS,address_inside_nonresidential_building,node n3581278391 recovered from SHA-256 verified pinned PBF; source node address tags present; containing way w161104415 recovered from the same PBF,True,False,legacy unit_type=address_in_non_residential
REC-020,n3600378830,n,3600378830,moldova-pbf:09ba0c058e89,09ba0c058e89faacac7e1b1e7c8d0fbb14b4df66061b43abdce590b65ce8813c,RECOVERED_FROM_PINNED_SOURCE,46.7982621,29.4884651,Бендеры,Индустриальная улица,35,Гарант,industrial,,,,butcher,,,,,,,,,,,,w115331372,INDUSTRIAL,True,False,DELIVERABLE_CANDIDATE,address_inside_nonresidential_building,node n3600378830 recovered from SHA-256 verified pinned PBF; source node address tags present; containing way w115331372 recovered from the same PBF,True,True,legacy unit_type=address_in_non_residential
REC-021,n4250523690,n,4250523690,moldova-pbf:09ba0c058e89,09ba0c058e89faacac7e1b1e7c8d0fbb14b4df66061b43abdce590b65ce8813c,RECOVERED_FROM_PINNED_SOURCE,46.8257873,29.4834238,,Советская улица,29а,Клеймс,retail,,,,hardware,,,,,,,,,,,,w428859738,RETAIL,True,False,DELIVERABLE_CANDIDATE,address_inside_nonresidential_building,node n4250523690 recovered from SHA-256 verified pinned PBF; source node address tags present; containing way w428859738 recovered from the same PBF,True,True,legacy unit_type=address_in_non_residential
REC-022,n4279772213,n,4279772213,moldova-pbf:09ba0c058e89,09ba0c058e89faacac7e1b1e7c8d0fbb14b4df66061b43abdce590b65ce8813c,RECOVERED_FROM_PINNED_SOURCE,46.8259771,29.4835450,Бендеры,Советская улица,29,Гермес,retail,,,,convenience,,,,,,,,,,,,w162030328,RETAIL,True,False,DUPLICATE_EXISTING_ADDRESS,address_inside_nonresidential_building,node n4279772213 recovered from SHA-256 verified pinned PBF; source node address tags present; containing way w162030328 recovered from the same PBF,True,False,legacy unit_type=address_in_non_residential
REC-023,n4393905716,n,4393905716,moldova-pbf:09ba0c058e89,09ba0c058e89faacac7e1b1e7c8d0fbb14b4df66061b43abdce590b65ce8813c,RECOVERED_FROM_PINNED_SOURCE,46.8124472,29.4727093,Бендеры,Коммунистическая,163,Ветеринарная лечебница,service,,veterinary,,,,,,,,,,,,,,w302537740,MEDICAL,True,False,DELIVERABLE_CANDIDATE,address_inside_nonresidential_building,node n4393905716 recovered from SHA-256 verified pinned PBF; source node address tags present; containing way w302537740 recovered from the same PBF,True,True,legacy unit_type=address_in_non_residential
REC-024,n4570124396,n,4570124396,moldova-pbf:09ba0c058e89,09ba0c058e89faacac7e1b1e7c8d0fbb14b4df66061b43abdce590b65ce8813c,RECOVERED_FROM_PINNED_SOURCE,46.8260939,29.4836545,Бендеры,Советская улица,27,Просто Обувь,retail,,,,shoes,,,,,,,,,,,,w162030328,RETAIL,True,False,DELIVERABLE_CANDIDATE,address_inside_nonresidential_building,node n4570124396 recovered from SHA-256 verified pinned PBF; source node address tags present; containing way w162030328 recovered from the same PBF,True,True,legacy unit_type=address_in_non_residential
REC-025,n4757854521,n,4757854521,moldova-pbf:09ba0c058e89,09ba0c058e89faacac7e1b1e7c8d0fbb14b4df66061b43abdce590b65ce8813c,RECOVERED_FROM_PINNED_SOURCE,46.8227768,29.4823157,Бендеры,улица Ленина,11,Фотогрин,retail,,,,photo,,,,,,,,,,,,w161104415,RETAIL,True,False,DUPLICATE_EXISTING_ADDRESS,address_inside_nonresidential_building,node n4757854521 recovered from SHA-256 verified pinned PBF; source node address tags present; containing way w161104415 recovered from the same PBF,True,False,legacy unit_type=address_in_non_residential
REC-026,n6055141627,n,6055141627,moldova-pbf:09ba0c058e89,09ba0c058e89faacac7e1b1e7c8d0fbb14b4df66061b43abdce590b65ce8813c,RECOVERED_FROM_PINNED_SOURCE,46.8339960,29.4885005,Бендеры,Strada Panin,2/1,Старый бастион,commercial,,restaurant,,,,,,,,,,,,,,w643437122,FOOD_SERVICE,True,False,DELIVERABLE_CANDIDATE,address_inside_nonresidential_building,node n6055141627 recovered from SHA-256 verified pinned PBF; source node address tags present; containing way w643437122 recovered from the same PBF,True,True,legacy unit_type=address_in_non_residential
