address_id,territory,street,house_number,lat,lon,source_object_type,normalized_object_type,deliverable_address_status,exclusion_reason,manual_review_required
n2321749466,Гиска,Госпитальная улица,31,46.78225,29.44625,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321749467,Гиска,Госпитальная улица,78,46.78213,29.44651,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321749468,Гиска,Госпитальная улица,105,46.78173,29.44657,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321749469,Гиска,Госпитальная улица,56,46.78319,29.44839,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321749470,Гиска,Госпитальная улица,89,46.78278,29.44855,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321749471,Гиска,Госпитальная улица,87,46.78301,29.44932,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321749472,Гиска,Госпитальная улица,52,46.78344,29.44946,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321749473,Гиска,Госпитальная улица,54,46.78357,29.449,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321749474,Гиска,Госпитальная улица,20,46.78567,29.45501,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321749475,Гиска,Госпитальная улица,47,46.78546,29.45552,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321749476,Гиска,Госпитальная улица,45,46.7853,29.45606,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321749477,Гиска,Госпитальная улица,39,46.78463,29.45659,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321749478,Гиска,Госпитальная улица,35,46.78457,29.45701,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321749479,Гиска,Госпитальная улица,37,46.78566,29.45636,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321749482,Гиска,Госпитальная улица,8,46.78606,29.45664,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321749483,Гиска,Госпитальная улица,10а,46.78587,29.45584,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321749484,Гиска,Госпитальная улица,12,46.78678,29.45505,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321749485,Гиска,Госпитальная улица,16,46.78618,29.45493,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
