territory,city_rate,outside_rate,minimum_fare,address_count,median_route_km,p90_route_km,taxi_lower_rub,taxi_upper_rub,driver_take_lower_rub,driver_take_upper_rub,taxi_reference_bracket_rub,direct_feasible_lower_rub,direct_feasible_upper_rub,status
Парканы,5.0,12.0,20.0,3446,5.177,6.454,25.88,62.12,20.88,57.12,25.88..62.12,,,RANGE_ONLY_NOT_TARIFF
Парканы,5.0,12.0,25.0,3446,5.177,6.454,25.88,62.12,20.88,57.12,25.88..62.12,,,RANGE_ONLY_NOT_TARIFF
Парканы,6.0,8.0,15.0,3446,5.177,6.454,31.06,41.42,26.06,36.42,31.06..41.42,,,RANGE_ONLY_NOT_TARIFF
Парканы,6.0,8.0,18.0,3446,5.177,6.454,31.06,41.42,26.06,36.42,31.06..41.42,,,RANGE_ONLY_NOT_TARIFF
Парканы,6.0,8.0,20.0,3446,5.177,6.454,31.06,41.42,26.06,36.42,31.06..41.42,,,RANGE_ONLY_NOT_TARIFF
Парканы,6.0,8.0,25.0,3446,5.177,6.454,31.06,41.42,26.06,36.42,31.06..41.42,,,RANGE_ONLY_NOT_TARIFF
Парканы,6.0,9.0,15.0,3446,5.177,6.454,31.06,46.59,26.06,41.59,31.06..46.59,,,RANGE_ONLY_NOT_TARIFF
Парканы,6.0,9.0,18.0,3446,5.177,6.454,31.06,46.59,26.06,41.59,31.06..46.59,,,RANGE_ONLY_NOT_TARIFF
Парканы,6.0,9.0,20.0,3446,5.177,6.454,31.06,46.59,26.06,41.59,31.06..46.59,,,RANGE_ONLY_NOT_TARIFF
Парканы,6.0,9.0,25.0,3446,5.177,6.454,31.06,46.59,26.06,41.59,31.06..46.59,,,RANGE_ONLY_NOT_TARIFF
Парканы,6.0,10.0,15.0,3446,5.177,6.454,31.06,51.77,26.06,46.77,31.06..51.77,,,RANGE_ONLY_NOT_TARIFF
Парканы,6.0,10.0,18.0,3446,5.177,6.454,31.06,51.77,26.06,46.77,31.06..51.77,,,RANGE_ONLY_NOT_TARIFF
Парканы,6.0,10.0,20.0,3446,5.177,6.454,31.06,51.77,26.06,46.77,31.06..51.77,,,RANGE_ONLY_NOT_TARIFF
Парканы,6.0,10.0,25.0,3446,5.177,6.454,31.06,51.77,26.06,46.77,31.06..51.77,,,RANGE_ONLY_NOT_TARIFF
Парканы,6.0,11.0,15.0,3446,5.177,6.454,31.06,56.95,26.06,51.95,31.06..56.95,,,RANGE_ONLY_NOT_TARIFF
Парканы,6.0,11.0,18.0,3446,5.177,6.454,31.06,56.95,26.06,51.95,31.06..56.95,,,RANGE_ONLY_NOT_TARIFF
Парканы,6.0,11.0,20.0,3446,5.177,6.454,31.06,56.95,26.06,51.95,31.06..56.95,,,RANGE_ONLY_NOT_TARIFF
Парканы,6.0,11.0,25.0,3446,5.177,6.454,31.06,56.95,26.06,51.95,31.06..56.95,,,RANGE_ONLY_NOT_TARIFF
Парканы,6.0,12.0,15.0,3446,5.177,6.454,31.06,62.12,26.06,57.12,31.06..62.12,,,RANGE_ONLY_NOT_TARIFF
Парканы,6.0,12.0,18.0,3446,5.177,6.454,31.06,62.12,26.06,57.12,31.06..62.12,,,RANGE_ONLY_NOT_TARIFF
Парканы,6.0,12.0,20.0,3446,5.177,6.454,31.06,62.12,26.06,57.12,31.06..62.12,,,RANGE_ONLY_NOT_TARIFF
Парканы,6.0,12.0,25.0,3446,5.177,6.454,31.06,62.12,26.06,57.12,31.06..62.12,,,RANGE_ONLY_NOT_TARIFF
Парканы,7.0,8.0,15.0,3446,5.177,6.454,36.24,41.42,31.24,36.42,36.24..41.42,,,RANGE_ONLY_NOT_TARIFF
Парканы,7.0,8.0,18.0,3446,5.177,6.454,36.24,41.42,31.24,36.42,36.24..41.42,,,RANGE_ONLY_NOT_TARIFF
Парканы,7.0,8.0,20.0,3446,5.177,6.454,36.24,41.42,31.24,36.42,36.24..41.42,,,RANGE_ONLY_NOT_TARIFF
Парканы,7.0,8.0,25.0,3446,5.177,6.454,36.24,41.42,31.24,36.42,36.24..41.42,,,RANGE_ONLY_NOT_TARIFF
Парканы,7.0,9.0,15.0,3446,5.177,6.454,36.24,46.59,31.24,41.59,36.24..46.59,,,RANGE_ONLY_NOT_TARIFF
Парканы,7.0,9.0,18.0,3446,5.177,6.454,36.24,46.59,31.24,41.59,36.24..46.59,,,RANGE_ONLY_NOT_TARIFF
Парканы,7.0,9.0,20.0,3446,5.177,6.454,36.24,46.59,31.24,41.59,36.24..46.59,,,RANGE_ONLY_NOT_TARIFF
Парканы,7.0,9.0,25.0,3446,5.177,6.454,36.24,46.59,31.24,41.59,36.24..46.59,,,RANGE_ONLY_NOT_TARIFF
Парканы,7.0,10.0,15.0,3446,5.177,6.454,36.24,51.77,31.24,46.77,36.24..51.77,,,RANGE_ONLY_NOT_TARIFF
Парканы,7.0,10.0,18.0,3446,5.177,6.454,36.24,51.77,31.24,46.77,36.24..51.77,,,RANGE_ONLY_NOT_TARIFF
Парканы,7.0,10.0,20.0,3446,5.177,6.454,36.24,51.77,31.24,46.77,36.24..51.77,,,RANGE_ONLY_NOT_TARIFF
Парканы,7.0,10.0,25.0,3446,5.177,6.454,36.24,51.77,31.24,46.77,36.24..51.77,,,RANGE_ONLY_NOT_TARIFF
Парканы,7.0,11.0,15.0,3446,5.177,6.454,36.24,56.95,31.24,51.95,36.24..56.95,,,RANGE_ONLY_NOT_TARIFF
Парканы,7.0,11.0,18.0,3446,5.177,6.454,36.24,56.95,31.24,51.95,36.24..56.95,,,RANGE_ONLY_NOT_TARIFF
Парканы,7.0,11.0,20.0,3446,5.177,6.454,36.24,56.95,31.24,51.95,36.24..56.95,,,RANGE_ONLY_NOT_TARIFF
Парканы,7.0,11.0,25.0,3446,5.177,6.454,36.24,56.95,31.24,51.95,36.24..56.95,,,RANGE_ONLY_NOT_TARIFF
Парканы,7.0,12.0,15.0,3446,5.177,6.454,36.24,62.12,31.24,57.12,36.24..62.12,,,RANGE_ONLY_NOT_TARIFF
Парканы,7.0,12.0,18.0,3446,5.177,6.454,36.24,62.12,31.24,57.12,36.24..62.12,,,RANGE_ONLY_NOT_TARIFF
Парканы,7.0,12.0,20.0,3446,5.177,6.454,36.24,62.12,31.24,57.12,36.24..62.12,,,RANGE_ONLY_NOT_TARIFF
Парканы,7.0,12.0,25.0,3446,5.177,6.454,36.24,62.12,31.24,57.12,36.24..62.12,,,RANGE_ONLY_NOT_TARIFF
Протягайловка,5.0,8.0,15.0,505,6.466,8.269,32.33,51.73,27.33,46.73,32.33..51.73,,,RANGE_ONLY_NOT_TARIFF
Протягайловка,5.0,8.0,18.0,505,6.466,8.269,32.33,51.73,27.33,46.73,32.33..51.73,,,RANGE_ONLY_NOT_TARIFF
Протягайловка,5.0,8.0,20.0,505,6.466,8.269,32.33,51.73,27.33,46.73,32.33..51.73,,,RANGE_ONLY_NOT_TARIFF
Протягайловка,5.0,8.0,25.0,505,6.466,8.269,32.33,51.73,27.33,46.73,32.33..51.73,,,RANGE_ONLY_NOT_TARIFF
Протягайловка,5.0,9.0,15.0,505,6.466,8.269,32.33,58.19,27.33,53.19,32.33..58.19,,,RANGE_ONLY_NOT_TARIFF
Протягайловка,5.0,9.0,18.0,505,6.466,8.269,32.33,58.19,27.33,53.19,32.33..58.19,,,RANGE_ONLY_NOT_TARIFF
Протягайловка,5.0,9.0,20.0,505,6.466,8.269,32.33,58.19,27.33,53.19,32.33..58.19,,,RANGE_ONLY_NOT_TARIFF
Протягайловка,5.0,9.0,25.0,505,6.466,8.269,32.33,58.19,27.33,53.19,32.33..58.19,,,RANGE_ONLY_NOT_TARIFF
Протягайловка,5.0,10.0,15.0,505,6.466,8.269,32.33,64.66,27.33,59.66,32.33..64.66,,,RANGE_ONLY_NOT_TARIFF
Протягайловка,5.0,10.0,18.0,505,6.466,8.269,32.33,64.66,27.33,59.66,32.33..64.66,,,RANGE_ONLY_NOT_TARIFF
Протягайловка,5.0,10.0,20.0,505,6.466,8.269,32.33,64.66,27.33,59.66,32.33..64.66,,,RANGE_ONLY_NOT_TARIFF
Протягайловка,5.0,10.0,25.0,505,6.466,8.269,32.33,64.66,27.33,59.66,32.33..64.66,,,RANGE_ONLY_NOT_TARIFF
Протягайловка,5.0,11.0,15.0,505,6.466,8.269,32.33,71.13,27.33,66.13,32.33..71.13,,,RANGE_ONLY_NOT_TARIFF
Протягайловка,5.0,11.0,18.0,505,6.466,8.269,32.33,71.13,27.33,66.13,32.33..71.13,,,RANGE_ONLY_NOT_TARIFF
Протягайловка,5.0,11.0,20.0,505,6.466,8.269,32.33,71.13,27.33,66.13,32.33..71.13,,,RANGE_ONLY_NOT_TARIFF
Протягайловка,5.0,11.0,25.0,505,6.466,8.269,32.33,71.13,27.33,66.13,32.33..71.13,,,RANGE_ONLY_NOT_TARIFF
Протягайловка,5.0,12.0,15.0,505,6.466,8.269,32.33,77.59,27.33,72.59,32.33..77.59,,,RANGE_ONLY_NOT_TARIFF
Протягайловка,5.0,12.0,18.0,505,6.466,8.269,32.33,77.59,27.33,72.59,32.33..77.59,,,RANGE_ONLY_NOT_TARIFF
Протягайловка,5.0,12.0,20.0,505,6.466,8.269,32.33,77.59,27.33,72.59,32.33..77.59,,,RANGE_ONLY_NOT_TARIFF
Протягайловка,5.0,12.0,25.0,505,6.466,8.269,32.33,77.59,27.33,72.59,32.33..77.59,,,RANGE_ONLY_NOT_TARIFF
Протягайловка,6.0,8.0,15.0,505,6.466,8.269,38.8,51.73,33.8,46.73,38.8..51.73,,,RANGE_ONLY_NOT_TARIFF
Протягайловка,6.0,8.0,18.0,505,6.466,8.269,38.8,51.73,33.8,46.73,38.8..51.73,,,RANGE_ONLY_NOT_TARIFF
Протягайловка,6.0,8.0,20.0,505,6.466,8.269,38.8,51.73,33.8,46.73,38.8..51.73,,,RANGE_ONLY_NOT_TARIFF
Протягайловка,6.0,8.0,25.0,505,6.466,8.269,38.8,51.73,33.8,46.73,38.8..51.73,,,RANGE_ONLY_NOT_TARIFF
Протягайловка,6.0,9.0,15.0,505,6.466,8.269,38.8,58.19,33.8,53.19,38.8..58.19,,,RANGE_ONLY_NOT_TARIFF
Протягайловка,6.0,9.0,18.0,505,6.466,8.269,38.8,58.19,33.8,53.19,38.8..58.19,,,RANGE_ONLY_NOT_TARIFF
Протягайловка,6.0,9.0,20.0,505,6.466,8.269,38.8,58.19,33.8,53.19,38.8..58.19,,,RANGE_ONLY_NOT_TARIFF
Протягайловка,6.0,9.0,25.0,505,6.466,8.269,38.8,58.19,33.8,53.19,38.8..58.19,,,RANGE_ONLY_NOT_TARIFF
Протягайловка,6.0,10.0,15.0,505,6.466,8.269,38.8,64.66,33.8,59.66,38.8..64.66,,,RANGE_ONLY_NOT_TARIFF
Протягайловка,6.0,10.0,18.0,505,6.466,8.269,38.8,64.66,33.8,59.66,38.8..64.66,,,RANGE_ONLY_NOT_TARIFF
Протягайловка,6.0,10.0,20.0,505,6.466,8.269,38.8,64.66,33.8,59.66,38.8..64.66,,,RANGE_ONLY_NOT_TARIFF
Протягайловка,6.0,10.0,25.0,505,6.466,8.269,38.8,64.66,33.8,59.66,38.8..64.66,,,RANGE_ONLY_NOT_TARIFF
Протягайловка,6.0,11.0,15.0,505,6.466,8.269,38.8,71.13,33.8,66.13,38.8..71.13,,,RANGE_ONLY_NOT_TARIFF
Протягайловка,6.0,11.0,18.0,505,6.466,8.269,38.8,71.13,33.8,66.13,38.8..71.13,,,RANGE_ONLY_NOT_TARIFF
Протягайловка,6.0,11.0,20.0,505,6.466,8.269,38.8,71.13,33.8,66.13,38.8..71.13,,,RANGE_ONLY_NOT_TARIFF
Протягайловка,6.0,11.0,25.0,505,6.466,8.269,38.8,71.13,33.8,66.13,38.8..71.13,,,RANGE_ONLY_NOT_TARIFF
Протягайловка,6.0,12.0,15.0,505,6.466,8.269,38.8,77.59,33.8,72.59,38.8..77.59,,,RANGE_ONLY_NOT_TARIFF
Протягайловка,6.0,12.0,18.0,505,6.466,8.269,38.8,77.59,33.8,72.59,38.8..77.59,,,RANGE_ONLY_NOT_TARIFF
Протягайловка,6.0,12.0,20.0,505,6.466,8.269,38.8,77.59,33.8,72.59,38.8..77.59,,,RANGE_ONLY_NOT_TARIFF
Протягайловка,6.0,12.0,25.0,505,6.466,8.269,38.8,77.59,33.8,72.59,38.8..77.59,,,RANGE_ONLY_NOT_TARIFF
Протягайловка,7.0,8.0,15.0,505,6.466,8.269,45.26,51.73,40.26,46.73,45.26..51.73,,,RANGE_ONLY_NOT_TARIFF
Протягайловка,7.0,8.0,18.0,505,6.466,8.269,45.26,51.73,40.26,46.73,45.26..51.73,,,RANGE_ONLY_NOT_TARIFF
Протягайловка,7.0,8.0,20.0,505,6.466,8.269,45.26,51.73,40.26,46.73,45.26..51.73,,,RANGE_ONLY_NOT_TARIFF
Протягайловка,7.0,8.0,25.0,505,6.466,8.269,45.26,51.73,40.26,46.73,45.26..51.73,,,RANGE_ONLY_NOT_TARIFF
Протягайловка,7.0,9.0,15.0,505,6.466,8.269,45.26,58.19,40.26,53.19,45.26..58.19,,,RANGE_ONLY_NOT_TARIFF
Протягайловка,7.0,9.0,18.0,505,6.466,8.269,45.26,58.19,40.26,53.19,45.26..58.19,,,RANGE_ONLY_NOT_TARIFF
Протягайловка,7.0,9.0,20.0,505,6.466,8.269,45.26,58.19,40.26,53.19,45.26..58.19,,,RANGE_ONLY_NOT_TARIFF
Протягайловка,7.0,9.0,25.0,505,6.466,8.269,45.26,58.19,40.26,53.19,45.26..58.19,,,RANGE_ONLY_NOT_TARIFF
Протягайловка,7.0,10.0,15.0,505,6.466,8.269,45.26,64.66,40.26,59.66,45.26..64.66,,,RANGE_ONLY_NOT_TARIFF
Протягайловка,7.0,10.0,18.0,505,6.466,8.269,45.26,64.66,40.26,59.66,45.26..64.66,,,RANGE_ONLY_NOT_TARIFF
Протягайловка,7.0,10.0,20.0,505,6.466,8.269,45.26,64.66,40.26,59.66,45.26..64.66,,,RANGE_ONLY_NOT_TARIFF
Протягайловка,7.0,10.0,25.0,505,6.466,8.269,45.26,64.66,40.26,59.66,45.26..64.66,,,RANGE_ONLY_NOT_TARIFF
Протягайловка,7.0,11.0,15.0,505,6.466,8.269,45.26,71.13,40.26,66.13,45.26..71.13,,,RANGE_ONLY_NOT_TARIFF
Протягайловка,7.0,11.0,18.0,505,6.466,8.269,45.26,71.13,40.26,66.13,45.26..71.13,,,RANGE_ONLY_NOT_TARIFF
Протягайловка,7.0,11.0,20.0,505,6.466,8.269,45.26,71.13,40.26,66.13,45.26..71.13,,,RANGE_ONLY_NOT_TARIFF
Протягайловка,7.0,11.0,25.0,505,6.466,8.269,45.26,71.13,40.26,66.13,45.26..71.13,,,RANGE_ONLY_NOT_TARIFF
Протягайловка,7.0,12.0,15.0,505,6.466,8.269,45.26,77.59,40.26,72.59,45.26..77.59,,,RANGE_ONLY_NOT_TARIFF
Протягайловка,7.0,12.0,18.0,505,6.466,8.269,45.26,77.59,40.26,72.59,45.26..77.59,,,RANGE_ONLY_NOT_TARIFF
Протягайловка,7.0,12.0,20.0,505,6.466,8.269,45.26,77.59,40.26,72.59,45.26..77.59,,,RANGE_ONLY_NOT_TARIFF
Протягайловка,7.0,12.0,25.0,505,6.466,8.269,45.26,77.59,40.26,72.59,45.26..77.59,,,RANGE_ONLY_NOT_TARIFF
