uid,address,territory,status,canonical_route_km,route_km,route_km_duration_opt,straight_km,crosses_checkpoint,external_km,base_price,external_surcharge,reference_price,internal_zone,routing_status,old_k4_zone_id
w291377841,"Бендеры, улица Калинина, 80",Бендеры,routed,0.975,0.9747,0.9747,0.66,False,0.0,14.0,0.0,14.0,1,routed,1
w291377842,"Бендеры, улица Калинина, 78",Бендеры,routed,0.959,0.9589,0.9589,0.639,False,0.0,14.0,0.0,14.0,1,routed,1
w291377845,"Бендеры, Комсомольская улица, 26а",Бендеры,routed,1.001,0.9718,1.0016,0.61,False,0.0,14.0,0.0,14.0,1,routed,1
w291377846,"Бендеры, Комсомольская улица, 26",Бендеры,routed,0.978,0.9785,0.9785,0.62,False,0.0,14.0,0.0,14.0,1,routed,1
w291377847,"Бендеры, улица Калинина, 71",Бендеры,routed,0.997,0.9967,0.9967,0.657,False,0.0,14.0,0.0,14.0,1,routed,1
w291377853,"Бендеры, Коммунистическая улица, 114",Бендеры,routed,1.044,1.0438,1.0438,0.721,False,0.0,14.0,0.0,14.0,1,routed,1
w291423975,"Бендеры, улица Дзержинского, 36",Бендеры,routed,1.224,1.2239,1.2239,0.882,False,0.0,14.0,0.0,14.0,1,routed,1
w291423977,"Бендеры, улица Дзержинского, 38",Бендеры,routed,1.256,1.2567,1.2567,0.896,False,0.0,14.0,0.0,14.0,1,routed,1
w291423988,"Бендеры, Московская улица, 9",Бендеры,routed,1.289,1.2893,1.2893,0.884,False,0.0,14.0,0.0,14.0,1,routed,1
w291423990,"Бендеры, Московская улица, 11",Бендеры,routed,1.216,1.2159,1.2159,0.868,False,0.0,14.0,0.0,14.0,1,routed,1
w291423996,"Бендеры, улица Дзержинского, 32",Бендеры,routed,1.215,1.2158,1.2158,0.83,False,0.0,14.0,0.0,14.0,1,routed,1
w291423999,"Бендеры, улица Дзержинского, 28",Бендеры,routed,1.247,1.2466,1.2466,0.817,False,0.0,14.0,0.0,14.0,1,routed,1
w291424001,"Бендеры, улица Дзержинского, 30",Бендеры,routed,1.232,1.2313,1.2313,0.821,False,0.0,14.0,0.0,14.0,1,routed,1
w291424305,"Бендеры, улица Пушкина, 14",Бендеры,routed,0.951,0.9515,0.9515,0.781,False,0.0,14.0,0.0,14.0,1,routed,1
w291424307,"Бендеры, Мельничный переулок, 16",Бендеры,routed,0.929,0.9288,0.9288,0.768,False,0.0,14.0,0.0,14.0,1,routed,1
w291424309,"Бендеры, Мельничный переулок, 5",Бендеры,routed,0.977,0.976,0.976,0.809,False,0.0,14.0,0.0,14.0,1,routed,1
w291424334,"Бендеры, улица Шестакова, 47",Бендеры,routed,0.716,0.7147,0.7147,0.519,False,0.0,14.0,0.0,14.0,1,routed,1
w291424372,"Бендеры, Московская улица, 45а",Бендеры,routed,0.694,0.6937,0.6937,0.501,False,0.0,14.0,0.0,14.0,1,routed,1
w291431956,"Бендеры, Советская улица, 55",Бендеры,routed,0.842,0.8421,0.8421,0.624,False,0.0,14.0,0.0,14.0,1,routed,1
