abs_diff_km,address,alt_provider_length_km,attempt_number,canonical_address_id,canonical_route_km,dest_lat,dest_lon,geometry_sha256,had_prior_polyline,http_result,mode,origin_key,origin_lat,origin_lon,pct_diff,profile,provider,raw_response_path,raw_sha256,request_params,request_timestamp_utc,request_url,retry_count,route_id,territory,validation_status
0.0004,улица Чкалова 21,4.5094,1,n2452549463,4.509,46.83406,29.526,d758254766bc9bf7696abfddfbfdff033a8cbe408c0643fb5ca33b9569358e6a,False,Ok,cache_replay,central_bender_origin,46.82388,29.48313,0.01,driving (full-planet OSM car) — NOT canonical car.lua,OSRM demo router.project-osrm.org (ALTERNATIVE_PROVIDER),data/interim/route-pilot/raw/n2452549463.osrm.json,fdff5481add06c297e165579bc0700037e65db22204cb02bd6f5240b86140309,"{""overview"": ""full"", ""geometries"": ""geojson"", ""profile"": ""driving""}",2026-08-01T21:42:31Z,"https://router.project-osrm.org/route/v1/driving/29.483130,46.823880;29.526000,46.834060?overview=full&geometries=geojson",0,route_n2452549463,Парканы,ALT_PROVIDER_COMPARISON_ONLY
0.001,улица Котовского 151,5.179,1,n2454873384,5.178,46.82344,29.52352,31e7f0c9642f464979a67be51924bda21e9f6244a877455e80ef1170b4fd7446,False,Ok,cache_replay,central_bender_origin,46.82388,29.48313,0.02,driving (full-planet OSM car) — NOT canonical car.lua,OSRM demo router.project-osrm.org (ALTERNATIVE_PROVIDER),data/interim/route-pilot/raw/n2454873384.osrm.json,666c3a7e3301e7154e9ba9be823e8e2e9059c54eeaf906561a414554ecc29437,"{""overview"": ""full"", ""geometries"": ""geojson"", ""profile"": ""driving""}",2026-08-01T21:42:31Z,"https://router.project-osrm.org/route/v1/driving/29.483130,46.823880;29.523520,46.823440?overview=full&geometries=geojson",0,route_n2454873384,Парканы,ALT_PROVIDER_COMPARISON_ONLY
0.0004,улица Горького 151,5.8884,1,n2450951755,5.888,46.82329,29.52954,6d5aa4f3edcfd32df1101e82a04a459bab213583814e13eea898d39e16a91c28,False,Ok,cache_replay,central_bender_origin,46.82388,29.48313,0.01,driving (full-planet OSM car) — NOT canonical car.lua,OSRM demo router.project-osrm.org (ALTERNATIVE_PROVIDER),data/interim/route-pilot/raw/n2450951755.osrm.json,4dda2d911364abee64858c8642011696fccdf4514f9e80725525fe32202021a7,"{""overview"": ""full"", ""geometries"": ""geojson"", ""profile"": ""driving""}",2026-08-01T21:42:31Z,"https://router.project-osrm.org/route/v1/driving/29.483130,46.823880;29.529540,46.823290?overview=full&geometries=geojson",0,route_n2450951755,Парканы,ALT_PROVIDER_COMPARISON_ONLY
0.0005,улица Суворова 83,3.7185,1,w353818413,3.718,46.79294,29.47694,6c85467f128d1b2ed20ac6c8dc8281e6126eb05b8192b391438989674726ad8b,False,Ok,cache_replay,central_bender_origin,46.82388,29.48313,0.01,driving (full-planet OSM car) — NOT canonical car.lua,OSRM demo router.project-osrm.org (ALTERNATIVE_PROVIDER),data/interim/route-pilot/raw/w353818413.osrm.json,d4f3c2aa22a9de3b56c97d47fd92e0c3c042bcc75a9e5bb2a8214bad7fc50f72,"{""overview"": ""full"", ""geometries"": ""geojson"", ""profile"": ""driving""}",2026-08-01T21:42:32Z,"https://router.project-osrm.org/route/v1/driving/29.483130,46.823880;29.476940,46.792940?overview=full&geometries=geojson",0,route_w353818413,Гиска,ALT_PROVIDER_COMPARISON_ONLY
0.0007,Первомайская улица 29,4.5083,1,w410936927,4.509,46.79566,29.45141,d5a0d450d0c087887858bcc64235ae42501d9d1a6b3107267f585f2b19820f93,False,Ok,cache_replay,central_bender_origin,46.82388,29.48313,-0.02,driving (full-planet OSM car) — NOT canonical car.lua,OSRM demo router.project-osrm.org (ALTERNATIVE_PROVIDER),data/interim/route-pilot/raw/w410936927.osrm.json,eb17b4d46ab894e76aa9b7935c67533bdc7ec6822259cb41a8041c65b83cb261,"{""overview"": ""full"", ""geometries"": ""geojson"", ""profile"": ""driving""}",2026-08-01T21:42:32Z,"https://router.project-osrm.org/route/v1/driving/29.483130,46.823880;29.451410,46.795660?overview=full&geometries=geojson",0,route_w410936927,Гиска,ALT_PROVIDER_COMPARISON_ONLY
0.0005,улица Бориса Главана 22,5.9065,1,n2321749461,5.907,46.78341,29.44656,b0be2c29d85b54b25c5ced49d87babc03fa080306c0f73d8397a913ffbf34092,False,Ok,cache_replay,central_bender_origin,46.82388,29.48313,-0.01,driving (full-planet OSM car) — NOT canonical car.lua,OSRM demo router.project-osrm.org (ALTERNATIVE_PROVIDER),data/interim/route-pilot/raw/n2321749461.osrm.json,778b497dd338da15314336c20c5c624bd3d8fc21e4cf358613a0540eae7ee64d,"{""overview"": ""full"", ""geometries"": ""geojson"", ""profile"": ""driving""}",2026-08-01T21:42:32Z,"https://router.project-osrm.org/route/v1/driving/29.483130,46.823880;29.446560,46.783410?overview=full&geometries=geojson",0,route_n2321749461,Гиска,ALT_PROVIDER_COMPARISON_ONLY
0.0003,Театральная улица 7,7.2277,1,w225418020,7.228,46.78261,29.4311,1543a2dadcf94cb0d4bae69636dbc97f36aa49f21be7114f69d783b675e51138,False,Ok,cache_replay,central_bender_origin,46.82388,29.48313,-0.0,driving (full-planet OSM car) — NOT canonical car.lua,OSRM demo router.project-osrm.org (ALTERNATIVE_PROVIDER),data/interim/route-pilot/raw/w225418020.osrm.json,044e3b19cc4121c0edb4993e18d396e325e419fe7bfd73e17085e0e76a937a2a,"{""overview"": ""full"", ""geometries"": ""geojson"", ""profile"": ""driving""}",2026-08-01T21:42:32Z,"https://router.project-osrm.org/route/v1/driving/29.483130,46.823880;29.431100,46.782610?overview=full&geometries=geojson",0,route_w225418020,Гиска,ALT_PROVIDER_COMPARISON_ONLY
0.0001,Главная улица 24,4.4839,1,w353044310,4.484,46.81594,29.45069,94a459c246ac578453b9563bd788c7b5850a370abecd93a260811d7ab65767bc,False,Ok,cache_replay,central_bender_origin,46.82388,29.48313,-0.0,driving (full-planet OSM car) — NOT canonical car.lua,OSRM demo router.project-osrm.org (ALTERNATIVE_PROVIDER),data/interim/route-pilot/raw/w353044310.osrm.json,e95a5c0dd1b79953e95cad3ab0f0308d35af62518c5f777601a3f7c33cde8099,"{""overview"": ""full"", ""geometries"": ""geojson"", ""profile"": ""driving""}",2026-08-01T21:42:33Z,"https://router.project-osrm.org/route/v1/driving/29.483130,46.823880;29.450690,46.815940?overview=full&geometries=geojson",0,route_w353044310,Протягайловка,ALT_PROVIDER_COMPARISON_ONLY
0.055,улица 50 лет Победы 29,6.21,1,w352285814,6.155,46.8277,29.44778,5c264aa68602bee05bf6f0e1c8afe53ba3a346e1d959dd93c7d0ff62145730f9,False,Ok,cache_replay,central_bender_origin,46.82388,29.48313,0.89,driving (full-planet OSM car) — NOT canonical car.lua,OSRM demo router.project-osrm.org (ALTERNATIVE_PROVIDER),data/interim/route-pilot/raw/w352285814.osrm.json,f5d3c86d8e10cec18ef0bd844987becff62884b2dd786fa11d45b0dfb3334f8b,"{""overview"": ""full"", ""geometries"": ""geojson"", ""profile"": ""driving""}",2026-08-01T21:42:33Z,"https://router.project-osrm.org/route/v1/driving/29.483130,46.823880;29.447780,46.827700?overview=full&geometries=geojson",0,route_w352285814,Протягайловка,ALT_PROVIDER_COMPARISON_ONLY
0.0005,Гербовецкая улица 84,6.4655,1,w352339715,6.466,46.82566,29.44035,b60eeaaa5f25784c78e11218ac9d632329d0d6584bd7af53c510a52c839c6047,False,Ok,cache_replay,central_bender_origin,46.82388,29.48313,-0.01,driving (full-planet OSM car) — NOT canonical car.lua,OSRM demo router.project-osrm.org (ALTERNATIVE_PROVIDER),data/interim/route-pilot/raw/w352339715.osrm.json,eef2490c5fd217a6e0c3bcad6b91cee99cc89774b2137fff7d9ad3a6fa503a6c,"{""overview"": ""full"", ""geometries"": ""geojson"", ""profile"": ""driving""}",2026-08-01T21:42:33Z,"https://router.project-osrm.org/route/v1/driving/29.483130,46.823880;29.440350,46.825660?overview=full&geometries=geojson",0,route_w352339715,Протягайловка,ALT_PROVIDER_COMPARISON_ONLY
